sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall
0,0,False,0,349,349,nan,0.0,0.0,nan
0,1,True,45273,33220,-12053,0.26622931990369536,0.44217024638506625,0.7244431065623118,0.5315751109933072
0,2,True,24520,19800,-4720,0.19249592169657423,0.7068474158514981,0.926969696969697,0.748531810766721
0,3,True,14533,8687,-5846,0.4022569324984518,0.254050550874919,0.5414987912973409,0.3236771485584532
0,4,True,73801,91851,18050,0.24457663175295727,0.5345252431681334,0.6282130842342489,0.7818593243993984
0,5,True,18902,34195,15293,0.8090678235107396,0.30803340477422214,0.36566749524784325,0.6615172997566395
0,6,True,11543,325,-11218,0.9718444078662393,0.012023535431056536,0.4338461538461538,0.012215195356493113
0,7,False,0,1,1,nan,0.0,0.0,nan
0,8,False,0,3,3,nan,0.0,0.0,nan
0,9,True,8968,9063,95,0.01059322033898305,0.27562787407145384,0.4298797307734746,0.4344335414808207
0,10,False,0,24,24,nan,0.0,0.0,nan
0,11,False,0,34,34,nan,0.0,0.0,nan
0,12,False,0,0,0,nan,nan,nan,nan
0,13,True,15,0,-15,1.0,0.0,nan,0.0
