iteration,beta,likelihood_weight,accepted,acceptance_probability,log_acceptance_ratio,log_uniform,previous_hard_seismic_loss,proposed_hard_seismic_loss,current_hard_seismic_loss,proposed_hard_seismic_rmse_amplitude,proposed_hard_seismic_mae_amplitude,proposed_condition_violations,proposed_sample_sha256,current_sample_sha256,proposal_latent_sha256,innovation_sha256,proposal_changed_from_current_voxels,proposal_changed_from_current_fraction,retained_changed_from_initial_voxels,retained_changed_from_initial_fraction,proposal_evaluation_seconds,proposal_latent_l2,proposal_latent_rms,proposal_latent_mean,proposal_latent_std
1,0.1,1.0,True,1.0,0.03416252136230469,-0.19271871798982618,17.860631942749023,17.792306900024414,17.792306900024414,0.042180925607681274,0.013012563809752464,0,b0f17f3a5faaa5cb8ebce5e9f8e78a8d4ff6d90b3075b1cc0673a96ad2e15fd0,b0f17f3a5faaa5cb8ebce5e9f8e78a8d4ff6d90b3075b1cc0673a96ad2e15fd0,1d44d23da839ee68584e363769c33801e83042585aa78ff9d8c004c0e68d8e2b,51d7186457cb93966c016cc749009c235df8e581ec9250fd743dce0f6b67cd21,5341,0.020374298095703125,5341,0.020374298095703125,4.005049344006693,1983.050791052477,1.000042016722497,-0.0006862958218636408,1.0000417812313869
2,0.1,1.0,True,0.7863955175272155,-0.24029541015625,-0.5419218218791625,17.792306900024414,18.272897720336914,18.272897720336914,0.042746808379888535,0.0132478978484869,0,205056b8bf276ddf4fb1e091de9466cc4626bc6fd9aee8440345202c5f5776db,205056b8bf276ddf4fb1e091de9466cc4626bc6fd9aee8440345202c5f5776db,0c9839f19dc9ddca4126dd121aa1af3e72858642a418bf37f46ef227d1cecc64,4b03e9bf2eff3d266d156e6cc68d31591781b2d36fb4f0ca03e22281c882ec05,5374,0.02050018310546875,7796,0.0297393798828125,4.00539719601511,1983.103926850427,1.0000688128241317,-0.0006817633903290302,1.000068580439436
3,0.1,1.0,True,0.9964529153178777,-0.0035533905029296875,-1.240855368606575,18.272897720336914,18.280004501342773,18.280004501342773,0.0427551195025444,0.013190396130084991,0,7618b55a8523b2f6750f83d40b0bb091e3aa1492391bd79ff5cbbb302562268d,7618b55a8523b2f6750f83d40b0bb091e3aa1492391bd79ff5cbbb302562268d,17c7454d9b26fa67564a7929bc585447c625dfb0e9eef4ee52ab5a6c39ca3089,99dbf727a4a2c88551e17da9337766aaa04bd8e86e17882ac20a12345bc01742,5688,0.021697998046875,8677,0.033100128173828125,4.005511769995792,1983.0829398289968,1.0000582291803297,-0.0007599214641210152,1.0000579404567846
4,0.1,1.0,True,1.0,0.049897193908691406,-0.30607518161187663,18.280004501342773,18.18021011352539,18.18021011352539,0.04263825714588165,0.013169082812964916,0,08f0bc959b93fbe4322246158d076d9980fb387abf7b502a36d8b60298e04fbb,08f0bc959b93fbe4322246158d076d9980fb387abf7b502a36d8b60298e04fbb,ee1083cf3a9e01f99b2e828c1a6f3ef59a0bd23e32f6ba5183bc9fb12b089856,d89e258ccc445de97bf993289ffae5457fb1171ccd29c7d440b001cd191751d0,4654,0.01775360107421875,9601,0.036624908447265625,4.0075404820090625,1983.1080491715213,1.0000708916888488,-0.0007845867338328603,1.0000705839224486
5,0.1,1.0,False,0.7732111569978422,-0.2572031021118164,-0.20619038323179126,18.18021011352539,18.694616317749023,18.18021011352539,0.043237268924713135,0.013413864187896252,0,00b2fb21ed37f58cc17fdad104d9bc9816b067af0621061676c1d6e97fdd5b93,08f0bc959b93fbe4322246158d076d9980fb387abf7b502a36d8b60298e04fbb,a3b9137e14030fabe54d5c348fe77580663f1a36b1bc8eeebb8ca1a1260224ff,681d542f17cb564dd4bc784aa3a0a96c20103dfe12d5aefad2e8d72130c31f34,5751,0.021938323974609375,9601,0.036624908447265625,4.007780893996824,1983.0445322073188,1.0000388604200243,-0.0007483479409093959,1.0000385804185457
6,0.1,1.0,True,1.0,0.23444747924804688,-1.1537339455585045,18.18021011352539,17.711315155029297,17.711315155029297,0.04208480939269066,0.012984584085643291,0,0b6e0e4c70098e9482f54461d5c9ad870e56c8a43f414ce0fc3fccbe74e9b30a,0b6e0e4c70098e9482f54461d5c9ad870e56c8a43f414ce0fc3fccbe74e9b30a,2eae9c225bdeba2eaa3a552bd31091f2fafb26638a681979f394d7755d9e1564,d9cd343d87246aab364ba0d3844cedb8fd28f7339f5f4b69fb35272413af81cf,4954,0.01889801025390625,11561,0.044101715087890625,4.005498801998328,1983.2797607759421,1.0001574849419894,-0.0007614615206966546,1.0001571950757733
7,0.1,1.0,True,1.0,0.028748512268066406,-1.69206738321155,17.711315155029297,17.653818130493164,17.653818130493164,0.042016446590423584,0.01294139213860035,0,9a778034b50ae01be15cd395f68259e29dea498196f80b55ec2dc8a33a3ce4fe,9a778034b50ae01be15cd395f68259e29dea498196f80b55ec2dc8a33a3ce4fe,9731641fd3ee5a58a393962ed3df31609312188b9a743998a8fc606b27ef06be,b4f9de5a376d4c535db7f00749ec3f395425823998819eb4da29da8f2f9582d0,4991,0.019039154052734375,12659,0.048290252685546875,4.011544387001777,1983.3616649326557,1.0001987887746797,-0.000735288927343671,1.0001985185034672
8,0.1,1.0,True,0.959030912792834,-0.04183197021484375,-4.431775382791457,17.653818130493164,17.73748207092285,17.73748207092285,0.04211588576436043,0.012972679920494556,0,79951c84fcf8df60c3a0dcc1a5686b01798b247f4a701a27cdfc0a30dfc53652,79951c84fcf8df60c3a0dcc1a5686b01798b247f4a701a27cdfc0a30dfc53652,735087af28c2dfb81cdecbc83ddd9635f5ecfb898e342469ec6ff97d53e3be04,642772ef54f745b54242a26d05b960563a50148e715447c9357d992afe6d167d,4883,0.018627166748046875,13639,0.052028656005859375,4.012396909005474,1983.6146164265465,1.0003263508740552,-0.0006406375353531502,1.0003261457327561
