candidate_id,candidate_index,source_seed,source_noise_sha256,hard_model_sha256,predicted_observation_sha256,condition_violations,model_chunk,prediction_chunk,chunk_offset,batch_seconds
candidate_000014,14,9311014,a893acf9bff660763234feffe33dd5a967cb70bf9c74eea11d1bd0528bca8559,595bb7dc3a3c732cc8b6cc0e117f0edd0980a0604f9843ed49413ca750145e73,a0ba2fe26178806140daee197e6f0e28029ad8a513c056c04676f023074ff0c1,0,cache/models_000012_000015.pt.gz,cache/predictions_000012_000015.pt.gz,2,11.772396276006475
candidate_000015,15,9311015,a2ade36db5278cea0c4abfce041ab96408ee8d37ae23d830c873ae124d502ef6,2fd23212d739b256b670048b2ab37f1bfa28f01e3a98faf544ff6baa471f2e3d,230d5b28ef1309e64d49a7df5848d98f172ea9eebbfb6f4d00a02c7403364199,0,cache/models_000012_000015.pt.gz,cache/predictions_000012_000015.pt.gz,3,11.772396276006475
candidate_000016,16,9311016,b17ca7e7ed0434d331ebac0560e589eedea6856f9d9a7836a7b283a9b78a3f01,09869339dcb3a99a3481088611f4b1e535ffe337302649ab38541d050b567ec2,60fc5671769e589ceedc6cd4d2bb954ba61afd5fea799ae176d6e3875d0eeb42,0,cache/models_000016_000019.pt.gz,cache/predictions_000016_000019.pt.gz,0,11.773464170983061
candidate_000017,17,9311017,3a117bc307fbabd77e6eb88cb4d3e9ed4ff7012cc2e1afb8296720b0ac3f3943,cec975b220da7b784a0435da2c62da493b25d147d1fe0271037355d9bcbdb985,32cbefa300de60f2301937671173f9ff73879c8235cb79a3b58c7de27ff355da,0,cache/models_000016_000019.pt.gz,cache/predictions_000016_000019.pt.gz,1,11.773464170983061
candidate_000018,18,9311018,75e35929d14441ad99f18faa69cb0426e411b1db1e833ba0739f01361a3185ab,0aee22a9a0fe385e711d268845442d97610cb51f737cb491385a850793fc2fc2,c92f04831275de333b94844db744a6bdf37489042b9893dbaaaa3710914afdf3,0,cache/models_000016_000019.pt.gz,cache/predictions_000016_000019.pt.gz,2,11.773464170983061
candidate_000019,19,9311019,0047c88c8c8463545d4b3b5b16dd217a4746af632a52d5f3708830bd77ec23bd,1554343a097a81318e6bcca9f978a0557838529e081474c0a5f11acc35835405,cb1a8790d6b14baafb32717d9e9dac7e02d60ae434cf82196cd0abbaad71d398,0,cache/models_000016_000019.pt.gz,cache/predictions_000016_000019.pt.gz,3,11.773464170983061
candidate_000020,20,9311020,c5012b59f698264d0efc36891f64a84a1ce8c5038dd7a5bb5b024fe34cf70340,2a4c2b4dda1c708e30ead7957571460289452089d9bb2f9dee5e71cb62b89426,860afe3fb1badf688042efc34373fa17c64c2740f934dc2eae4a5ea2a6bedf9c,0,cache/models_000020_000023.pt.gz,cache/predictions_000020_000023.pt.gz,0,11.773613475030288
candidate_000021,21,9311021,e2226098acbb76f7d37b919102c5262265ff24e539198b2806fa2c8021ffcc99,abcd7dda1c24267289aa2968e6ab4000e9d1c7534202a0794ae4867a10e32caf,dc994b8930f781b78a3c8ad3fdbff9ade6ba445392475644263e2c3479840749,0,cache/models_000020_000023.pt.gz,cache/predictions_000020_000023.pt.gz,1,11.773613475030288
candidate_000022,22,9311022,4cf7bdcda1a481ecb948dbbcb29f3e7c88e10430eeef00f86cfa8957b2eed016,8abc49b66dc82d8306b9fa10d6e32e3e0e635a71f5833e484cfa0f65842b8751,57e85d898bd2fc5f057a08705448e24c2d4a3c14491ecc08b462a8cb391f216b,0,cache/models_000020_000023.pt.gz,cache/predictions_000020_000023.pt.gz,2,11.773613475030288
candidate_000023,23,9311023,11ee5eb9d5cab1185ca481d121798ec1436e77521b81443b722dab5450a1c28d,eb7425f2e1b6f15d5ba9fd8023b3815370921481049ff5a67a203f50b00f7fcd,4ba9394e99bdda1953659008008ebe490e7eea6a563e9e0168151cdbfe15558d,0,cache/models_000020_000023.pt.gz,cache/predictions_000020_000023.pt.gz,3,11.773613475030288
