branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_21791cd4efa1670f8829,new_center,1,0,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,5.014018097426742e-05,41.0,9.0,20.0,ellipsoid,9,33.94360557912685,9.069960482085477,12.518838106885632,9.034864313429892,0,0.25,2.2674901205213693,3.129709526721408,2.258716078357473,0.01763303019106388,7.580965757369995e-07,7.580965757369995e-07,False,0,False,,terminated_non_improving_hard_step,False
branch_87cd09791648131a8fb8,new_center,1,1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,4.919147613691166e-05,9.0,9.0,9.0,ellipsoid,9,140.05301420081562,10.216738703467461,6.449849555799257,8.001534966156104,0,0.25,2.5541846758668654,1.6124623889498142,2.000383741539026,0.01769445836544037,6.218627095222473e-05,6.218627095222473e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_1d99ae5e630980a9377d,new_center,1,2,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,4.919147613691166e-05,9.0,9.0,10.0,ellipsoid,9,88.66852277516863,7.484638497607557,9.991618598313472,11.821175332686096,0,0.25,1.8711596244018893,2.497904649578368,2.955293833171524,0.017679570242762566,4.729814827442169e-05,4.729814827442169e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_faf80a9a89ce38f3f8cd,new_center,1,3,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,4.919147613691166e-05,9.0,9.0,11.0,dike_hemisphere,9,108.3784039812152,6.9602026354836335,13.792192464052157,7.862544991815387,0,0.25,1.7400506588709084,3.448048116013039,1.9656362479538467,0.017634542658925056,2.2705644369125366e-06,2.2705644369125366e-06,False,0,False,,terminated_non_improving_hard_step,False
branch_6e9254c5d4d0f454da50,new_center,1,4,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,4.919147613691166e-05,9.0,10.0,9.0,dike_hemisphere,9,11.694771665313839,11.416029720230092,12.882908191169253,13.24044422109909,0,0.25,2.854007430057523,3.2207270477923133,3.3101110552747723,0.01779269054532051,0.00016041845083236694,0.00016041845083236694,False,0,False,,terminated_non_improving_hard_step,False
branch_26742196d5e29d3ff37b,new_center,1,5,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,4.919147613691166e-05,9.0,10.0,10.0,ellipsoid,9,73.89352658062758,9.3260241652468,9.271963487293934,13.664643496505605,0,0.25,2.3315060413117,2.3179908718234836,3.416160874126401,0.01771538145840168,8.310936391353607e-05,8.310936391353607e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_5e6e6186c5774f7b922a,new_center,1,6,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,4.919147613691166e-05,9.0,10.0,11.0,dike_hemisphere,9,88.67712622573787,7.852049182093416,11.145289176007863,9.157355840537475,0,0.25,1.963012295523354,2.7863222940019656,2.2893389601343688,0.01765054650604725,1.827441155910492e-05,1.827441155910492e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_7707b34481b99a3d7746,new_center,1,7,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,4.919147613691166e-05,10.0,9.0,9.0,dike_hemisphere,9,144.50235789362677,12.3065001525419,7.065688742619231,13.200821676546568,0,0.25,3.076625038135475,1.7664221856548077,3.300205419136642,0.017727473750710487,9.520165622234344e-05,9.520165622234344e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_23d3e40ffa92ad465515,new_center,1,8,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,4.919147613691166e-05,10.0,9.0,10.0,ellipsoid,9,142.09711655694812,8.55601594564268,9.118549501281159,7.592165011248599,0,0.25,2.13900398641067,2.2796373753202896,1.8980412528121497,0.01772109791636467,8.882582187652588e-05,8.882582187652588e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_56287e6fef1a4a990165,new_center,1,9,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,4.919147613691166e-05,10.0,9.0,11.0,dike_hemisphere,9,107.71547182800337,7.0104090357618,9.086002987599725,9.12801987946564,0,0.25,1.75260225894045,2.2715007468999313,2.28200496986641,0.017678439617156982,4.61675226688385e-05,4.61675226688385e-05,False,0,False,,terminated_non_improving_hard_step,False
