sample_id,class_id,truth_present,baseline_iou,guided_iou,delta_iou,baseline_precision,guided_precision,delta_precision,baseline_recall,guided_recall,delta_recall,baseline_predicted_volume,guided_predicted_volume,delta_predicted_volume,baseline_absolute_volume_error_fraction,guided_absolute_volume_error_fraction,delta_absolute_volume_error_fraction
0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,291.0,337.0,46.0,nan,nan,nan
0,1,True,0.41760097493036213,0.41857473182774385,0.0009737568973817168,0.6634673895004702,0.6628489620615605,-0.0006184274389097189,0.5298301415854925,0.5317959931968281,0.001965851611335667,36154.0,36322.0,168.0,0.20142248139067434,0.19771166037152388,-0.003710821019150462
0,2,True,0.7116045275376993,0.7157417077826197,0.00413718024492038,0.8626539827276314,0.8595648977120367,-0.0030890850155946836,0.8025285481239804,0.8105220228384992,0.007993474714518722,22811.0,23121.0,310.0,0.06969820554649266,0.05705546492659054,-0.012642740619902115
0,3,True,0.15250909510885258,0.152722519040582,0.00021342393172943397,0.4868202764976958,0.4674669450243563,-0.019353331473339508,0.18172435147595128,0.18488956168719467,0.0031652102112433855,5425.0,5748.0,323.0,0.6267116218261887,0.6044863414298494,-0.02222528039633931
0,4,True,0.5393530897892194,0.5389204519379917,-0.0004326378512277129,0.6279791299866878,0.6255206724264667,-0.0024584575602211167,0.7926044362542513,0.7956125255755342,0.0030080893212829363,93148.0,93869.0,721.0,0.26215091936423623,0.27192043468245686,0.009769515318220623
0,5,True,0.25817793835932007,0.2605747576618036,0.0023968193024835327,0.32279286926994905,0.3265838318760546,0.0037909626061055635,0.563273727647868,0.5631679187387578,-0.00010580890911016105,32984.0,32595.0,-389.0,0.7450005290445455,0.724420696222622,-0.02057983282192355
0,6,True,0.014153371075656201,0.012775443710880562,-0.0013779273647756395,0.5892857142857143,0.5539033457249071,-0.03538236856080723,0.014294377544832365,0.01290825608593953,-0.0013861214588928358,280.0,269.0,-11.0,0.9757428744693754,0.9766958329723642,0.000952958502988821
0,7,False,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,41.0,41.0,nan,nan,nan
0,8,False,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,20.0,20.0,nan,nan,nan
0,9,True,0.02859647939569704,0.02593026662760035,-0.002666212768096688,0.0674836861371956,0.0702659785629218,0.002782292425726196,0.04727921498661909,0.039473684210526314,-0.007805530776092778,6283.0,5038.0,-1245.0,0.2993978590544157,0.4382247992863515,0.1388269402319358
0,10,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,161.0,132.0,-29.0,nan,nan,nan
0,11,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,18.0,36.0,18.0,nan,nan,nan
0,12,False,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,5.0,5.0,nan,nan,nan
0,13,True,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,18.0,18.0,1.0,0.2,-0.8
