sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall
0,0,False,0,337,337,nan,0.0,0.0,nan
0,1,True,45273,36322,-8951,0.19771166037152388,0.41857473182774385,0.6628489620615605,0.5317959931968281
0,2,True,24520,23121,-1399,0.05705546492659054,0.7157417077826197,0.8595648977120367,0.8105220228384992
0,3,True,14533,5748,-8785,0.6044863414298494,0.152722519040582,0.4674669450243563,0.18488956168719467
0,4,True,73801,93869,20068,0.27192043468245686,0.5389204519379917,0.6255206724264667,0.7956125255755342
0,5,True,18902,32595,13693,0.724420696222622,0.2605747576618036,0.3265838318760546,0.5631679187387578
0,6,True,11543,269,-11274,0.9766958329723642,0.012775443710880562,0.5539033457249071,0.01290825608593953
0,7,False,0,41,41,nan,0.0,0.0,nan
0,8,False,0,20,20,nan,0.0,0.0,nan
0,9,True,8968,5038,-3930,0.4382247992863515,0.02593026662760035,0.0702659785629218,0.039473684210526314
0,10,False,0,132,132,nan,0.0,0.0,nan
0,11,False,0,36,36,nan,0.0,0.0,nan
0,12,False,0,5,5,nan,0.0,0.0,nan
0,13,True,15,18,3,0.2,0.0,0.0,0.0
