sample_id,truth_component_rank,truth_component_voxels,baseline_recovered_voxels,guided_recovered_voxels,delta_recovered_voxels,baseline_recall,guided_recall,delta_recall
0,1,4079,171,125,-46,0.041922039715616574,0.030644765873988723,-0.011277273841627852
0,2,2192,2,0,-2,0.0009124087591240876,0.0,-0.0009124087591240876
0,3,2043,251,229,-22,0.122858541360744,0.11209006363191386,-0.010768477728830148
0,4,627,0,0,0,0.0,0.0,0.0
0,5,22,0,0,0,0.0,0.0,0.0
0,6,4,0,0,0,0.0,0.0,0.0
0,7,1,0,0,0,0.0,0.0,0.0
