sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall,candidate_id,retrospective_only,used_for_ranking
0,1,463,463,1.0,candidate_000000,True,False
0,2,397,24,0.060453400503778336,candidate_000000,True,False
0,3,383,327,0.8537859007832899,candidate_000000,True,False
0,4,367,0,0.0,candidate_000000,True,False
0,5,217,186,0.8571428571428571,candidate_000000,True,False
1,1,463,442,0.9546436285097192,candidate_000001,True,False
1,2,397,0,0.0,candidate_000001,True,False
1,3,383,376,0.9817232375979112,candidate_000001,True,False
1,4,367,0,0.0,candidate_000001,True,False
1,5,217,147,0.6774193548387096,candidate_000001,True,False
2,1,463,463,1.0,candidate_000002,True,False
2,2,397,0,0.0,candidate_000002,True,False
2,3,383,350,0.9138381201044387,candidate_000002,True,False
2,4,367,0,0.0,candidate_000002,True,False
2,5,217,153,0.7050691244239631,candidate_000002,True,False
3,1,463,415,0.896328293736501,candidate_000003,True,False
3,2,397,0,0.0,candidate_000003,True,False
3,3,383,336,0.8772845953002611,candidate_000003,True,False
3,4,367,7,0.01907356948228883,candidate_000003,True,False
3,5,217,210,0.967741935483871,candidate_000003,True,False
4,1,463,355,0.7667386609071274,candidate_000004,True,False
4,2,397,55,0.1385390428211587,candidate_000004,True,False
4,3,383,383,1.0,candidate_000004,True,False
4,4,367,7,0.01907356948228883,candidate_000004,True,False
4,5,217,167,0.7695852534562212,candidate_000004,True,False
5,1,463,463,1.0,candidate_000005,True,False
5,2,397,0,0.0,candidate_000005,True,False
5,3,383,320,0.835509138381201,candidate_000005,True,False
5,4,367,8,0.021798365122615803,candidate_000005,True,False
5,5,217,192,0.8847926267281107,candidate_000005,True,False
6,1,463,463,1.0,candidate_000006,True,False
6,2,397,0,0.0,candidate_000006,True,False
6,3,383,289,0.7545691906005222,candidate_000006,True,False
6,4,367,0,0.0,candidate_000006,True,False
6,5,217,201,0.9262672811059908,candidate_000006,True,False
7,1,463,451,0.9740820734341252,candidate_000007,True,False
7,2,397,0,0.0,candidate_000007,True,False
7,3,383,271,0.7075718015665796,candidate_000007,True,False
7,4,367,171,0.4659400544959128,candidate_000007,True,False
7,5,217,193,0.8894009216589862,candidate_000007,True,False
8,1,463,463,1.0,candidate_000008,True,False
8,2,397,116,0.29219143576826195,candidate_000008,True,False
8,3,383,371,0.9686684073107049,candidate_000008,True,False
8,4,367,58,0.15803814713896458,candidate_000008,True,False
8,5,217,216,0.9953917050691244,candidate_000008,True,False
9,1,463,362,0.7818574514038877,candidate_000009,True,False
9,2,397,0,0.0,candidate_000009,True,False
9,3,383,349,0.9112271540469974,candidate_000009,True,False
9,4,367,45,0.1226158038147139,candidate_000009,True,False
9,5,217,128,0.5898617511520737,candidate_000009,True,False
10,1,463,459,0.9913606911447084,candidate_000010,True,False
10,2,397,0,0.0,candidate_000010,True,False
10,3,383,377,0.9843342036553525,candidate_000010,True,False
10,4,367,84,0.22888283378746593,candidate_000010,True,False
10,5,217,214,0.9861751152073732,candidate_000010,True,False
11,1,463,434,0.937365010799136,candidate_000011,True,False
11,2,397,0,0.0,candidate_000011,True,False
11,3,383,264,0.6892950391644909,candidate_000011,True,False
11,4,367,49,0.1335149863760218,candidate_000011,True,False
11,5,217,164,0.7557603686635944,candidate_000011,True,False
12,1,463,306,0.6609071274298056,candidate_000012,True,False
12,2,397,0,0.0,candidate_000012,True,False
12,3,383,349,0.9112271540469974,candidate_000012,True,False
12,4,367,54,0.14713896457765668,candidate_000012,True,False
12,5,217,177,0.815668202764977,candidate_000012,True,False
13,1,463,439,0.9481641468682506,candidate_000013,True,False
13,2,397,108,0.27204030226700254,candidate_000013,True,False
13,3,383,319,0.8328981723237598,candidate_000013,True,False
13,4,367,0,0.0,candidate_000013,True,False
13,5,217,119,0.5483870967741935,candidate_000013,True,False
14,1,463,400,0.8639308855291576,candidate_000014,True,False
14,2,397,0,0.0,candidate_000014,True,False
14,3,383,351,0.9164490861618799,candidate_000014,True,False
14,4,367,0,0.0,candidate_000014,True,False
14,5,217,156,0.7188940092165899,candidate_000014,True,False
15,1,463,423,0.9136069114470843,candidate_000015,True,False
15,2,397,0,0.0,candidate_000015,True,False
15,3,383,307,0.8015665796344648,candidate_000015,True,False
15,4,367,127,0.3460490463215259,candidate_000015,True,False
15,5,217,76,0.35023041474654376,candidate_000015,True,False
16,1,463,453,0.978401727861771,candidate_000016,True,False
16,2,397,191,0.4811083123425693,candidate_000016,True,False
16,3,383,345,0.9007832898172323,candidate_000016,True,False
16,4,367,22,0.05994550408719346,candidate_000016,True,False
16,5,217,197,0.9078341013824884,candidate_000016,True,False
17,1,463,423,0.9136069114470843,candidate_000017,True,False
17,2,397,0,0.0,candidate_000017,True,False
17,3,383,380,0.9921671018276762,candidate_000017,True,False
17,4,367,0,0.0,candidate_000017,True,False
17,5,217,217,1.0,candidate_000017,True,False
18,1,463,393,0.8488120950323974,candidate_000018,True,False
18,2,397,0,0.0,candidate_000018,True,False
18,3,383,314,0.8198433420365535,candidate_000018,True,False
18,4,367,24,0.0653950953678474,candidate_000018,True,False
18,5,217,87,0.4009216589861751,candidate_000018,True,False
19,1,463,406,0.8768898488120951,candidate_000019,True,False
19,2,397,74,0.18639798488664988,candidate_000019,True,False
19,3,383,184,0.4804177545691906,candidate_000019,True,False
19,4,367,0,0.0,candidate_000019,True,False
19,5,217,190,0.8755760368663594,candidate_000019,True,False
20,1,463,462,0.9978401727861771,candidate_000020,True,False
20,2,397,0,0.0,candidate_000020,True,False
20,3,383,376,0.9817232375979112,candidate_000020,True,False
20,4,367,51,0.13896457765667575,candidate_000020,True,False
20,5,217,92,0.423963133640553,candidate_000020,True,False
21,1,463,460,0.9935205183585313,candidate_000021,True,False
21,2,397,265,0.6675062972292192,candidate_000021,True,False
21,3,383,366,0.9556135770234987,candidate_000021,True,False
21,4,367,11,0.02997275204359673,candidate_000021,True,False
21,5,217,82,0.3778801843317972,candidate_000021,True,False
22,1,463,445,0.9611231101511879,candidate_000022,True,False
22,2,397,30,0.07556675062972293,candidate_000022,True,False
22,3,383,367,0.95822454308094,candidate_000022,True,False
22,4,367,22,0.05994550408719346,candidate_000022,True,False
22,5,217,209,0.9631336405529954,candidate_000022,True,False
