observation,metric,spearman_rho,desired_direction
correct,global_accuracy,-0.9310184518215288,negative
correct,truth_present_mean_iou,-0.9045017034963234,negative
correct,label9_iou,-0.7710457573309474,negative
correct,label9_recall,0.40561597725534404,negative
correct,major_component_mean_recall,0.3715751136615815,negative
zero,global_accuracy,-0.9303496955580585,negative
zero,truth_present_mean_iou,-0.9025428818575207,negative
zero,label9_iou,-0.7673233093126385,negative
zero,label9_recall,0.41024159165222257,negative
zero,major_component_mean_recall,0.37496429375633045,negative
shuffled_xy,global_accuracy,-0.9304147615488256,negative
shuffled_xy,truth_present_mean_iou,-0.9027164544739288,negative
shuffled_xy,label9_iou,-0.7675777394320863,negative
shuffled_xy,label9_recall,0.41019602723341886,negative
shuffled_xy,major_component_mean_recall,0.3750653740187359,negative
wrong_case,global_accuracy,-0.9315184749890828,negative
wrong_case,truth_present_mean_iou,-0.9048425877083183,negative
wrong_case,label9_iou,-0.7712219038337743,negative
wrong_case,label9_recall,0.40519843080665535,negative
wrong_case,major_component_mean_recall,0.3729728354492174,negative
