sample_id,path,target_label,target_iou,target_precision,target_recall,target_f1,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,ensemble_probability_overlap_inside_truth,global_geo_misfit,global_voxel_accuracy,global_mean_iou
0,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_0.pt,7,0.48827144503593445,0.7282420992851257,0.5970607399940491,0.6561591029167175,21162.0,17350.0,-3812.0,-0.18013420281636897,6.752335071563721,42,0.9454178674351585,0.5509876012802124,0.10173938423395157,0.8211700916290283,0.3032318353652954
1,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_1.pt,7,0.47374191880226135,0.7032609581947327,0.5920990705490112,0.6429103016853333,21162.0,17817.0,-3345.0,-0.15806634533597957,6.565250873565674,34,0.9950047707245889,0.5509876012802124,0.13318093121051788,0.7937778234481812,0.28172093629837036
2,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_2.pt,7,0.41284069418907166,0.5812029838562012,0.58765709400177,0.5844122171401978,21162.0,21397.0,235.0,0.011104810509403647,6.237466812133789,33,0.992942935925597,0.5509876012802124,0.1841893345117569,0.7836699485778809,0.25637272000312805
3,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_3.pt,7,0.38455691933631897,0.5885058641433716,0.5259900093078613,0.5554945468902588,21162.0,18914.0,-2248.0,-0.10622814478782723,7.978226661682129,45,0.9786930316167918,0.5509876012802124,0.1724594533443451,0.7825600504875183,0.27856093645095825
4,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_4.pt,7,0.4175165891647339,0.5920481085777283,0.5861449837684631,0.5890817642211914,21162.0,20951.0,-211.0,-0.009970702202060297,9.46125316619873,41,0.9852513006539068,0.5509876012802124,0.23245418071746826,0.7826833724975586,0.25604262948036194
5,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_5.pt,7,0.45278820395469666,0.7061849236488342,0.5578867793083191,0.6233368515968323,21162.0,16718.0,-4444.0,-0.20999905490974388,4.773101329803467,59,0.9889938987917215,0.5509876012802124,0.15452130138874054,0.797425389289856,0.2847192883491516
6,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_6.pt,7,0.47437700629234314,0.7087880969047546,0.5892165303230286,0.6434948444366455,21162.0,17592.0,-3570.0,-0.1686986107173235,8.29748249053955,64,0.9920986812187358,0.5509876012802124,0.12504610419273376,0.807144284248352,0.271218866109848
7,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_7.pt,7,0.37848374247550964,0.5432892441749573,0.5550987720489502,0.5491305589675903,21162.0,21622.0,460.0,0.021737075890747568,3.257190704345703,55,0.95906946628434,0.5509876012802124,0.2523390054702759,0.7871562242507935,0.2815585136413574
8,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_8.pt,7,0.4186517000198364,0.6272872090339661,0.5572724938392639,0.5902107357978821,21162.0,18800.0,-2362.0,-0.11161515924770815,5.57594633102417,60,0.858563829787234,0.5509876012802124,0.13098780810832977,0.7887404561042786,0.26406681537628174
9,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_9.pt,7,0.3813916742801666,0.5574496984481812,0.5470182299613953,0.5521847605705261,21162.0,20766.0,-396.0,-0.018712787071165297,7.237695217132568,52,0.925984782818068,0.5509876012802124,0.21561038494110107,0.7683966755867004,0.25289881229400635
10,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_10.pt,7,0.3785030245780945,0.6028929948806763,0.5042056441307068,0.549150824546814,21162.0,17698.0,-3464.0,-0.16368963235989037,7.985036849975586,35,0.949033789128715,0.5509876012802124,0.18261492252349854,0.7836841940879822,0.2626383602619171
11,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_11.pt,7,0.3692871630191803,0.5921907424926758,0.49522730708122253,0.539385974407196,21162.0,17697.0,-3465.0,-0.16373688687269633,8.467456817626953,39,0.9712380629485223,0.5509876012802124,0.19907182455062866,0.780928373336792,0.2523333728313446
12,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_12.pt,7,0.2988918423652649,0.5197145342826843,0.41295719146728516,0.4602259397506714,21162.0,16815.0,-4347.0,-0.2054153671675645,9.15290355682373,50,0.9898899791852512,0.5509876012802124,0.24993787705898285,0.7524783611297607,0.2530342936515808
13,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_13.pt,7,0.3260965347290039,0.46349725127220154,0.5238162875175476,0.49181419610977173,21162.0,23916.0,2754.0,0.13013892826764956,7.537237644195557,32,0.9961950158889447,0.5509876012802124,0.23157545924186707,0.7635917663574219,0.25574150681495667
14,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_14.pt,7,0.3770700693130493,0.5814706683158875,0.5175313949584961,0.5476410388946533,21162.0,18835.0,-2327.0,-0.1099612512994991,7.167170524597168,59,0.9827979824794266,0.5509876012802124,0.1795506775379181,0.7655887007713318,0.24542321264743805
15,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/paper_cond_gen_0_label7/guided_alpha0_05/sample_15.pt,7,0.5032283663749695,0.6724663972854614,0.6666194200515747,0.6695301532745361,21162.0,20978.0,-184.0,-0.008694830356299027,7.063172340393066,32,0.9864620078177138,0.5509876012802124,0.1272973269224167,0.7977621555328369,0.28781455755233765
