sample_id,class_id,truth_present,baseline_iou,guided_iou,delta_iou,baseline_precision,guided_precision,delta_precision,baseline_recall,guided_recall,delta_recall,baseline_predicted_volume,guided_predicted_volume,delta_predicted_volume,baseline_absolute_volume_error_fraction,guided_absolute_volume_error_fraction,delta_absolute_volume_error_fraction
0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,291.0,242.0,-49.0,nan,nan,nan
0,1,True,0.41760097493036213,0.41793933054393306,0.0003383556135709287,0.6634673895004702,0.6648086522462563,0.0013412627457860538,0.5298301415854925,0.5295209065005633,-0.0003092350849291936,36154.0,36060.0,-94.0,0.20142248139067434,0.20349877410377046,0.0020762927130961173
0,2,True,0.7116045275376993,0.7159737417943107,0.004369214256611409,0.8626539827276314,0.871294159417717,0.008640176690085655,0.8025285481239804,0.800652528548124,-0.0018760195758564802,22811.0,22532.0,-279.0,0.06969820554649266,0.08107667210440457,0.011378466557911915
0,3,True,0.15250909510885258,0.15214368482039398,-0.0003654102884586008,0.4868202764976958,0.49056603773584906,0.0037457612381532335,0.18172435147595128,0.1806922177114154,-0.0010321337645358974,5425.0,5353.0,-72.0,0.6267116218261887,0.6316658638959609,0.004954242069772241
0,4,True,0.5393530897892194,0.5381810480566477,-0.0011720417325716825,0.6279791299866878,0.6267976449644492,-0.001181485022238582,0.7926044362542513,0.7919540385631632,-0.0006503976910881004,93148.0,93247.0,99.0,0.26215091936423623,0.2634923646021057,0.001341445237869443
0,5,True,0.25817793835932007,0.2580233844969446,-0.00015455386237545055,0.32279286926994905,0.32121357333253464,-0.0015792959374144044,0.563273727647868,0.5674002751031637,0.004126547455295726,32984.0,33389.0,405.0,0.7450005290445455,0.7664268331393503,0.021426304094804838
0,6,True,0.014153371075656201,0.014220851537736657,6.748046208045547e-05,0.5892857142857143,0.5608108108108109,-0.028474903474903446,0.014294377544832365,0.014381010136013167,8.663259118080191e-05,280.0,296.0,16.0,0.9757428744693754,0.9743567530104825,-0.0013861214588928306
0,7,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
0,8,False,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,2.0,2.0,nan,nan,nan
0,9,True,0.02859647939569704,0.02889506884623211,0.00029858945053507294,0.0674836861371956,0.0686985970004838,0.0012149108632881905,0.04727921498661909,0.04750223015165031,0.00022301516503121788,6283.0,6201.0,-82.0,0.2993978590544157,0.3085414808206958,0.009143621766280141
0,10,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,161.0,214.0,53.0,nan,nan,nan
0,11,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,18.0,19.0,1.0,nan,nan,nan
0,12,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
0,13,True,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
