mode,step,t,dt,base_velocity_norm,raw_physics_gradient_norm,applied_physics_velocity_norm,total_velocity_norm,cosine_base_velocity_applied_physics_velocity,pre_update_soft_loss,post_physics_soft_loss,post_total_soft_loss,post_projection_soft_loss,pre_update_hard_loss,post_physics_hard_loss,post_total_hard_loss,post_projection_hard_loss,soft_attainment,hard_attainment,distance_to_baseline,distance_to_truth,truth_direction_fraction,orthogonal_response_fraction,hard_label_flip_count,target_flip_in,target_flip_out,wrong_class_flips,condition_projection_change_norm,guidance_clipping_fraction,used_guidance_ratio,flip_into_raw_label_-1,flip_into_raw_label_0,flip_into_raw_label_1,flip_into_raw_label_2,flip_into_raw_label_3,flip_into_raw_label_4,flip_into_raw_label_5,flip_into_raw_label_6,flip_into_raw_label_7,flip_into_raw_label_8,flip_into_raw_label_9,flip_into_raw_label_10,flip_into_raw_label_11,flip_into_raw_label_12,flip_into_raw_label_13,control
MATCHED_NORM_PHYSICS_ONLY,1,0.015625,0.03125,1911.460693359375,0.0,0.0,0.0,nan,0.0010656733065843582,0.0010656733065843582,0.0010656733065843582,0.0010656733065843582,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.00037641812504742223,0.0008378067686674947,101.99017195123801,220.123708763829,0.10767936586793439,0.45043780362657554,977,45,73,932,0.0,0.0,0.0,54,0,68,67,69,67,61,55,90,78,45,69,71,100,83,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,2,0.046875,0.03125,1914.4998779296875,0.0,0.0,0.0,nan,0.001068759011104703,0.001068759011104703,0.001068759011104703,0.001068759011104703,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.0006989889885758241,0.000836078680381286,143.61986585643274,220.123708763829,0.21315692775412645,0.6162751185309296,2067,94,155,1973,0.0,0.0,0.0,126,3,160,140,150,140,147,127,153,165,94,131,158,190,183,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,3,0.078125,0.03125,1913.864990234375,0.0,0.0,0.0,nan,0.0010750126093626022,0.0010750126093626022,0.0010750126093626022,0.0010750126093626022,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.0007876425714889037,0.0015989055774444979,172.86016890365252,220.123708763829,0.3086949507013183,0.7212710218426447,3203,166,226,3037,0.0,0.0,0.0,181,5,255,227,229,215,225,213,240,258,166,202,248,274,265,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,4,0.109375,0.03125,1913.34765625,0.0,0.0,0.0,nan,0.0010845984797924757,0.0010845984797924757,0.0010845984797924757,0.0010845984797924757,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.0008351681186666122,0.002606871298141053,196.7260661675615,220.123708763829,0.3996444215419967,0.7979392728196308,4511,236,329,4275,0.0,0.0,0.0,249,6,360,332,319,298,318,312,337,368,236,286,351,369,370,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,5,0.140625,0.03125,1913.511474609375,0.0,0.0,0.0,nan,0.0010977915953844786,0.0010977915953844786,0.0010977915953844786,0.0010977915953844786,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.000737862270048994,0.005106464816998636,217.6817413456466,220.123708763829,0.48902461346002263,0.8566009681345815,5952,326,439,5626,0.0,0.0,0.0,331,10,453,445,431,406,430,413,453,478,326,374,453,473,476,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,6,0.171875,0.03125,1914.568359375,0.0,0.0,0.0,nan,0.0011149720521643758,0.0011149720521643758,0.0011149720521643758,0.0011149720521643758,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.0005127048985506771,0.00664880741066847,233.43418562724645,220.123708763829,0.5618928571721635,0.8953127392826351,7576,424,571,7152,0.0,0.0,0.0,449,14,588,572,535,519,539,528,561,619,424,483,560,595,590,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,7,0.203125,0.03125,1915.9439697265625,0.0,0.0,0.0,nan,0.001136648585088551,0.001136648585088551,0.001136648585088551,0.001136648585088551,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.0003191906381618813,0.008670824105670584,248.5850667682464,220.123708763829,0.6364903317261056,0.927034479657568,9438,537,723,8901,0.0,0.0,0.0,566,19,719,697,691,641,668,680,706,737,537,633,687,734,723,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,8,0.234375,0.03125,1919.3126220703125,0.0,0.0,0.0,nan,0.0011634195689111948,0.0011634195689111948,0.0011634195689111948,0.0011634195689111948,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.036973465234041214,0.00036245131809800634,0.009463700958475776,259.6810232530826,220.123708763829,0.693999514539216,0.9470511283643452,11597,650,908,10947,0.0,0.0,0.0,693,22,917,864,863,794,807,832,873,899,650,767,846,892,878,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,9,0.265625,0.03125,1923.5440673828125,4.533536412054673e-06,125.52891540527344,125.52891540527344,-0.0011580890277400613,0.0011961403070017695,0.001178828882984817,0.001178828882984817,0.001178828882984817,0.036973465234041214,0.03690875321626663,0.03690875321626663,0.03690875321626663,0.021758806914726554,0.012428120981872674,270.07879679113796,219.92899283734366,0.7508316779978014,0.9619472117677936,14311,765,1223,13546,0.0,0.0,0.06540312618017197,848,30,1134,1062,1085,1020,985,1006,1074,1129,765,916,1052,1111,1094,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,10,0.296875,0.03125,1923.9434814453125,4.731544322567061e-06,390.91015625,390.91015625,0.0006968951784074306,0.001217461540363729,0.001164517248980701,0.001164517248980701,0.001164517248980701,0.03690875321626663,0.03666392341256142,0.03666392341256142,0.03666392341256142,0.08388596026644116,0.018926494279945798,280.0110617689061,219.19910183980792,0.8098342155931355,0.9719058194516088,18391,909,1827,17482,0.0,0.0,0.20361113548278809,1125,45,1451,1385,1381,1355,1300,1289,1348,1439,909,1143,1400,1432,1389,shuffled_xy
