sample_id,step,t,w_t,geo_loss,gravity_loss,gravity_gradient_loss,magnetic_loss,grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,effective_guidance_ratio,guidance_mode,physics_mode,mu,alpha,gravity_weight,gravity_gradient_weight,magnetic_weight
0,0,0.015625,0.0,2.366940498352051,2.366940498352051,nan,nan,0.11509416997432709,2070.62841796875,0.0,2070.62841796875,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,1,0.046875,0.0,2.3602235317230225,2.3602235317230225,nan,nan,0.11873946338891983,2068.81884765625,0.0,2068.81884765625,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,2,0.078125,0.0,2.3527472019195557,2.3527472019195557,nan,nan,0.12261184304952621,2066.939208984375,0.0,2066.939208984375,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,3,0.109375,0.0,2.3443260192871094,2.3443260192871094,nan,nan,0.1267240345478058,2065.601806640625,0.0,2065.601806640625,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,4,0.140625,0.0,2.3347675800323486,2.3347675800323486,nan,nan,0.13109351694583893,2065.046142578125,0.0,2065.046142578125,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,5,0.171875,0.0,2.3240718841552734,2.3240718841552734,nan,nan,0.135749951004982,2064.50244140625,0.0,2064.50244140625,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,6,0.203125,0.0,2.3119101524353027,2.3119101524353027,nan,nan,0.14070868492126465,2062.839111328125,0.0,2062.839111328125,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,7,0.234375,0.0,2.2980189323425293,2.2980189323425293,nan,nan,0.14599500596523285,2062.276611328125,0.0,2062.276611328125,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,8,0.265625,0.0,2.282109260559082,2.282109260559082,nan,nan,0.1516401171684265,2063.4833984375,0.0,2063.4833984375,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,9,0.296875,0.0,2.2636075019836426,2.2636075019836426,nan,nan,0.15768057107925415,2062.58349609375,0.0,2062.58349609375,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,10,0.328125,0.0,2.2423958778381348,2.2423958778381348,nan,nan,0.1641571819782257,2061.55078125,0.0,2061.55078125,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,11,0.359375,0.0,2.217913866043091,2.217913866043091,nan,nan,0.17111599445343018,2059.484375,0.0,2059.484375,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,12,0.390625,0.0,2.189504384994507,2.189504384994507,nan,nan,0.17860792577266693,2057.224365234375,0.0,2057.224365234375,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
0,13,0.421875,0.0,2.155853748321533,2.155853748321533,nan,nan,0.18667463958263397,2056.0947265625,0.0,2056.0947265625,0.0,relative,gravity,0.01,0.05,1.0,0.25,1.0
