sample_id,path,target_label,target_iou,target_precision,target_recall,target_f1,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,ensemble_probability_overlap_inside_truth,global_geo_misfit,global_voxel_accuracy,global_mean_iou
0,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_0.pt,9,0.014464424923062325,0.10481586307287216,0.016503121703863144,0.02851637825369835,8968.0,1412.0,-7556.0,-0.8425512934879572,26.010740280151367,88,0.4398016997167139,0.013952386565506458,0.7013407945632935,0.5530358552932739,0.14091460406780243
1,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_1.pt,9,0.008770029991865158,0.23209169507026672,0.009032114408910275,0.017387572675943375,8968.0,349.0,-8619.0,-0.9610838537020517,26.528562545776367,37,0.6790830945558739,0.013952386565506458,0.683167576789856,0.5651388168334961,0.14891016483306885
2,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_2.pt,9,0.007288629654794931,0.0991501435637474,0.007805530913174152,0.014471779577434063,8968.0,706.0,-8262.0,-0.9212756467439785,16.3922176361084,93,0.2237960339943343,0.013952386565506458,0.6971080899238586,0.5653514266014099,0.15002061426639557
3,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_3.pt,9,0.009039062075316906,0.20537897944450378,0.009366637095808983,0.017916178330779076,8968.0,409.0,-8559.0,-0.9543933987511151,19.501569747924805,76,0.43765281173594134,0.013952386565506458,0.7002063393592834,0.5135278701782227,0.13524310290813446
4,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_4.pt,9,0.01440813671797514,0.08481153100728989,0.01706065982580185,0.028406981378793716,8968.0,1804.0,-7164.0,-0.7988403211418377,17.606796264648438,88,0.5814855875831486,0.013952386565506458,0.7495979070663452,0.5638024806976318,0.148018017411232
5,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_5.pt,9,0.010696821846067905,0.1101783812046051,0.011708295904099941,0.021167220547795296,8968.0,953.0,-8015.0,-0.8937332738626227,16.414833068847656,80,0.37670514165792235,0.013952386565506458,0.7205659747123718,0.5194401741027832,0.1406589299440384
6,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_6.pt,9,0.012428687885403633,0.12577319145202637,0.01360392477363348,0.024552224203944206,8968.0,970.0,-7998.0,-0.8918376449598573,20.335262298583984,98,0.23402061855670103,0.013952386565506458,0.7175966501235962,0.5422439575195312,0.14399468898773193
7,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_7.pt,9,0.013813622295856476,0.22687609493732452,0.014495985582470894,0.02725081332027912,8968.0,573.0,-8395.0,-0.9361061552185549,15.996082305908203,86,0.2268760907504363,0.013952386565506458,0.6776621341705322,0.5489307045936584,0.13897860050201416
8,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_8.pt,9,0.015142086893320084,0.178048774600029,0.01628010720014572,0.029832448810338974,8968.0,820.0,-8148.0,-0.9085637823371989,18.243112564086914,119,0.30609756097560975,0.013952386565506458,0.7003427147865295,0.5573890805244446,0.14801891148090363
9,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_9.pt,9,0.010832205414772034,0.14111262559890747,0.01159678865224123,0.02143225260078907,8968.0,737.0,-8231.0,-0.9178189116859946,19.45232391357422,68,0.5020352781546812,0.013952386565506458,0.707125723361969,0.5875528454780579,0.1577746421098709
