member_id,candidate_index,source_seed,prior_seismic_rmse,inverted_seismic_rmse,delta_seismic_rmse,condition_violations,underground_air_voxels_replaced,neutral_category,neutral_raw_label,normal_diagonal_mean,prior_lambda,smoothness_lambda,correction_abs_max_time,correction_rms_time,correction_abs_max_depth,correction_rms_depth_subsurface
0,100,9301100,0.041246190667152405,0.027883322909474373,-0.013362867757678032,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.1011855602264404,0.07538926601409912,0.9596056938171387,0.12281440198421478
1,101,9301101,0.04749108478426933,0.030714597553014755,-0.016776487231254578,0,3,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.115470290184021,0.0853627473115921,1.0585265159606934,0.13987687230110168
2,102,9301102,0.04408610239624977,0.02912348136305809,-0.014962621033191681,0,5,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.1410982608795166,0.07973464578390121,1.0177218914031982,0.12953177094459534
3,103,9301103,0.04053270444273949,0.027626022696495056,-0.01290668174624443,0,0,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.1149638891220093,0.07300855964422226,1.064371943473816,0.11747150123119354
4,104,9301104,0.04331333562731743,0.028726765885949135,-0.014586569741368294,0,3,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.0572412014007568,0.07820156216621399,0.9275680184364319,0.12678249180316925
5,105,9301105,0.04569423943758011,0.029811913147568703,-0.015882326290011406,0,0,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.1258472204208374,0.0835581123828888,0.9867783188819885,0.137161985039711
6,106,9301106,0.044554032385349274,0.028778715059161186,-0.015775317326188087,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.0572412014007568,0.08013178408145905,0.9820666313171387,0.1314166784286499
7,107,9301107,0.048816580325365067,0.03124323859810829,-0.017573341727256775,0,2,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.0902866125106812,0.08849530667066574,0.9785165786743164,0.14561966061592102
8,108,9301108,0.04136620834469795,0.028057513758540154,-0.013308694586157799,0,2,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.0941109657287598,0.07432140409946442,0.9151558876037598,0.12014305591583252
9,109,9301109,0.0428493358194828,0.028634417802095413,-0.01421491801738739,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.1223946809768677,0.07816468179225922,1.0591681003570557,0.12694938480854034
10,110,9301110,0.04115084558725357,0.027484683319926262,-0.013666162267327309,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.0358039140701294,0.0738707184791565,0.9186517000198364,0.11961853504180908
11,111,9301111,0.04378798231482506,0.028961140662431717,-0.014826841652393341,0,2,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.0573381185531616,0.0794747993350029,0.9459605813026428,0.12893760204315186
