sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou
0,project/geodata-3d-conditional/guided-results/mu_0/sample_0.pt,0.21193473041057587,13,0.6056287884712219,0.15966476500034332
1,project/geodata-3d-conditional/guided-results/mu_0/sample_1.pt,0.21078704297542572,12,0.6173470616340637,0.1665843427181244
2,project/geodata-3d-conditional/guided-results/mu_0/sample_2.pt,0.1737981140613556,3,0.6153526902198792,0.16671434044837952
3,project/geodata-3d-conditional/guided-results/mu_0/sample_3.pt,0.23652595281600952,16,0.5766798853874207,0.15548790991306305
4,project/geodata-3d-conditional/guided-results/mu_0/sample_4.pt,0.1956937462091446,6,0.6207183003425598,0.1672823578119278
5,project/geodata-3d-conditional/guided-results/mu_0/sample_5.pt,0.20301884412765503,9,0.5749892592430115,0.1588500291109085
6,project/geodata-3d-conditional/guided-results/mu_0/sample_6.pt,0.1905406266450882,4,0.5864543914794922,0.15822269022464752
7,project/geodata-3d-conditional/guided-results/mu_0/sample_7.pt,0.1921910047531128,5,0.6026878356933594,0.15741117298603058
8,project/geodata-3d-conditional/guided-results/mu_0/sample_8.pt,0.22951263189315796,15,0.6170332431793213,0.16946588456630707
9,project/geodata-3d-conditional/guided-results/mu_0/sample_9.pt,0.20418500900268555,10,0.63234543800354,0.17463433742523193
10,project/geodata-3d-conditional/guided-results/mu_0/sample_10.pt,0.16963209211826324,1,0.6138037443161011,0.1674157828092575
11,project/geodata-3d-conditional/guided-results/mu_0/sample_11.pt,0.1980484575033188,7,0.6049555540084839,0.16907520592212677
12,project/geodata-3d-conditional/guided-results/mu_0/sample_12.pt,0.20528827607631683,11,0.5872491002082825,0.15430672466754913
13,project/geodata-3d-conditional/guided-results/mu_0/sample_13.pt,0.21897169947624207,14,0.589299201965332,0.1634325534105301
14,project/geodata-3d-conditional/guided-results/mu_0/sample_14.pt,0.16991643607616425,2,0.6289843320846558,0.191438689827919
15,project/geodata-3d-conditional/guided-results/mu_0/sample_15.pt,0.19976072013378143,8,0.6233453750610352,0.18411885201931
