step,tau,total_loss,seismic_loss,seismic_rmse_amplitude,tv_loss,gradient_norm,target_voxels,condition_violations
0,1.0,164.53404235839844,164.53369140625,0.12827067077159882,0.03520682454109192,4.414328575134277,97091,0
1,0.9997035239602382,158.1637420654297,158.163330078125,0.12576299905776978,0.041461728513240814,4.517566204071045,96828,0
2,0.9988145646305109,134.2381591796875,134.23768615722656,0.11586098372936249,0.047787364572286606,3.972971200942993,96909,0
3,0.99733452763824,110.8155517578125,110.81501770019531,0.1052687019109726,0.053125545382499695,3.4086406230926514,97306,0
4,0.995265753226125,99.36597442626953,99.36539459228516,0.09968218952417374,0.05775795131921768,3.153696298599243,97987,0
5,0.9926115125517385,91.90233612060547,91.90171813964844,0.0958653911948204,0.061843182891607285,2.9173834323883057,99039,0
6,0.9893760025151538,86.11489868164062,86.11424255371094,0.09279775619506836,0.06561863422393799,2.6923160552978516,100113,0
7,0.9855643391227826,82.10494232177734,82.104248046875,0.09061139822006226,0.0692083016037941,2.4590201377868652,101094,0
8,0.9811825493979185,78.52301025390625,78.52228546142578,0.08861280232667923,0.07272343337535858,2.2735509872436523,101810,0
9,0.9762375618507729,75.20587921142578,75.20511627197266,0.08672088384628296,0.07617079466581345,2.1992416381835938,102340,0
10,0.9707371955230775,72.84156799316406,72.84077453613281,0.08534681051969528,0.07957225292921066,2.1219401359558105,102943,0
11,0.9646901476245713,70.79137420654297,70.79054260253906,0.08413711190223694,0.08293402194976807,2.0528576374053955,103218,0
12,0.9581059797809245,68.84888458251953,68.8480224609375,0.08297470957040787,0.08626600354909897,2.009699583053589,103538,0
13,0.9509951029148435,66.80133056640625,66.8004379272461,0.08173153549432755,0.08956729620695114,1.8251956701278687,103792,0
14,0.9433687607842615,64.86331939697266,64.86238861083984,0.08053718507289886,0.09286089986562729,1.7469598054885864,104060,0
15,0.9352390122036465,63.486446380615234,63.4854850769043,0.0796777755022049,0.09613940864801407,1.716718077659607,104252,0
16,0.9266187119765368,62.53760528564453,62.5366096496582,0.07908008992671967,0.09939463436603546,1.669766902923584,104487,0
17,0.9175214905694545,61.14437484741211,61.143348693847656,0.07819420844316483,0.10262086242437363,1.598044514656067,104778,0
18,0.9079617325593363,60.26617431640625,60.26511764526367,0.07763060927391052,0.1058105081319809,1.5310603380203247,105108,0
19,0.8979545538885603,59.47187423706055,59.47078323364258,0.07711730152368546,0.10898657143115997,1.4762505292892456,105446,0
20,0.8875157779635345,58.3043212890625,58.303199768066406,0.07635653018951416,0.1121564507484436,1.4825648069381714,105776,0
21,0.8766619106346388,57.66655731201172,57.6654052734375,0.07593773305416107,0.11531862616539001,1.4194164276123047,105949,0
22,0.8654101140970826,56.969058990478516,56.967872619628906,0.07547706365585327,0.11845817416906357,1.4381235837936401,106073,0
23,0.8537781797539467,56.16498565673828,56.16376876831055,0.07494249194860458,0.1215878427028656,1.4548003673553467,106249,0
24,0.8417845000843182,55.9073371887207,55.906089782714844,0.07477037608623505,0.1247212290763855,1.3688032627105713,106449,0
25,0.8294480395610004,55.026405334472656,55.02512741088867,0.07417891919612885,0.1278803050518036,1.3462327718734741,106651,0
26,0.8167883046637834,54.93086624145508,54.9295539855957,0.07411447167396545,0.13106414675712585,1.3757036924362183,106906,0
27,0.8038253130356898,54.349571228027344,54.348228454589844,0.0737212523818016,0.13427871465682983,1.3418545722961426,107277,0
28,0.790579561830967,54.34844207763672,54.347068786621094,0.07372046262025833,0.13751842081546783,1.37186861038208,107583,0
29,0.7770719953048727,54.35825729370117,54.356849670410156,0.07372710108757019,0.14076809585094452,1.3644042015075684,107643,0
30,0.763323971696503,54.31521224975586,54.31377029418945,0.07369787245988846,0.1440335214138031,1.3510522842407227,107802,0
31,0.7493572294570254,53.778316497802734,53.7768440246582,0.07333269715309143,0.1473211944103241,1.3922837972640991,108027,0
32,0.7351938528767203,53.46062469482422,53.4591178894043,0.0731157436966896,0.15064243972301483,1.3326529264450073,108234,0
33,0.720856237165178,53.22462463378906,53.22308349609375,0.07295415550470352,0.15398837625980377,1.4708549976348877,108632,0
34,0.7063670530398692,52.8712158203125,52.8696403503418,0.0727115049958229,0.15739423036575317,1.416592001914978,108795,0
35,0.6917492108790815,52.58473205566406,52.58312225341797,0.07251422107219696,0.1608402132987976,1.4456050395965576,109032,0
36,0.6770258244959007,52.367679595947266,52.36603546142578,0.07236438244581223,0.1643199622631073,1.4500579833984375,109157,0
37,0.6622201745905232,52.058509826660156,52.05683135986328,0.07215041667222977,0.16783586144447327,1.410207986831665,109346,0
38,0.6473556719386825,51.90310287475586,51.901390075683594,0.07204262167215347,0.17138493061065674,1.532955288887024,109524,0
39,0.6324558203744013,52.02155685424805,52.019805908203125,0.07212475687265396,0.17496329545974731,1.5332788228988647,109720,0
40,0.6175441796255987,51.95694351196289,51.95515823364258,0.07207992672920227,0.17855285108089447,1.605617642402649,110055,0
41,0.6026443280613176,51.672550201416016,51.67072677612305,0.07188235968351364,0.18217110633850098,1.5987218618392944,110270,0
42,0.5877798254094769,51.618289947509766,51.616432189941406,0.07184457778930664,0.18582426011562347,1.6377484798431396,110328,0
43,0.5729741755040995,51.32962417602539,51.327728271484375,0.07164337486028671,0.18950113654136658,1.5948809385299683,110602,0
44,0.5582507891209187,51.12152862548828,51.119598388671875,0.07149796932935715,0.19317595660686493,1.7040265798568726,110774,0
45,0.5436329469601308,50.81846618652344,50.816497802734375,0.07128569483757019,0.19685304164886475,1.6785640716552734,110873,0
46,0.5291437628348221,50.907752990722656,50.90574645996094,0.07134826481342316,0.2005375176668167,1.7372797727584839,110964,0
47,0.5148061471232797,50.897560119628906,50.8955192565918,0.07134109735488892,0.204228013753891,1.7813829183578491,111128,0
48,0.5006427705429746,50.6408805847168,50.63880157470703,0.0711609423160553,0.20790208876132965,1.804898977279663,111317,0
49,0.4866760283034971,50.62623977661133,50.624122619628906,0.07115063071250916,0.2115546613931656,1.869585633277893,111467,0
50,0.4729280046951273,50.45500183105469,50.452850341796875,0.07103016972541809,0.21518319845199585,1.811141848564148,111731,0
51,0.4594204381690332,50.55891036987305,50.556724548339844,0.07110325247049332,0.21875961124897003,2.021713972091675,111954,0
52,0.4461746869643104,50.44450759887695,50.442283630371094,0.07102272659540176,0.22223350405693054,1.9974671602249146,112174,0
53,0.43321169533621673,50.06809616088867,50.06583786010742,0.07075721770524979,0.22565925121307373,2.040356397628784,112249,0
54,0.4205519604389998,50.244361877441406,50.24207305908203,0.07088164240121841,0.22901885211467743,2.0541844367980957,112328,0
55,0.40821549991568185,49.8555908203125,49.853267669677734,0.07060685008764267,0.2323092520236969,1.9751211404800415,112492,0
56,0.39622182024605346,49.82326889038086,49.82091522216797,0.07058393210172653,0.23553548753261566,2.092379570007324,112567,0
57,0.38458988590291754,49.5020751953125,49.49968719482422,0.07035601139068604,0.23866517841815948,2.030965805053711,112734,0
58,0.37333808936536117,49.37580871582031,49.373390197753906,0.07026620209217072,0.2417115867137909,1.9978090524673462,112833,0
59,0.3624842220364656,49.38680648803711,49.384361267089844,0.07027401030063629,0.2446315586566925,2.192206859588623,112931,0
60,0.35204544611143973,49.278987884521484,49.276512145996094,0.07019723206758499,0.24741573631763458,2.2212846279144287,113044,0
61,0.3420382674406637,49.29187774658203,49.28937530517578,0.07020638883113861,0.25006744265556335,2.2380149364471436,113005,0
62,0.33247850943054547,48.93389892578125,48.931373596191406,0.06995096057653427,0.25253820419311523,2.2139036655426025,113212,0
63,0.3233812880234632,48.732505798339844,48.729957580566406,0.06980684399604797,0.2548828423023224,2.3488049507141113,113380,0
64,0.31476098779635364,48.368621826171875,48.366050720214844,0.0695457011461258,0.257060706615448,2.298849582672119,113482,0
65,0.3066312392157384,48.676273345947266,48.673683166503906,0.06976652145385742,0.25913774967193604,2.445990562438965,113516,0
66,0.29900489708515654,48.62689971923828,48.624290466308594,0.06973112374544144,0.2610255181789398,2.425549268722534,113728,0
67,0.2918940202190756,48.17122268676758,48.16859436035156,0.06940359622240067,0.26274892687797546,2.3949224948883057,113902,0
68,0.2853098523754287,48.075313568115234,48.072669982910156,0.06933445483446121,0.26436659693717957,2.576874256134033,113930,0
69,0.27926280447692253,48.08889389038086,48.08623504638672,0.06934423744678497,0.26587069034576416,2.4268064498901367,114029,0
70,0.2737624381492272,47.7111701965332,47.70849609375,0.06907133758068085,0.2672383487224579,2.4345855712890625,114135,0
71,0.2688174506020815,47.7216682434082,47.7189826965332,0.06907892972230911,0.26843947172164917,2.5102896690368652,114247,0
72,0.26443566087721737,47.90550231933594,47.902809143066406,0.06921185553073883,0.2694997191429138,2.402735710144043,114233,0
73,0.2606239974848463,47.86078643798828,47.85808181762695,0.06917952746152878,0.2703741490840912,2.4513354301452637,114319,0
74,0.2573884874482615,47.49063491821289,47.48792266845703,0.06891148537397385,0.27108630537986755,2.411884307861328,114432,0
75,0.254734246773875,47.083595275878906,47.08087921142578,0.06861551105976105,0.2716849148273468,2.5015904903411865,114558,0
76,0.25266547236176007,47.23247146606445,47.2297477722168,0.0687239021062851,0.27219632267951965,2.4556446075439453,114683,0
77,0.2511854353694891,47.08920669555664,47.08647918701172,0.06861958652734756,0.27258074283599854,2.3040239810943604,114798,0
78,0.2502964760397619,47.1604118347168,47.157684326171875,0.06867145746946335,0.2728952467441559,2.304703712463379,114942,0
79,0.25,47.326072692871094,47.323341369628906,0.068791963160038,0.2731052041053772,2.3980650901794434,114973,0
