sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall
0,0,False,0,586,586,nan,0.0,0.0,nan
0,1,True,45273,30715,-14558,0.32156031188567136,0.42909802151508314,0.742829236529383,0.5039648355531995
0,2,True,24520,21482,-3038,0.12389885807504078,0.7104930467762326,0.8894888744064798,0.7792822185970636
0,3,True,14533,8623,-5910,0.4066607032271382,0.24863844702076032,0.5347326916386408,0.3172779192183307
0,4,True,73801,99892,26091,0.3535317949621279,0.5336182311027133,0.6050134144876467,0.8189048928876302
0,5,True,18902,31170,12268,0.6490318484816422,0.2543400385781207,0.32572986846326596,0.5371389270976616
0,6,True,11543,78,-11465,0.9932426578878975,0.0057988575385148,0.8589743589743589,0.005804383609113749
0,7,False,0,2,2,nan,0.0,0.0,nan
0,8,False,0,1,1,nan,0.0,0.0,nan
0,9,True,8968,4698,-4270,0.47613737734165923,0.06715602061533656,0.18305661983822905,0.09589652096342552
0,10,False,0,153,153,nan,0.0,0.0,nan
0,11,False,0,153,153,nan,0.0,0.0,nan
0,12,False,0,0,0,nan,nan,nan,nan
0,13,True,15,0,-15,1.0,0.0,nan,0.0
