case_id,sample_id,source_seed,initial_noise_sha256,baseline_sample_sha256,guided_sample_sha256,baseline_condition_violations,guided_condition_violations
fullgeo_case02,0,9311000,024179ec61ebd629f36629ed32050f62f9b39294df76b0a63bc52167b8e2c28a,bcf4a0b013d696518820c62f1a32125ff8ff1207d679fe6e3034441e7c42e994,6f86c8d5c371f291496b0f33ab086d46420132a8b6835a5942ac570dfbae1a87,0,0
fullgeo_case02,1,9311001,7fc7bf28aebea783729513a7607630561a31717783e435f861c469a2909e518a,60fdde2deeb9845318f0914a4d262bea5c5cc1dd8cf0f63534f8b0c9b383a0fe,841bba656bbeca01b6206f8c3f43307b1d0ca04310e08fb5f67ae1b68c0d6a4f,0,0
fullgeo_case02,2,9311002,30991647ef2155e1f301f2e8cffd843e95568c21adc3294c889dddd95f67f548,78fd6c94fddd010437e71610fbee2eff8567b1736579e86f748ec5fabb98847c,eac1fc69f04257586950b87213e4c9e08d9cf1a41901bc283cf4753500df71c6,0,0
fullgeo_case02,3,9311003,fbdbd98c8a62aa20fb56f9dcd0375bd88fbb52a315a7604d7ad85b2b7538c6e7,4b016e8a414ba6118231fa1761caabbed1d80a74efc73ca87d645fc0dfa6685b,b3c21b3224d6d23aa5c13a4f90e59cfbb694d94d2d41fd695d76d72f7bac5fd0,0,0
