label,voxel_count,volume_fraction,borehole_hits,target_connected_components,largest_component_fraction
4,73801,0.2815284729003906,179,27,0.9925339765043835
-1,64589,0.24638748168945312,257626,1,1.0
1,45273,0.17270278930664062,94,54,0.3848430631943984
2,24520,0.093536376953125,4137,26,0.8914763458401305
5,18902,0.07210540771484375,52,47,0.4272563749867739
3,14533,0.055438995361328125,34,17,0.2752356705429024
6,11543,0.044033050537109375,9,3,0.9998267348176384
9,8968,0.034210205078125,13,7,0.4548394290811775
13,15,5.7220458984375e-05,0,6,0.4
