sample_id,class_id,truth_present,baseline_iou,guided_iou,delta_iou,baseline_precision,guided_precision,delta_precision,baseline_recall,guided_recall,delta_recall,baseline_predicted_volume,guided_predicted_volume,delta_predicted_volume,baseline_absolute_volume_error_fraction,guided_absolute_volume_error_fraction,delta_absolute_volume_error_fraction
1,0,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,291.0,237.0,-54.0,nan,nan,nan
1,1,True,0.41760097493036213,0.4231226609772306,0.005521686046868479,0.6634673895004702,0.6701473520939508,0.006679962593480582,0.5298301415854925,0.5344244914187264,0.004594349833233924,36154.0,36104.0,-50.0,0.20142248139067434,0.20252689240827867,0.0011044110176043342
1,2,True,0.7116045275376993,0.7089208633093526,-0.0026836642283467604,0.8626539827276314,0.8573168609709414,-0.005337121756689989,0.8025285481239804,0.8037520391517129,0.0012234910277324484,22811.0,22988.0,177.0,0.06969820554649266,0.062479608482871124,-0.007218597063621532
1,3,True,0.15250909510885258,0.14911056853854204,-0.003398526570310534,0.4868202764976958,0.4900649598777226,0.0032446833800267583,0.18172435147595128,0.17649487373563613,-0.005229477740315153,5425.0,5234.0,-191.0,0.6267116218261887,0.6398541250946123,0.013142503268423589
1,4,True,0.5393530897892194,0.5441688263606071,0.004815736571387785,0.6279791299866878,0.6319613892143479,0.0039822592276600455,0.7926044362542513,0.7966287719678595,0.004024335713608274,93148.0,93031.0,-117.0,0.26215091936423623,0.2605655749922088,-0.001585344372027453
1,5,True,0.25817793835932007,0.2584979468863134,0.0003200085269933206,0.32279286926994905,0.32343284489572566,0.000639975625776612,0.563273727647868,0.5628504920114273,-0.0004232356364406442,32984.0,32894.0,-90.0,0.7450005290445455,0.7402391281345889,-0.004761400909956581
1,6,True,0.014153371075656201,0.012275731822474031,-0.00187763925318217,0.5892857142857143,0.5742971887550201,-0.014988525530694186,0.014294377544832365,0.012388460538854717,-0.001905917005977649,280.0,249.0,-31.0,0.9757428744693754,0.9784284847959802,0.002685610326604859
1,7,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
1,8,False,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan
1,9,True,0.02859647939569704,0.03210432249950354,0.0035078431038065017,0.0674836861371956,0.07321859903381643,0.005734912896620828,0.04727921498661909,0.05408117752007136,0.00680196253345227,6283.0,6624.0,341.0,0.2993978590544157,0.26137377341659235,-0.038024085637823335
1,10,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,161.0,176.0,15.0,nan,nan,nan
1,11,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,18.0,15.0,-3.0,nan,nan,nan
1,12,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
1,13,True,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
