class_id,n_pairs,mean_baseline_iou,mean_guided_iou,mean_delta_iou,improved_pairs,worsened_pairs,unchanged_pairs
1,12,0.4336511227138138,0.4950969150862931,0.06144579237247936,12,0,0
2,12,0.7108354098576486,0.6979602410496238,-0.012875168808024936,0,12,0
3,12,0.2212030525093667,0.2368427118115273,0.015639659302160627,12,0,0
4,12,0.5412982297632911,0.5559239629610243,0.014625733197733201,12,0,0
5,12,0.27203119430674555,0.28087171912434095,0.008840524817595436,12,0,0
6,12,0.006547668228778916,0.007231654781795403,0.0006839865530164862,10,2,0
9,12,0.03144480434529132,0.4807524758898813,0.44930767154459,12,0,0
13,12,0.0,0.0,0.0,0,0,12
