seed,strict_pairing,unique_guided_samples,guided_outside_roi_disagreement,guided_inside_roi_disagreement,diversity_gate_pass
42,True,4,0.15260452777147293,0.31342658400535583,True
142,True,4,0.14825449883937836,0.29240476588408154,True
242,True,4,0.14429853111505508,0.2991299976905187,True
