truth_component_rank,truth_component_voxels,n_pairs,mean_baseline_recall,mean_guided_recall,min_guided_recall,mean_delta_recall
1,4079,12,0.012911661354907249,0.4222440140557326,0.3684726648688404,0.4093323527008254
2,2192,12,0.034215328467153285,0.6046989051094891,0.5360401459854015,0.5704835766423358
3,2043,12,0.16479034100179477,0.6138440202316855,0.5090553108174254,0.44905367922989065
4,627,12,0.0018607123870281765,0.39553429027113235,0.3157894736842105,0.3936735778841041
5,22,12,0.0,0.02272727272727273,0.0,0.02272727272727273
6,4,12,0.125,0.125,0.0,0.0
7,1,12,0.0,0.0,0.0,0.0
