sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall
0,1,4079,3,0.0007354743809757293
0,2,2192,1,0.0004562043795620438
0,3,2043,220,0.10768477728830152
0,4,627,0,0.0
0,5,22,0,0.0
0,6,4,0,0.0
0,7,1,0,0.0
