step,tau,total_loss,seismic_loss,seismic_rmse_amplitude,tv_loss,gradient_norm,target_voxels,condition_violations
0,1.0,165.24932861328125,165.2489776611328,0.1285492181777954,0.03561420738697052,4.433696746826172,97248,0
1,0.9997035239602382,158.45452880859375,158.45411682128906,0.12587855756282806,0.04167267680168152,4.570672035217285,96961,0
2,0.9988145646305109,133.5423126220703,133.54183959960938,0.11556030809879303,0.04770961031317711,3.960768461227417,97069,0
3,0.99733452763824,111.65901184082031,111.65848541259766,0.1056685745716095,0.05295500531792641,3.392610549926758,97643,0
4,0.995265753226125,100.2602310180664,100.25965881347656,0.10012973845005035,0.05755651369690895,3.147000551223755,98796,0
5,0.9926115125517385,92.62968444824219,92.62906646728516,0.09624399244785309,0.06166588515043259,2.9366044998168945,99998,0
6,0.9893760025151538,86.19146728515625,86.19081115722656,0.09283901005983353,0.06547273695468903,2.573352813720703,100990,0
7,0.9855643391227826,82.01878356933594,82.0180892944336,0.09056384116411209,0.0691118910908699,2.391786575317383,102025,0
8,0.9811825493979185,78.36933135986328,78.36860656738281,0.08852604776620865,0.07265152037143707,2.2497470378875732,102743,0
9,0.9762375618507729,74.97697448730469,74.97621154785156,0.0865887999534607,0.07612338662147522,2.1526060104370117,103286,0
10,0.9707371955230775,72.65941619873047,72.65862274169922,0.08524002879858017,0.07953352481126785,2.1085352897644043,103826,0
11,0.9646901476245713,70.7557144165039,70.7548828125,0.08411592245101929,0.08289388567209244,2.0333502292633057,104245,0
12,0.9581059797809245,68.51530456542969,68.51444244384766,0.08277345448732376,0.08620694279670715,1.9041850566864014,104625,0
13,0.9509951029148435,66.86012268066406,66.8592300415039,0.0817674919962883,0.08950331062078476,1.80089271068573,104890,0
14,0.9433687607842615,65.39995574951172,65.3990249633789,0.08086966723203659,0.09277409315109253,1.7031283378601074,105341,0
15,0.9352390122036465,63.951480865478516,63.95051956176758,0.07996907085180283,0.09601894021034241,1.659500002861023,105760,0
16,0.9266187119765368,62.497074127197266,62.4960823059082,0.07905445992946625,0.09924226999282837,1.6092802286148071,106124,0
17,0.9175214905694545,61.249244689941406,61.24821853637695,0.07826124131679535,0.10243936628103256,1.5995473861694336,106329,0
18,0.9079617325593363,60.32184600830078,60.3207893371582,0.07766645401716232,0.10561846196651459,1.4875534772872925,106512,0
