case_id,arm,source_seed,true_positive,false_positive,false_negative,precision,recall,iou,predicted_label9_voxels,centroid_distance,hard_seismic_rmse,target_crop_beta0,target_crop_beta1,target_crop_beta2,target_crop_euler,central_hole_fill_fraction,central_hole_preservation,azimuthal_ring_coverage
A_SOLID,FLOW_ONLY,42,0,2853,2543,0.0,0.0,0.0,2853,21.140565872192383,0.03005671314895153,4,0,0,4,,,
A_SOLID,FLOW_ONLY,142,0,545,2543,0.0,0.0,0.0,545,25.360750198364258,0.019918465986847878,0,0,0,0,,,
A_SOLID,FLOW_ONLY,242,202,2396,2341,0.07775211701308699,0.0794337396775462,0.04089896740230816,2598,22.621742248535156,0.027528589591383934,2,2,0,0,,,
A_SOLID,SEISMIC_GUIDED,42,2350,5437,193,0.30178502632592785,0.92410538733779,0.29448621553884713,7787,7.489900588989258,0.03584945201873779,3,3,5,5,,,
A_SOLID,SEISMIC_GUIDED,142,2362,2870,181,0.4514525993883792,0.9288242233582383,0.4363569185294661,5232,1.9989733695983887,0.027653871104121208,2,2,0,0,,,
A_SOLID,SEISMIC_GUIDED,242,2330,4865,213,0.3238359972202919,0.9162406606370429,0.31452483801295894,7195,7.530195713043213,0.032911259680986404,2,2,2,2,,,
A_SOLID,ORACLE_GUIDED,42,2543,16,0,0.993747557639703,1.0,0.993747557639703,2559,0.020154248923063278,0.0037852011155337095,1,0,0,1,,,
A_SOLID,ORACLE_GUIDED,142,2543,10,0,0.9960830395613004,1.0,0.9960830395613004,2553,0.017968740314245224,0.0037048275116831064,1,0,0,1,,,
A_SOLID,ORACLE_GUIDED,242,2543,28,0,0.9891092959937767,1.0,0.9891092959937767,2571,0.0348084382712841,0.005637409631162882,1,0,0,1,,,
B_RING,FLOW_ONLY,42,1,2852,2523,0.0003505082369435682,0.0003961965134706815,0.00018601190476190475,2853,21.140565872192383,0.030572572723031044,4,0,0,4,0.0,1.0,0.08333333333333333
B_RING,FLOW_ONLY,142,0,545,2524,0.0,0.0,0.0,545,25.360750198364258,0.020688684657216072,0,0,0,0,0.0,1.0,0.0
B_RING,FLOW_ONLY,242,63,2535,2461,0.02424942263279446,0.02496038034865293,0.01245305396323384,2598,22.621742248535156,0.028313875198364258,6,5,0,1,0.26726725697517395,0.732732743024826,0.3611111111111111
B_RING,SEISMIC_GUIDED,42,2484,6008,40,0.2925105982100801,0.9841521394611727,0.2911392405063291,8492,6.897083759307861,0.03716876730322838,4,1,8,11,0.28828829526901245,0.7117117047309875,1.0
B_RING,SEISMIC_GUIDED,142,2450,3415,74,0.4177323103154305,0.9706814580031695,0.4125273615086715,5865,1.7535374164581299,0.0301731638610363,2,7,14,9,0.2852852940559387,0.7147147059440613,1.0
B_RING,SEISMIC_GUIDED,242,2478,5491,46,0.3109549504329276,0.9817749603803486,0.3091703056768559,7969,6.8414506912231445,0.03429989144206047,2,1,16,17,0.5045045018196106,0.4954954981803894,1.0
B_RING,ORACLE_GUIDED,42,2524,16,0,0.9937007874015747,1.0,0.9937007874015747,2540,0.018824344500899315,0.0037954479921609163,1,1,0,0,0.0,1.0,1.0
B_RING,ORACLE_GUIDED,142,2524,11,0,0.9956607495069033,1.0,0.9956607495069033,2535,0.03292053937911987,0.003352101892232895,1,1,0,0,0.0,1.0,1.0
B_RING,ORACLE_GUIDED,242,2524,28,0,0.9890282131661442,1.0,0.9890282131661442,2552,0.039942193776369095,0.005243060644716024,2,2,0,0,0.0,1.0,1.0
