case_id,sample_id,source_seed,arm,label9_iou,label9_precision,label9_recall,hidden_label9_iou,hidden_label9_precision,hidden_label9_recall,largest_hidden_component_recall,truth_present_miou,global_accuracy,condition_violation_count
fullgeo_case01,0,9301000,BASELINE,0.00329004329004329,0.0033135681897453785,0.31666666666666665,0.0031174229303775544,0.0031397174254317113,0.3050847457627119,0.30392156862745096,0.20684827867569933,0.5296630647000832,0
fullgeo_case01,0,9301000,GEO_PROB_GUIDED,0.0011675423234092236,0.0012539184952978057,0.016666666666666666,0.0,0.0,0.0,0.0,0.20457150119077822,0.5397215080577088,0
fullgeo_case01,1,9301001,BASELINE,0.003593121738386517,0.0036172594953061753,0.35,0.0034226063147086505,0.0034456025497458867,0.3389830508474576,0.3333333333333333,0.20245038911503127,0.5226331084520565,0
fullgeo_case01,1,9301001,GEO_PROB_GUIDED,0.0011668611435239206,0.0012531328320802004,0.016666666666666666,0.0,0.0,0.0,0.0,0.19770551991486443,0.5300045749486124,0
fullgeo_case01,2,9301002,BASELINE,0.0037040466709880545,0.0037316913891221196,0.3333333333333333,0.003519496156339724,0.0035457684053373144,0.3220338983050847,0.3431372549019608,0.2113584972350749,0.5465903745658631,0
fullgeo_case01,2,9301002,GEO_PROB_GUIDED,0.0017584994138335288,0.0018879798615481435,0.025,0.0005868544600938967,0.000630119722747322,0.00847457627118644,0.00980392156862745,0.20829272250197933,0.5584465794204636,0
fullgeo_case01,3,9301003,BASELINE,0.0024429967426710096,0.002497918401332223,0.1,0.002036659877800407,0.0020824656393169513,0.0847457627118644,0.09803921568627451,0.20983113357744818,0.5498830488488528,0
fullgeo_case01,3,9301003,GEO_PROB_GUIDED,0.0011926058437686344,0.0012828736369467607,0.016666666666666666,0.0,0.0,0.0,0.0,0.2079979004236458,0.5526860103226305,0
fullgeo_case02,0,9311000,BASELINE,0.1110826575615308,0.16999042062178873,0.24274078219237705,0.11014583570696138,0.1686510532513411,0.24099464040882462,0.23668137088564642,0.17515527523440372,0.41633724856779875,0
fullgeo_case02,0,9311000,GEO_PROB_GUIDED,0.017300839176916886,0.18626237623762376,0.0187154137909594,0.015206497321582859,0.16719442685243824,0.016452698491835973,0.023922633186291144,0.15781371660610577,0.4118505504470168,0
fullgeo_case02,1,9311001,BASELINE,0.11850461442202409,0.1925775292323335,0.23552819747559534,0.11748308694562766,0.19105587531197474,0.2337654244048361,0.2488971835765185,0.17242242504068278,0.4220188252407468,0
fullgeo_case02,1,9311001,GEO_PROB_GUIDED,0.017314772204325816,0.18789013732833956,0.0187154137909594,0.015218769816106531,0.16869009584664538,0.016452698491835973,0.024261961316593146,0.15497165753605274,0.42038472255675674,0
fullgeo_case02,2,9311002,BASELINE,0.10777018476335105,0.15380169767021853,0.2647516010694522,0.10693385352012769,0.15266927083333334,0.26305621338651375,0.2658635900916186,0.17753341138898993,0.4208995121306149,0
fullgeo_case02,2,9311002,GEO_PROB_GUIDED,0.017675753228120518,0.18666666666666668,0.0191506559721445,0.015585461237635151,0.1680099194048357,0.016888944285180108,0.024601289446895148,0.15914035763023712,0.42446997926673186,0
fullgeo_case02,3,9311003,BASELINE,0.06483772637618791,0.1328434974283615,0.11241683765466642,0.06359523125538638,0.13047962867457452,0.11037018571606631,0.12741771292840176,0.1722781894313261,0.41641281400983293,0
fullgeo_case02,3,9311003,GEO_PROB_GUIDED,0.016061936676681304,0.18496340652029275,0.017285332338494063,0.013954026981645534,0.16439290586630287,0.015019319456562383,0.022565320665083134,0.16245582758140698,0.4167339671384784,0
fullgeo_case03,0,9321000,BASELINE,0.009891808346213293,0.013338891204668612,0.03686635944700461,0.009432503479202103,0.012721584984358707,0.03519907674552799,0.1282798833819242,0.1614266924053015,0.4255401608371282,0
fullgeo_case03,0,9321000,GEO_PROB_GUIDED,0.00987045033929673,0.02080624187256177,0.018433179723502304,0.008953380673047236,0.018892508143322474,0.01673398730525101,0.03206997084548105,0.12964105866209,0.42252365726835256,0
fullgeo_case03,1,9321001,BASELINE,0.006226446010158938,0.008626560726447218,0.021889400921658985,0.005737704918032787,0.007950931394820535,0.020196191575302943,0.052478134110787174,0.1549094822391804,0.4046377934954623,0
fullgeo_case03,1,9321001,GEO_PROB_GUIDED,0.009910188912976153,0.02098360655737705,0.018433179723502304,0.008989460632362058,0.019053876478318004,0.01673398730525101,0.03206997084548105,0.12486211571258338,0.4031715273067855,0
fullgeo_case03,2,9321002,BASELINE,0.024088187261839956,0.030575228882363102,0.10195852534562212,0.023689584751531653,0.030072589007950224,0.10040392383150606,0.0,0.1615127706968729,0.41757581629687046,0
fullgeo_case03,2,9321002,GEO_PROB_GUIDED,0.009904054472299598,0.020956123117223315,0.018433179723502304,0.008983890954151178,0.019028871391076115,0.01673398730525101,0.03206997084548105,0.12735424683158236,0.41640667893937927,0
fullgeo_case03,3,9321003,BASELINE,0.0036709134096307495,0.005837912087912088,0.009792626728110598,0.003025064822817632,0.0048126503953248535,0.008078476630121177,0.0,0.16964327675461377,0.4406355973258405,0
fullgeo_case03,3,9321003,GEO_PROB_GUIDED,0.009900990099009901,0.020942408376963352,0.018433179723502304,0.00898110870238464,0.01901639344262295,0.01673398730525101,0.03206997084548105,0.1390107240600803,0.43616574621322224,0
fullgeo_case04,0,9331000,BASELINE,0.19228583605625799,0.2670020219953642,0.4072820281351087,0.1817069660333909,0.25360317380605635,0.390594786913141,0.3891409129571874,0.2208986176250258,0.6585072371098064,0
fullgeo_case04,0,9331000,GEO_PROB_GUIDED,0.03176006528835691,0.24866879659211927,0.035131272098096744,0.007182705718270572,0.06803170409511229,0.007966586742980895,0.012049900765523107,0.19894832416063915,0.662099633784805,0
fullgeo_case04,1,9331001,BASELINE,0.1794452519379845,0.23097010562419612,0.44579854058527046,0.17030006123698713,0.2199027398885067,0.43019568412096837,0.44116813155656365,0.21855039209646168,0.6486194268441551,0
fullgeo_case04,1,9331001,GEO_PROB_GUIDED,0.03565387998105676,0.26153846153846155,0.03964492590085007,0.011306096968856212,0.09872804360993337,0.012607316884523165,0.017153388148568188,0.19910453208917026,0.6552868685694355,0
fullgeo_case04,2,9331002,BASELINE,0.17569618582552463,0.2383616830796777,0.4005867749943579,0.1656759283996794,0.22574626865671643,0.3837110372031866,0.3813439183442019,0.20504712770971584,0.625106086147765,0
fullgeo_case04,2,9331002,GEO_PROB_GUIDED,0.03156394243822971,0.24422268907563024,0.0349808169713383,0.007029510022271715,0.06558441558441558,0.00781189573826282,0.012191664303941026,0.1881929900126044,0.6378596756379701,0
fullgeo_case04,3,9331003,BASELINE,0.21101830460280788,0.28572116078733334,0.44662604378244186,0.20067696517950379,0.2729855498408033,0.4310464846469178,0.44783101786220586,0.21521205246918035,0.6428239260594082,0
fullgeo_case04,3,9331003,GEO_PROB_GUIDED,0.03159901934077908,0.2501347708894879,0.03490558940795908,0.006983240223463687,0.0670690811535882,0.007734550235903782,0.011624610150269351,0.19048939103153367,0.6399755856536651,0
fullgeo_case05,0,9341000,BASELINE,0.03055260361317747,0.06306553331505346,0.05594745803940647,0.02939220641042692,0.06074766355140187,0.053876157971721114,0.0,0.5329780391247084,0.746151455965909,0
fullgeo_case05,0,9341000,GEO_PROB_GUIDED,0.001946558131304194,0.0070921985815602835,0.002675747993189005,0.0003544842254519674,0.0012970168612191958,0.00048756704046806434,0.0,0.5237013443762898,0.7439675071022728,0
fullgeo_case05,1,9341001,BASELINE,0.028989722707000194,0.04598585050753614,0.07273169545122841,0.028141678796700632,0.04466348375173264,0.07069722086786934,0.010648596321393998,0.5125480553566204,0.7189897017045455,0
fullgeo_case05,1,9341001,GEO_PROB_GUIDED,0.002123517961422757,0.007731958762886598,0.002918997810751642,0.0005317263381779511,0.0019442644199611147,0.0007313505607020966,0.0,0.5011419706019943,0.7179376775568181,0
fullgeo_case05,2,9341002,BASELINE,0.035355994935229375,0.05568338702254947,0.08829968377523717,0.034509651004094366,0.054377880184331796,0.08629936616284739,0.0062923523717328175,0.5477638112430876,0.757510653409091,0
fullgeo_case05,2,9341002,GEO_PROB_GUIDED,0.0021238938053097347,0.007736943907156673,0.002918997810751642,0.0005318205991845417,0.0019455252918287938,0.0007313505607020966,0.0,0.5356105050115618,0.7575861150568182,0
fullgeo_case05,3,9341003,BASELINE,0.038519713623071494,0.06173238526179703,0.09292143030892727,0.03764634638675818,0.06036575497653342,0.090931253047294,0.04695062923523717,0.5452246900737197,0.7530806107954545,0
