branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_b50a199026079608271f,1,0,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,0,4.999789234716445e-05,empty,g001_p000000_empty,9.0,9.0,9.0,ellipsoid,9,33.94360557912685,9.069960482085477,12.518838106885632,9.034864313429892,2.2674901205213693,3.129709526721408,2.258716078357473,0.011134622618556023,0.00025174580514431,0.00025174580514431,False,False,,,0,False
v4_branch_540a7a2740ebe2e657a5,1,1,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,1,4.999789234716445e-05,empty,g001_p000001_empty,9.0,9.0,10.0,ellipsoid,9,140.05301420081562,10.216738703467461,6.449849555799257,8.001534966156104,2.5541846758668654,1.6124623889498142,2.000383741539026,0.010959343053400517,7.646623998880386e-05,7.646623998880386e-05,False,False,,,0,False
v4_branch_913f3cafe15e866fbf8f,1,2,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,2,4.999789234716445e-05,empty,g001_p000002_empty,9.0,9.0,11.0,ellipsoid,9,88.66852277516863,7.484638497607557,9.991618598313472,11.821175332686096,1.8711596244018893,2.497904649578368,2.955293833171524,0.010888085700571537,5.208887159824371e-06,5.208887159824371e-06,False,False,,,0,False
v4_branch_63cb57d6b1126c1e3f9b,1,3,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,3,4.999789234716445e-05,empty,g001_p000003_empty,9.0,10.0,9.0,dike_hemisphere,9,108.3784039812152,6.9602026354836335,13.792192464052157,7.862544991815387,1.7400506588709084,3.448048116013039,1.9656362479538467,0.010959472507238388,7.659569382667542e-05,7.659569382667542e-05,False,False,,,0,False
v4_branch_69144f2b7742e915db73,1,4,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,4,4.999789234716445e-05,empty,g001_p000004_empty,9.0,10.0,10.0,dike_hemisphere,9,11.694771665313839,11.416029720230092,12.882908191169253,13.24044422109909,2.854007430057523,3.2207270477923133,3.3101110552747723,0.01111131627112627,0.00022843945771455765,0.00022843945771455765,False,False,,,0,False
v4_branch_fc4e664ce4db554ebfcb,1,5,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,5,4.999789234716445e-05,empty,g001_p000005_empty,9.0,10.0,11.0,ellipsoid,9,73.89352658062758,9.3260241652468,9.271963487293934,13.664643496505605,2.3315060413117,2.3179908718234836,3.416160874126401,0.010889310389757156,6.433576345443726e-06,6.433576345443726e-06,False,False,,,0,False
v4_branch_eac92c7483b75b836524,1,6,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,6,4.999789234716445e-05,empty,g001_p000006_empty,10.0,9.0,9.0,dike_hemisphere,9,88.67712622573787,7.852049182093416,11.145289176007863,9.157355840537475,1.963012295523354,2.7863222940019656,2.2893389601343688,0.010960395447909832,7.751863449811935e-05,7.751863449811935e-05,False,False,,,0,False
v4_branch_ab3e8b1685a2684faff0,1,7,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,7,4.999789234716445e-05,empty,g001_p000007_empty,10.0,9.0,10.0,dike_hemisphere,9,144.50235789362677,12.3065001525419,7.065688742619231,13.200821676546568,3.076625038135475,1.7664221856548077,3.300205419136642,0.011011913418769836,0.00012903660535812378,0.00012903660535812378,False,False,,,0,False
v4_branch_67393fdd329f88fa4b80,1,8,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,8,4.999789234716445e-05,empty,g001_p000008_empty,10.0,9.0,11.0,ellipsoid,9,142.09711655694812,8.55601594564268,9.118549501281159,7.592165011248599,2.13900398641067,2.2796373753202896,1.8980412528121497,0.010887778364121914,4.9015507102012634e-06,4.9015507102012634e-06,False,False,,,0,False
v4_branch_916b28592ad48803764f,1,9,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,9,4.999789234716445e-05,empty,g001_p000009_empty,25.0,9.0,29.0,dike_hemisphere,9,107.71547182800337,7.0104090357618,9.086002987599725,9.12801987946564,1.75260225894045,2.2715007468999313,2.28200496986641,0.010983342304825783,0.00010046549141407013,0.00010046549141407013,False,False,,,0,False
