sample_id,step,t,w_t,geo_loss,gravity_loss,gravity_gradient_loss,magnetic_loss,grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,effective_guidance_ratio,guidance_mode,physics_mode,mu,alpha,gravity_weight,gravity_gradient_weight,magnetic_weight
0,0,0.015625,0.0,26.694387435913086,0.9867162108421326,2.7373483180999756,25.516693115234375,0.9999999403953552,2070.66845703125,0.0,2070.66845703125,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,1,0.046875,0.0,26.64220428466797,0.9852743148803711,2.732038736343384,25.4665584564209,0.9999999403953552,2063.66162109375,0.0,2063.66162109375,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,2,0.078125,0.0,26.583820343017578,0.9835584759712219,2.7261037826538086,25.41051483154297,1.0,2062.406982421875,0.0,2062.406982421875,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,3,0.109375,0.0,26.515920639038086,0.9813441634178162,2.7192351818084717,25.345439910888672,1.0,2062.074462890625,0.0,2062.074462890625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,4,0.140625,0.0,26.436843872070312,0.9786052107810974,2.7112488746643066,25.269729614257812,1.0,2060.502197265625,0.0,2060.502197265625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,5,0.171875,0.0,26.346176147460938,0.9753740429878235,2.7020859718322754,25.182968139648438,1.0,2056.49169921875,0.0,2056.49169921875,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,6,0.203125,0.0,26.24141502380371,0.9715274572372437,2.691504955291748,25.082775115966797,0.9999999403953552,2060.712890625,0.0,2060.712890625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,7,0.234375,0.0,26.11916160583496,0.9669442176818848,2.679164171218872,24.965898513793945,1.0,2055.881591796875,0.0,2055.881591796875,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,8,0.265625,0.00043402777777777775,25.977853775024414,0.9616013765335083,2.6648738384246826,24.830835342407227,0.9999999403953552,2054.0126953125,0.0,2054.0126953125,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,9,0.296875,0.00390625,25.816848754882812,0.955543577671051,2.648519277572632,24.67694664001465,1.0,2058.804931640625,0.0,2058.804931640625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,10,0.328125,0.010850694444444446,25.631216049194336,0.9484645128250122,2.6296510696411133,24.499570846557617,1.0,2058.3076171875,0.0,2058.3076171875,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,11,0.359375,0.021267361111111115,25.41389274597168,0.9400635361671448,2.60752272605896,24.291980743408203,0.9999999403953552,2059.6240234375,0.0,2059.6240234375,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,12,0.390625,0.03515625,25.153949737548828,0.9299259185791016,2.5810201168060303,24.043731689453125,1.0,2044.1197509765625,0.0,2044.1197509765625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,13,0.421875,0.052517361111111105,24.844078063964844,0.9177551865577698,2.5493838787078857,23.747854232788086,1.0,2054.283935546875,0.0,2054.283935546875,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,14,0.453125,0.07335069444444443,24.46627426147461,0.9027974605560303,2.510782241821289,23.38718032836914,1.0,2049.1650390625,0.0,2049.1650390625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,15,0.484375,0.09765625,24.002304077148438,0.8844016194343567,2.4633889198303223,22.944255828857422,1.0,2054.82958984375,0.0,2054.82958984375,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,16,0.515625,0.1254340277777778,23.427005767822266,0.8614769577980042,2.4046807289123535,22.395097732543945,1.0,2038.015380859375,0.0,2038.015380859375,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,17,0.546875,0.15668402777777776,22.710683822631836,0.8328744769096375,2.331702709197998,21.711320877075195,0.9999999403953552,2045.0546875,0.0,2045.0546875,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,18,0.578125,0.19140625,21.810523986816406,0.7969617247581482,2.2402329444885254,20.85198402404785,0.9999998807907104,2048.095458984375,0.0,2048.095458984375,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,19,0.609375,0.22960069444444448,20.685787200927734,0.7522798180580139,2.1263225078582764,19.778066635131836,1.0000001192092896,2052.892578125,0.0,2052.892578125,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,20,0.640625,0.27126736111111116,19.273244857788086,0.6967968344688416,1.9838229417800903,18.428890228271484,0.9999999403953552,2051.605712890625,0.0,2051.605712890625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,21,0.671875,0.31640625,17.51229476928711,0.6298990845680237,1.8065977096557617,16.745695114135742,1.0,2050.863525390625,0.0,2050.863525390625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,22,0.703125,0.36501736111111105,15.34765911102295,0.5529977679252625,1.5881315469741821,14.674127578735352,1.0,2050.8037109375,0.0,2050.8037109375,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,23,0.734375,0.4171006944444445,12.725515365600586,0.468487024307251,1.321675419807434,12.160853385925293,0.9999999403953552,2047.386962890625,0.0,2047.386962890625,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,24,0.765625,0.47265625,9.551027297973633,0.37835100293159485,0.9974231123924255,9.112496376037598,1.0,2050.715576171875,0.0,2050.715576171875,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,25,0.796875,0.5316840277777777,6.174422264099121,0.2959999144077301,0.6516931653022766,5.863499164581299,0.9999998807907104,2050.67236328125,0.0,2050.67236328125,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
0,26,0.828125,0.5941840277777778,3.4983675479888916,0.24427035450935364,0.37958815693855286,3.2813353538513184,0.9999999403953552,2055.335205078125,0.0,2055.335205078125,0.0,relative,joint,0.01,0.0,0.5,0.25,1.0
