sample_id,step,t,w_t,tau,probability_loss,probability_base_loss,probability_bce,probability_dice_loss,probability_dice_score,probability_soft_calibration_mae,loss_positive_scale,loss_negative_scale,roi_hard_core_probability_mean,roi_background_probability_mean,roi_soft_halo_probability_mean,roi_soft_halo_target_mean,probability_spatial_gradient_loss,roi_spatial_gradient_error_mean,roi_predicted_gradient_mean,roi_target_gradient_mean,roi_target_probability_mean,roi_soft_margin_mean,roi_entropy_mean,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_roi,hard_change_outside_roi,target_hard_voxels_before,target_hard_voxels_after,selected_target_recovered_after,alpha,spatial_gradient_weight,probability_loss_mode,guidance_scaling_mode,arm,source_seed
0,0,0.015625,0.0,0.49975909124103446,1.274330973625183,1.274330973625183,0.38338330388069153,0.8909476399421692,0.10905233770608902,0.09581878036260605,1.0,1.0,0.06624343246221542,0.06660090386867523,0.06660090386867523,0.09242818504571915,0.0,0.0,0.0,0.0,0.06659143418073654,-0.08365257829427719,2.5782554149627686,0.0,0.0,1773.5841064453125,0.0,1773.5841064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4033317565918,1.5318021774291992,1051.72021484375,0,0,904,0.003448486328125,904,0,12739,12701,345,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,1,0.046875,0.0,0.4978353019929562,1.2745007276535034,1.2745007276535034,0.3835238814353943,0.8909768462181091,0.10902316123247147,0.09583693742752075,1.0,1.0,0.06622643023729324,0.06653844565153122,0.06653844565153122,0.09242818504571915,0.0,0.0,0.0,0.0,0.06653018295764923,-0.08413379639387131,2.5772736072540283,0.0,0.0,1772.2952880859375,0.0,1772.2952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.361026763916016,1.6029452085494995,0.0,0,0,996,0.0037994384765625,996,0,12701,12647,345,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,2,0.078125,0.0,0.4940062506389088,1.2748359441757202,1.2748359441757202,0.3837897777557373,0.8910461664199829,0.1089538186788559,0.09589456766843796,1.0,1.0,0.06620413810014725,0.066469207406044,0.066469207406044,0.09242818504571915,0.0,0.0,0.0,0.0,0.0664621889591217,-0.08503533154726028,2.575294256210327,0.0,0.0,1772.0030517578125,0.0,1772.0030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.351600646972656,1.6130620241165161,0.0,0,0,1100,0.0041961669921875,1100,0,12647,12584,343,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,3,0.109375,0.0,0.4883088130366042,1.2753204107284546,1.2753204107284546,0.3841796815395355,0.8911407589912415,0.10885926336050034,0.09599174559116364,1.0,1.0,0.06618689000606537,0.06639409810304642,0.06639409810304642,0.09242818504571915,0.0,0.0,0.0,0.0,0.06638861447572708,-0.08637282997369766,2.5722670555114746,0.0,0.0,1770.676513671875,0.0,1770.676513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30962371826172,1.6300691366195679,0.0,0,0,1133,0.004322052001953125,1133,0,12584,12531,345,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,4,0.140625,0.0,0.48079785862468866,1.2759640216827393,1.2759640216827393,0.384696900844574,0.8912670612335205,0.10873296111822128,0.09613168984651566,1.0,1.0,0.06617388129234314,0.06631787121295929,0.06631787121295929,0.09242818504571915,0.0,0.0,0.0,0.0,0.06631406396627426,-0.0881638377904892,2.568118095397949,0.0,0.0,1770.586669921875,0.0,1770.586669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.306617736816406,1.6368591785430908,0.0,0,0,1412,0.0053863525390625,1412,0,12531,12459,343,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,5,0.171875,0.0,0.4715457220000544,1.276787519454956,1.276787519454956,0.38535091280937195,0.8914365768432617,0.10856343805789948,0.09631822258234024,1.0,1.0,0.06616085767745972,0.0662420317530632,0.0662420317530632,0.09242818504571915,0.0,0.0,0.0,0.0,0.06623987853527069,-0.09044039994478226,2.5627427101135254,0.0,0.0,1770.6107177734375,0.0,1770.6107177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.307491302490234,1.6327883005142212,0.0,0,0,1580,0.0060272216796875,1580,0,12459,12397,344,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,6,0.203125,0.0,0.460641506296129,1.27778959274292,1.27778959274292,0.38613900542259216,0.8916506171226501,0.10834936797618866,0.09655330330133438,1.0,1.0,0.06615158915519714,0.0661713108420372,0.0661713108420372,0.09242818504571915,0.0,0.0,0.0,0.0,0.06617078930139542,-0.09324135631322861,2.556002140045166,0.0,0.0,1769.9136962890625,0.0,1769.9136962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28583908081055,1.6279182434082031,0.0,0,0,1690,0.00644683837890625,1690,0,12397,12370,349,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,7,0.234375,0.0,0.4481902250709918,1.2789981365203857,1.2789981365203857,0.38708722591400146,0.8919109106063843,0.10808909684419632,0.09683924168348312,1.0,1.0,0.06614615768194199,0.06609736382961273,0.06609736382961273,0.09242818504571915,0.0,0.0,0.0,0.0,0.066098652780056,-0.09663167595863342,2.5477182865142822,0.0,0.0,1771.181640625,0.0,1771.181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.326419830322266,1.595818281173706,0.0,0,0,1974,0.00753021240234375,1974,0,12370,12310,352,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,8,0.265625,0.06540312923014306,0.43431179096940364,1.2804542779922485,1.2804542779922485,0.3882339298725128,0.8922203183174133,0.10777967423200607,0.09718198329210281,1.0,1.0,0.06614452600479126,0.06601079553365707,0.06601079553365707,0.09242818504571915,0.0,0.0,0.0,0.0,0.06601432710886002,-0.10069333016872406,2.537663221359253,0.0,0.0,1774.704345703125,0.0,1774.704345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.43724822998047,1.5711978673934937,0.0,0,0,2275,0.008678436279296875,2275,0,12310,12257,356,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
0,9,0.296875,0.19509032201612825,0.4191398608984867,1.2822134494781494,1.2822134494781494,0.38962069153785706,0.8925927877426147,0.10740719735622406,0.09758684039115906,1.0,1.0,0.06614076346158981,0.06590256094932556,0.06590256094932556,0.09242818504571915,0.0,0.0,0.0,0.0,0.06590886414051056,-0.10552991926670074,2.52554988861084,0.0,0.0,1774.9305419921875,0.0,1774.9305419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44480895996094,1.5537446737289429,0.0,0,0,2583,0.009853363037109375,2583,0,12257,12166,359,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FLOW_ONLY,42
