sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,retrospective_only,used_for_ranking
0,0,True,227085,199516,-27569,0.12140387960455336,0.869269733325154,0.9943212574430121,0.8736067992161526,candidate_000000,True,False
0,9,True,2291,26690,24399,10.649934526407682,0.03762978875760831,0.0393780442113151,0.45875163683980796,candidate_000000,True,False
1,0,True,227085,204975,-22110,0.09736442301340907,0.8955237631450795,0.995843395536041,0.8988836779179602,candidate_000001,True,False
1,9,True,2291,21874,19583,8.54779572239197,0.06112501646686866,0.06363719484319283,0.6075949367088608,candidate_000001,True,False
2,0,True,227085,207681,-19404,0.0854481801968426,0.9052305912461217,0.9946504494874351,0.9096593786467623,candidate_000002,True,False
2,9,True,2291,17452,15161,6.617634220864251,0.06242264435236507,0.06646802658721064,0.5063291139240507,candidate_000002,True,False
3,0,True,227085,220087,-6998,0.030816654556663804,0.9564325246647561,0.9932753865516818,0.9626659620846819,candidate_000003,True,False
3,9,True,2291,7441,5150,2.247926669576604,0.08737430167597765,0.10509340142453971,0.3413356612832824,candidate_000003,True,False
4,0,True,227085,214577,-12508,0.05508069665543739,0.9352806113506502,0.9947291648219521,0.9399387894400775,candidate_000004,True,False
4,9,True,2291,13074,10783,4.706678306416412,0.07680986754502768,0.08383050328897047,0.4783937145351375,candidate_000004,True,False
5,0,True,227085,210639,-16446,0.07242222075434308,0.91818472635486,0.9947208256780559,0.9226809344518573,candidate_000005,True,False
5,9,True,2291,16364,14073,6.142732431252728,0.06709758608854823,0.07168174040576876,0.5120034919249236,candidate_000005,True,False
6,0,True,227085,210532,-16553,0.07289340995662417,0.9163302125572556,0.9939344137708281,0.9214831450778342,candidate_000006,True,False
6,9,True,2291,16289,13998,6.109995635093846,0.05754453867607718,0.06206642519491681,0.44129201222173725,candidate_000006,True,False
7,0,True,227085,205229,-21856,0.09624589911266707,0.8942945153558644,0.9944744651097067,0.8987603760706343,candidate_000007,True,False
7,9,True,2291,18643,16352,7.137494543867307,0.05705917996364371,0.060612562355844016,0.4932343954604976,candidate_000007,True,False
8,0,True,227085,210057,-17028,0.07498513772375982,0.9152817879503503,0.9945062530646444,0.9199330647114516,candidate_000008,True,False
8,9,True,2291,14618,12327,5.380619816673941,0.07107113447773485,0.07675468600355725,0.48974247053688347,candidate_000008,True,False
9,0,True,227085,208890,-18195,0.08012418257480679,0.9073524779504409,0.9928622720091914,0.9133099940550895,candidate_000009,True,False
9,9,True,2291,19673,17382,7.587079877782628,0.037211938043067626,0.04005489757535709,0.343954604975993,candidate_000009,True,False
10,0,True,227085,206992,-20093,0.08848228636854041,0.9029450961825101,0.9950577800108217,0.90701279256666,candidate_000010,True,False
10,9,True,2291,18493,16202,7.072020951549542,0.060678744577698396,0.06429459795598334,0.5189873417721519,candidate_000010,True,False
11,0,True,227085,210550,-16535,0.07281414448334324,0.9173745985708465,0.9944811208739017,0.9220688288526323,candidate_000011,True,False
11,9,True,2291,16852,14561,6.35573985159319,0.06249653105400455,0.06681699501542844,0.49148843299869055,candidate_000011,True,False
12,0,True,227085,204690,-22395,0.09861945967369047,0.8942069358836562,0.9957985245981729,0.8975934121584429,candidate_000012,True,False
12,9,True,2291,21819,19528,8.523788738542121,0.06305114638447971,0.06553920894633118,0.624181580096028,candidate_000012,True,False
13,0,True,227085,209609,-17476,0.07695796728097408,0.9156438353760714,0.9958160193503142,0.9191800427152829,candidate_000013,True,False
13,9,True,2291,19434,17143,7.482758620689655,0.06961744867313278,0.07275908202119996,0.6171977302487996,candidate_000013,True,False
14,0,True,227085,219998,-7087,0.03120857828566396,0.9555982276033715,0.993036300330003,0.962045049210648,candidate_000014,True,False
14,9,True,2291,8144,5853,2.554779572239197,0.07833006096930867,0.09307465618860511,0.33085988651243997,candidate_000014,True,False
15,0,True,227085,203591,-23494,0.1034590571812317,0.8890458186028967,0.9955744605606338,0.8925732655173173,candidate_000015,True,False
15,9,True,2291,22743,20452,8.927106067219555,0.058296343267808075,0.06063404124345952,0.6019205587079878,candidate_000015,True,False
16,0,True,227085,217930,-9155,0.04031530043816192,0.9499899217401211,0.9948194374340384,0.9547129929321619,candidate_000016,True,False
16,9,True,2291,10639,8348,3.6438236577913576,0.09874235214140041,0.10922079142776576,0.5072020951549542,candidate_000016,True,False
17,0,True,227085,196157,-30928,0.1361956976462558,0.8540476607674785,0.9939079410880061,0.8585419556553714,candidate_000017,True,False
17,9,True,2291,30036,27745,12.110432125709297,0.03482825954736067,0.036223198828072976,0.47490178961152335,candidate_000017,True,False
18,0,True,227085,214617,-12468,0.05490455115925755,0.9345912280240717,0.9942548819525014,0.9396657639209988,candidate_000018,True,False
18,9,True,2291,12287,9996,4.3631601920558705,0.0772186507056824,0.08504923903312445,0.4561326931470973,candidate_000018,True,False
19,0,True,227085,205543,-21542,0.09486315696765528,0.8974246517666047,0.9955094554424135,0.9010722857079948,candidate_000019,True,False
19,9,True,2291,19745,17454,7.618507202095155,0.06603454114459871,0.06913142567738668,0.5958096900916631,candidate_000019,True,False
20,0,True,227085,216821,-10264,0.04519893431974811,0.9458296074202655,0.9951711319475512,0.9501904573177444,candidate_000020,True,False
20,9,True,2291,11915,9624,4.200785683107813,0.09504355199260002,0.10348300461603022,0.5381929288520296,candidate_000020,True,False
21,0,True,227085,212972,-14113,0.06214853468965365,0.9272175459187696,0.9941165974869935,0.9323337076425127,candidate_000021,True,False
21,9,True,2291,14450,12159,5.307289393278045,0.06589838278364957,0.07162629757785467,0.45176778699257963,candidate_000021,True,False
22,0,True,227085,217787,-9298,0.04094502058700487,0.9483815021306974,0.9942879969878826,0.953576854481802,candidate_000022,True,False
22,9,True,2291,8926,6635,2.896115233522479,0.10284141185724117,0.11718574949585481,0.4565691837625491,candidate_000022,True,False
23,0,True,227085,208387,-18698,0.08233921218926833,0.9084164165041523,0.9947213597777212,0.9128167866657859,candidate_000023,True,False
