observation,metric,subset,fraction,count,mean,full_mean,enrichment
correct,label9_iou,full,1.0,1024,0.0652606246786131,0.0652606246786131,0.0
correct,label9_iou,top_10pct,0.1,103,0.08577275015259518,0.0652606246786131,0.020512125473982082
correct,label9_iou,top_5pct,0.05,52,0.08710010698310834,0.0652606246786131,0.021839482304495242
correct,label9_iou,top_1pct,0.01,11,0.09413030093757171,0.0652606246786131,0.028869676258958615
correct,label9_recall,full,1.0,1024,0.4842057746344392,0.4842057746344392,0.0
correct,label9_recall,top_10pct,0.1,103,0.4349607794112038,0.4842057746344392,-0.04924499522323539
correct,label9_recall,top_5pct,0.05,52,0.4162189839841521,0.4842057746344392,-0.06798679065028712
correct,label9_recall,top_1pct,0.01,11,0.3957382643545891,0.4842057746344392,-0.08846751027985011
correct,major_component_mean_recall,full,1.0,1024,0.3946220495535685,0.3946220495535685,0.0
correct,major_component_mean_recall,top_10pct,0.1,103,0.33825234010184935,0.3946220495535685,-0.05636970945171915
correct,major_component_mean_recall,top_5pct,0.05,52,0.31622222436984637,0.3946220495535685,-0.07839982518372213
correct,major_component_mean_recall,top_1pct,0.01,11,0.29641458799343734,0.3946220495535685,-0.09820746156013116
zero,label9_iou,full,1.0,1024,0.06526062467861307,0.06526062467861307,0.0
zero,label9_iou,top_10pct,0.1,103,0.08576271792990342,0.06526062467861307,0.02050209325129035
zero,label9_iou,top_5pct,0.05,52,0.08742714852969789,0.06526062467861307,0.02216652385108482
zero,label9_iou,top_1pct,0.01,11,0.09413030093757171,0.06526062467861307,0.028869676258958643
zero,label9_recall,full,1.0,1024,0.4842057746344392,0.4842057746344392,0.0
zero,label9_recall,top_10pct,0.1,103,0.4346937997143741,0.4842057746344392,-0.049511974920065094
zero,label9_recall,top_5pct,0.05,52,0.41669744485108967,0.4842057746344392,-0.06750832978334953
zero,label9_recall,top_1pct,0.01,11,0.3957382643545891,0.4842057746344392,-0.08846751027985011
zero,major_component_mean_recall,full,1.0,1024,0.39462204955356855,0.39462204955356855,0.0
zero,major_component_mean_recall,top_10pct,0.1,103,0.33792785596524655,0.39462204955356855,-0.056694193588322006
zero,major_component_mean_recall,top_5pct,0.05,52,0.3168139577216787,0.39462204955356855,-0.07780809183188986
zero,major_component_mean_recall,top_1pct,0.01,11,0.29641458799343734,0.39462204955356855,-0.09820746156013122
shuffled_xy,label9_iou,full,1.0,1024,0.06526062467861307,0.06526062467861307,0.0
shuffled_xy,label9_iou,top_10pct,0.1,103,0.08551679198777173,0.06526062467861307,0.020256167309158662
shuffled_xy,label9_iou,top_5pct,0.05,52,0.0867329879056026,0.06526062467861307,0.021472363226989533
shuffled_xy,label9_iou,top_1pct,0.01,11,0.09413030093757171,0.06526062467861307,0.028869676258958643
shuffled_xy,label9_recall,full,1.0,1024,0.4842057746344393,0.4842057746344393,0.0
shuffled_xy,label9_recall,top_10pct,0.1,103,0.43374453857009065,0.4842057746344393,-0.05046123606434866
shuffled_xy,label9_recall,top_5pct,0.05,52,0.4151613336467112,0.4842057746344393,-0.0690444409877281
shuffled_xy,label9_recall,top_1pct,0.01,11,0.3957382643545891,0.4842057746344393,-0.08846751027985023
shuffled_xy,major_component_mean_recall,full,1.0,1024,0.39462204955356855,0.39462204955356855,0.0
shuffled_xy,major_component_mean_recall,top_10pct,0.1,103,0.33684456427151854,0.39462204955356855,-0.05777748528205001
shuffled_xy,major_component_mean_recall,top_5pct,0.05,52,0.3149681187030718,0.39462204955356855,-0.07965393085049677
shuffled_xy,major_component_mean_recall,top_1pct,0.01,11,0.29641458799343734,0.39462204955356855,-0.09820746156013122
wrong_case,label9_iou,full,1.0,1024,0.0652606246786131,0.0652606246786131,0.0
wrong_case,label9_iou,top_10pct,0.1,103,0.08581363706056126,0.0652606246786131,0.020553012381948163
wrong_case,label9_iou,top_5pct,0.05,52,0.08710010698310836,0.0652606246786131,0.021839482304495256
wrong_case,label9_iou,top_1pct,0.01,11,0.09381366493609432,0.0652606246786131,0.02855304025748122
wrong_case,label9_recall,full,1.0,1024,0.48420577463443926,0.48420577463443926,0.0
wrong_case,label9_recall,top_10pct,0.1,103,0.434685324168443,0.48420577463443926,-0.049520450465996235
wrong_case,label9_recall,top_5pct,0.05,52,0.4162189839841522,0.48420577463443926,-0.06798679065028707
wrong_case,label9_recall,top_1pct,0.01,11,0.4012935994603388,0.48420577463443926,-0.08291217517410043
wrong_case,major_component_mean_recall,full,1.0,1024,0.3946220495535685,0.3946220495535685,0.0
wrong_case,major_component_mean_recall,top_10pct,0.1,103,0.3380699626347652,0.3946220495535685,-0.05655208691880331
wrong_case,major_component_mean_recall,top_5pct,0.05,52,0.31622222436984637,0.3946220495535685,-0.07839982518372213
wrong_case,major_component_mean_recall,top_1pct,0.01,11,0.2988637572215293,0.3946220495535685,-0.0957582923320392
