observation,metric,spearman_rho,desired_direction
correct,global_accuracy,-0.9346669003506466,negative
correct,truth_present_mean_iou,-0.878457725212056,negative
correct,label9_iou,-0.6384896019598025,negative
correct,label9_recall,0.4292348199363124,negative
correct,major_component_mean_recall,0.4321582750697374,negative
zero,global_accuracy,-0.9337877886725928,negative
zero,truth_present_mean_iou,-0.8757686404645385,negative
zero,label9_iou,-0.633950528842715,negative
zero,label9_recall,0.4340567986144296,negative
zero,major_component_mean_recall,0.43702213048065225,negative
shuffled_xy,global_accuracy,-0.9339514732565213,negative
shuffled_xy,truth_present_mean_iou,-0.8762584259232309,negative
shuffled_xy,label9_iou,-0.6348172928740827,negative
shuffled_xy,label9_recall,0.4329581678929,negative
shuffled_xy,major_component_mean_recall,0.4360620955338442,negative
wrong_case,global_accuracy,-0.9346471022748704,negative
wrong_case,truth_present_mean_iou,-0.8791310106101892,negative
wrong_case,label9_iou,-0.6400629090372647,negative
wrong_case,label9_recall,0.4273722413134341,negative
wrong_case,major_component_mean_recall,0.4304728515485301,negative
