step,cached_state_index,time,total_loss,flow_loss,cross_entropy_loss,dice_loss,residual_regularizer,endpoint_accuracy,used_residual_ratio,gradient_norm_before_clip
39,3,0.8,0.06712212413549423,0.027377888560295105,0.03248412162065506,0.1264880895614624,0.011872401461005211,0.9989121556282043,0.10896061360836029,0.09835377335548401
40,0,0.2,0.2046412080526352,0.025291793048381805,0.4739992022514343,0.24339157342910767,0.01727273501455784,0.9072250127792358,0.13142582774162292,0.360904723405838
41,1,0.4,0.1235598549246788,0.0230725035071373,0.22654272615909576,0.17540132999420166,0.0133515028283,0.9561845660209656,0.1155487522482872,0.13318724930286407
42,2,0.6,0.08703010529279709,0.024393238127231598,0.10494270920753479,0.14560049772262573,0.010668216273188591,0.9822521209716797,0.10328710824251175,0.07672323286533356
43,3,0.8,0.0642000213265419,0.02499992586672306,0.030698031187057495,0.12609857320785522,0.009430995211005211,0.9989535808563232,0.09711334854364395,0.07914571464061737
44,0,0.2,0.19653140008449554,0.02534925378859043,0.4455951452255249,0.23912596702575684,0.018569789826869965,0.9097685813903809,0.13627107441425323,0.35633766651153564
45,1,0.4,0.1204935759305954,0.023276083171367645,0.21499507129192352,0.17386919260025024,0.01433328352868557,0.9570134282112122,0.11972174048423767,0.1373412013053894
46,2,0.6,0.08398965001106262,0.025270577520132065,0.09230548143386841,0.14256590604782104,0.012209460139274597,0.9830084443092346,0.11049649119377136,0.09796583652496338
47,3,0.8,0.0640140175819397,0.026887865737080574,0.024942558258771896,0.123557448387146,0.011486123315989971,0.9989742636680603,0.1071733832359314,0.10580790042877197
48,0,0.2,0.18523423373699188,0.02648094855248928,0.4075537323951721,0.22745096683502197,0.021134374663233757,0.9156690239906311,0.14537672698497772,0.26370862126350403
49,1,0.4,0.11669182777404785,0.02441527508199215,0.19903680682182312,0.17006289958953857,0.016247117891907692,0.9575158953666687,0.12746423482894897,0.12682445347309113
50,2,0.6,0.07675320655107498,0.02441868931055069,0.08260726183652878,0.12672638893127441,0.011055312119424343,0.9831534624099731,0.10514429956674576,0.13768139481544495
51,3,0.8,0.05764157325029373,0.02394561842083931,0.019966745749115944,0.1148139238357544,0.007901267148554325,0.999015748500824,0.08888911455869675,0.21916016936302185
52,0,0.2,0.18057747185230255,0.02549736574292183,0.3920533359050751,0.22825920581817627,0.019598456099629402,0.9154514670372009,0.1399945318698883,0.4006343483924866
53,1,0.4,0.11470483988523483,0.022686561569571495,0.1991197168827057,0.16894805431365967,0.013325403444468975,0.9568735361099243,0.11543576419353485,0.16434884071350098
54,2,0.6,0.07451415061950684,0.023896271362900734,0.0802236944437027,0.12224382162094116,0.0099772484973073,0.9828426837921143,0.09988623112440109,0.21861770749092102
55,3,0.8,0.05057738348841667,0.024366360157728195,0.013139300979673862,0.09170138835906982,0.008546966128051281,0.9990519881248474,0.0924498438835144,0.5319958925247192
56,0,0.2,0.17241817712783813,0.025018809363245964,0.3695976436138153,0.2199918031692505,0.020002027973532677,0.9212275147438049,0.14142857491970062,0.27693822979927063
57,1,0.4,0.1110047847032547,0.02177811600267887,0.19327370822429657,0.1636277437210083,0.01302401814609766,0.959251344203949,0.11412287503480911,0.13774247467517853
58,2,0.6,0.07122649252414703,0.022078823298215866,0.08026006072759628,0.11632752418518066,0.007713679689913988,0.9827908873558044,0.08782760053873062,0.22975313663482666
59,3,0.8,0.04670418053865433,0.02076794020831585,0.01709165796637535,0.08665180206298828,0.003746385220438242,0.9989432096481323,0.06120774894952774,0.5691885352134705
60,0,0.2,0.1697319746017456,0.024875203147530556,0.3620758056640625,0.21734333038330078,0.019932851195335388,0.9205074906349182,0.14118380844593048,0.36753055453300476
61,1,0.4,0.1129532903432846,0.0238398015499115,0.19032502174377441,0.16612255573272705,0.015935929492115974,0.9574848413467407,0.1262376457452774,0.22765973210334778
62,2,0.6,0.07561198621988297,0.025335224345326424,0.07480553537607193,0.1262965202331543,0.012434665113687515,0.9831327795982361,0.11151088774204254,0.24086518585681915
63,3,0.8,0.046573977917432785,0.025976601988077164,0.007079208269715309,0.07530605792999268,0.010635416023433208,0.9989898204803467,0.10312819480895996,0.17859245836734772
64,0,0.2,0.17355209589004517,0.02507483959197998,0.3744450509548187,0.2194562554359436,0.019436370581388474,0.9196164608001709,0.139414444565773,0.35390836000442505
65,1,0.4,0.11504942178726196,0.023810284212231636,0.19655932486057281,0.1683909296989441,0.01570141687989235,0.959013044834137,0.12530535459518433,0.1836434155702591
66,2,0.6,0.08135157078504562,0.023224199190735817,0.09132295846939087,0.141182541847229,0.009979733265936375,0.9839978814125061,0.09989867359399796,0.10224293172359467
67,3,0.8,0.05868065729737282,0.023347653448581696,0.022006480023264885,0.11932259798049927,0.007351778447628021,0.999036431312561,0.08574256300926208,0.13588812947273254
68,0,0.2,0.16537345945835114,0.024214455857872963,0.34823164343833923,0.21639633178710938,0.02007828839123249,0.9224708080291748,0.1416979283094406,0.45549508929252625
69,1,0.4,0.10477445274591446,0.020655758678913116,0.1759089082479477,0.16056078672409058,0.012724538333714008,0.9622300267219543,0.1128031462430954,0.11318706721067429
70,2,0.6,0.06710182130336761,0.02207065559923649,0.07628932595252991,0.10383176803588867,0.008907947689294815,0.9844796657562256,0.09438197314739227,0.3029383718967438
71,3,0.8,0.03727267310023308,0.022662155330181122,0.006207779515534639,0.052231431007385254,0.007171039469540119,0.9990623593330383,0.08468203246593475,0.15281936526298523
72,0,0.2,0.1604209989309311,0.022895118221640587,0.33771228790283203,0.21238350868225098,0.019175365567207336,0.926791250705719,0.1384751945734024,0.3960838317871094
73,1,0.4,0.10399439930915833,0.020102808251976967,0.17660316824913025,0.15895825624465942,0.01235633809119463,0.9610126614570618,0.11115910857915878,0.14367525279521942
74,2,0.6,0.0640726089477539,0.021999433636665344,0.07138338685035706,0.09690558910369873,0.00934586487710476,0.9838942885398865,0.09667406231164932,0.24656781554222107
75,3,0.8,0.039773330092430115,0.02224257029592991,0.009048637002706528,0.06107163429260254,0.006912742741405964,0.9990623593330383,0.08314294368028641,0.5254814028739929
76,0,0.2,0.15731483697891235,0.02692505717277527,0.3136085569858551,0.2079395055770874,0.027643702924251556,0.9265063405036926,0.16626402735710144,0.3318759799003601
77,1,0.4,0.10481514036655426,0.024796240031719208,0.16311214864253998,0.15695536136627197,0.020252974703907967,0.9615306854248047,0.14231301844120026,0.2181835025548935
78,2,0.6,0.07045083492994308,0.025814315304160118,0.0696631520986557,0.10887706279754639,0.014644978567957878,0.9841895699501038,0.1210164949297905,0.28887563943862915
79,3,0.8,0.04213106259703636,0.027271194383502007,0.00657265679910779,0.05286163091659546,0.012965136207640171,0.9989691376686096,0.11386460810899734,0.32979369163513184
