sample_id,source_seed,baseline_target_iou,guided_target_iou,delta_target_iou,baseline_target_precision,guided_target_precision,delta_target_precision,baseline_target_recall,guided_target_recall,delta_target_recall,baseline_target_centroid_distance,guided_target_centroid_distance,delta_target_centroid_distance,baseline_global_voxel_accuracy,guided_global_voxel_accuracy,delta_global_voxel_accuracy,baseline_global_mean_iou,guided_global_mean_iou,delta_global_mean_iou,paired_hard_change_count,baseline_condition_violations,guided_condition_violations
0,42,0.02859647939569704,0.06699566322715717,0.038399183831460126,0.0674836861371956,0.16899283289324782,0.10150914675605222,0.04727921498661909,0.09991079393398751,0.05263157894736842,24.002561569213867,18.09963607788086,-5.902925491333008,0.5873655676841736,0.5871529579162598,-0.00021260976791381836,0.19290867447853088,0.15294577181339264,-0.039962902665138245,11660,0,0
1,142,0.018963765662038605,0.06711258079062077,0.04814881512858216,0.07301173402868318,0.1707130567769069,0.09770132274822373,0.024977698483496878,0.09957627118644068,0.0745985727029438,22.13328742980957,18.04906463623047,-4.084222793579102,0.6026979684829712,0.6011288166046143,-0.0015691518783569336,0.17453131079673767,0.16334734857082367,-0.011183962225914001,8498,0,0
2,242,0.06715602061533656,0.06927508042193462,0.0021190598065980587,0.18305661983822905,0.17389671361502348,-0.00915990622320556,0.09589652096342552,0.10325602140945585,0.007359500446030329,9.063100814819336,17.77978515625,8.716684341430664,0.5975601673126221,0.5913593769073486,-0.0062007904052734375,0.17301097512245178,0.1561218947172165,-0.01688908040523529,9075,0,0
3,342,0.06186990747134374,0.06845238095238096,0.006582473481037222,0.13978159126365056,0.17062314540059348,0.030841554136942922,0.09991079393398751,0.10258697591436218,0.00267618198037467,17.45408058166504,17.981704711914062,0.5276241302490234,0.5988104343414307,0.5944977402687073,-0.004312694072723389,0.17262697219848633,0.15713374316692352,-0.015493229031562805,11420,0,0
4,442,0.03756613756613757,0.06722500560831526,0.029658868042177697,0.08452380952380953,0.1694947209653092,0.08497091144149968,0.06333630686886708,0.10024531668153434,0.03690900981266726,12.513631820678711,17.82956886291504,5.315937042236328,0.6201564073562622,0.6162790060043335,-0.003877401351928711,0.18673819303512573,0.17054489254951477,-0.016193300485610962,11985,0,0
5,542,0.030725214578927726,0.06711012564671101,0.036384911067783285,0.06496580746975276,0.1659963436928702,0.10103053622311743,0.05508474576271186,0.10124888492417485,0.04616413916146298,13.655550956726074,17.68880844116211,4.033257484436035,0.5864898562431335,0.5874313712120056,0.0009415149688720703,0.17288048565387726,0.15996237099170685,-0.01291811466217041,13037,0,0
6,642,0.03685636856368564,0.06734861494810722,0.03049224638442158,0.08585858585858586,0.16932607471372255,0.08346748885513669,0.060660124888492414,0.10057983942908118,0.03991971454058876,16.720596313476562,18.040973663330078,1.3203773498535156,0.6113335490226746,0.6069398522377014,-0.0043936967849731445,0.17684242129325867,0.16147303581237793,-0.015369385480880737,11631,0,0
7,742,0.0312403499742666,0.06746357863279791,0.03622322865853131,0.05483783539615141,0.16973684210526316,0.11489900670911174,0.06768510258697591,0.1006913470115968,0.033006244424620884,21.167274475097656,18.14661979675293,-3.0206546783447266,0.6021512746810913,0.6016906499862671,-0.00046062469482421875,0.19359569251537323,0.16353845596313477,-0.030057236552238464,15830,0,0
