state,step,control,tau,guidance_weight,raw_gradient_norm,clipped_gradient_norm,reference_base_velocity_norm,requested_ratio,used_guidance_ratio,guidance_cap_fraction,applied_velocity_norm
base_step_08,8,correct,0.43431179096940364,0.06540312923014306,6.15961107541807e-06,6.15961107541807e-06,1923.5440673828125,0.06540312923014306,0.06540312618017197,0.0,125.60187530517578
base_step_08,8,zero,0.43431179096940364,0.06540312923014306,5.637237791233929e-06,5.637237791233929e-06,1923.5440673828125,0.06540312923014306,0.06540312618017197,0.0,125.58302307128906
base_step_08,8,shuffled_xy,0.43431179096940364,0.06540312923014306,6.210033461684361e-06,6.210033461684361e-06,1923.5440673828125,0.06540312923014306,0.06540312618017197,0.0,125.60353088378906
base_step_12,12,correct,0.367377970678444,0.5555702330196022,1.103870636143256e-05,1.103870636143256e-05,1918.9085693359375,0.5555702330196022,0.9956433773040771,0.0,1908.819580078125
base_step_12,12,zero,0.367377970678444,0.5555702330196022,1.0248192666040268e-05,1.0248192666040268e-05,1918.9085693359375,0.5555702330196022,1.0,1.0,1917.0379638671875
base_step_12,12,shuffled_xy,0.367377970678444,0.5555702330196022,1.1238925253564958e-05,1.1238925253564958e-05,1918.9085693359375,0.5555702330196022,1.0,1.0,1917.20263671875
base_step_16,16,correct,0.2901864651345164,0.8968727415326884,2.665861939021852e-05,2.665861939021852e-05,1915.5499267578125,0.8968727415326884,1.0,1.0,1914.83154296875
base_step_16,16,zero,0.2901864651345164,0.8968727415326884,2.51914061664138e-05,2.51914061664138e-05,1915.5499267578125,0.8968727415326884,1.0,1.0,1914.789794921875
base_step_16,16,shuffled_xy,0.2901864651345164,0.8968727415326884,2.696019691939e-05,2.696019691939e-05,1915.5499267578125,0.8968727415326884,1.0,1.0,1914.8397216796875
base_step_20,20,correct,0.21448898131394362,0.9978589232386035,8.893050107872114e-05,8.893050107872114e-05,1914.6224365234375,0.9978589232386035,1.0,1.0,1914.4072265625
base_step_20,20,zero,0.21448898131394362,0.9978589232386035,8.576299296692014e-05,8.576299296692014e-05,1914.6224365234375,0.9978589232386035,1.0,1.0,1914.3992919921875
base_step_20,20,shuffled_xy,0.21448898131394362,0.9978589232386035,8.948430331656709e-05,8.948430331656709e-05,1914.6224365234375,0.9978589232386035,1.0,1.0,1914.4085693359375
base_step_24,24,correct,0.1518097749290082,0.8314696123025455,0.0002847598516382277,0.0002847598516382277,1912.6312255859375,0.8314696123025455,1.0,1.0,1912.56396484375
base_step_24,24,zero,0.1518097749290082,0.8314696123025455,0.00027905029128305614,0.00027905029128305614,1912.6312255859375,0.8314696123025455,1.0,1.0,1912.5626220703125
base_step_24,24,shuffled_xy,0.1518097749290082,0.8314696123025455,0.00028194664628244936,0.00028194664628244936,1912.6312255859375,0.8314696123025455,1.0,1.0,1912.5633544921875
base_step_28,28,correct,0.11169118696339586,0.4422886902190013,0.00019990601867903024,0.00019990601867903024,1923.323974609375,0.4422886902190013,1.0,1.0,1923.227783203125
base_step_28,28,zero,0.11169118696339586,0.4422886902190013,0.00019566479022614658,0.00019566479022614658,1923.323974609375,0.4422886902190013,1.0,1.0,1923.225830078125
base_step_28,28,shuffled_xy,0.11169118696339586,0.4422886902190013,0.00019659889221657068,0.00019659889221657068,1923.323974609375,0.4422886902190013,1.0,1.0,1923.2261962890625
base_step_32,32,correct,0.10024090875896552,0.06540312923014312,0.0001389967801515013,0.0001389967801515013,1699.9669189453125,0.06540312923014312,1.0,1.0,1699.8447265625
base_step_32,32,zero,0.10024090875896552,0.06540312923014312,0.0001391522237099707,0.0001391522237099707,1699.9669189453125,0.06540312923014312,1.0,1.0,1699.8448486328125
base_step_32,32,shuffled_xy,0.10024090875896552,0.06540312923014312,0.000139984447741881,0.000139984447741881,1699.9669189453125,0.06540312923014312,1.0,1.0,1699.8455810546875
common_base_endpoint,32,correct,0.10024090875896552,0.06540312923014312,0.0001389967801515013,0.0001389967801515013,1699.9669189453125,0.06540312923014312,1.0,1.0,1699.8447265625
common_base_endpoint,32,zero,0.10024090875896552,0.06540312923014312,0.0001391522237099707,0.0001391522237099707,1699.9669189453125,0.06540312923014312,1.0,1.0,1699.8448486328125
common_base_endpoint,32,shuffled_xy,0.10024090875896552,0.06540312923014312,0.000139984447741881,0.000139984447741881,1699.9669189453125,0.06540312923014312,1.0,1.0,1699.8455810546875
