state,step,layer,left,right,cosine,left_norm,right_norm,norm_ratio_left_over_right,voxelwise_correlation
base_step_08,8,raw_negative_gradient,correct,zero,0.9149989266427496,6.159611440598639e-06,5.637237558046529e-06,1.0926648694814145,0.9149989265502089
base_step_08,8,raw_negative_gradient,correct,shuffled_xy,0.8403199219375478,6.159611440598639e-06,6.2100335549779506e-06,0.9918805407518462,0.8403199244808068
base_step_08,8,raw_negative_gradient,zero,shuffled_xy,0.9121805652956637,5.637237558046529e-06,6.2100335549779506e-06,0.9077628177270847,0.9121805662915111
base_step_08,8,clipped_negative_gradient,correct,zero,0.9149989266427496,6.159611440598639e-06,5.637237558046529e-06,1.0926648694814145,0.9149989265502089
base_step_08,8,clipped_negative_gradient,correct,shuffled_xy,0.8403199219375478,6.159611440598639e-06,6.2100335549779506e-06,0.9918805407518462,0.8403199244808068
base_step_08,8,clipped_negative_gradient,zero,shuffled_xy,0.9121805652956637,5.637237558046529e-06,6.2100335549779506e-06,0.9077628177270847,0.9121805662915111
base_step_08,8,applied_physics_velocity,correct,zero,0.9149989266798626,125.60188207677506,125.58301689551422,1.000150220799971,0.9149989265873215
base_step_08,8,applied_physics_velocity,correct,shuffled_xy,0.8403199221070287,125.60188207677506,125.60352955305798,0.999986883519207,0.8403199246502893
base_step_08,8,applied_physics_velocity,zero,shuffled_xy,0.9121805653848776,125.58301689551422,125.60352955305798,0.9998366872522074,0.9121805663807255
base_step_08,8,euler_state_delta,correct,zero,0.9149989266798626,3.9250588148992205,3.9244692779848194,1.000150220799971,0.9149989265873215
base_step_08,8,euler_state_delta,correct,shuffled_xy,0.8403199221070287,3.9250588148992205,3.925110298533062,0.999986883519207,0.8403199246502893
base_step_08,8,euler_state_delta,zero,shuffled_xy,0.9121805653848776,3.9244692779848194,3.925110298533062,0.9998366872522074,0.9121805663807255
base_step_08,8,raw_negative_gradient_hidden_roi,correct,zero,nan,8.403522207687783e-07,3.850051778906666e-07,2.1827036856304844,nan
base_step_08,8,raw_negative_gradient_hidden_roi,correct,shuffled_xy,nan,8.403522207687783e-07,4.0103721353322455e-07,2.095446986989296,nan
base_step_08,8,raw_negative_gradient_hidden_roi,zero,shuffled_xy,nan,3.850051778906666e-07,4.0103721353322455e-07,0.9600235711261998,nan
base_step_08,8,raw_negative_gradient_outside_hidden_roi,correct,zero,0.9216196956283054,6.102017801039475e-06,5.624074883822919e-06,1.084981606235598,0.9216196953051856
base_step_08,8,raw_negative_gradient_outside_hidden_roi,correct,shuffled_xy,0.8458854748038387,6.102017801039475e-06,6.19707075216296e-06,0.9846616320960497,0.8458854763296757
base_step_08,8,raw_negative_gradient_outside_hidden_roi,zero,shuffled_xy,0.911992317337576,5.624074883822919e-06,6.19707075216296e-06,0.9075376268473216,0.9119923182151176
base_step_12,12,raw_negative_gradient,correct,zero,0.9267104630343092,1.1038706148278006e-05,1.024819261671879e-05,1.0771368729223123,0.926710463465444
