state,step,optimized_by,evaluated_against,soft_rmse,hard_rmse,evaluated_against_correct_truth_observation
base_step_08,8,correct,correct,0.03418287634849548,0.19307361543178558,True
base_step_08,8,correct,zero,0.031290020793676376,0.1925681233406067,False
base_step_08,8,correct,shuffled_xy,0.0343223437666893,0.19307148456573486,False
base_step_08,8,zero,correct,0.034211914986371994,0.19303883612155914,True
base_step_08,8,zero,zero,0.031262852251529694,0.1925276815891266,False
base_step_08,8,zero,shuffled_xy,0.03429941460490227,0.1930258870124817,False
base_step_08,8,shuffled_xy,correct,0.03423613682389259,0.19306769967079163,True
base_step_08,8,shuffled_xy,zero,0.0312916599214077,0.1925564855337143,False
base_step_08,8,shuffled_xy,shuffled_xy,0.03426776081323624,0.19304104149341583,False
base_step_12,12,correct,correct,0.032423585653305054,0.1867801696062088,True
base_step_12,12,correct,zero,0.02943830005824566,0.18627168238162994,False
base_step_12,12,correct,shuffled_xy,0.032621774822473526,0.186811625957489,False
base_step_12,12,zero,correct,0.032140567898750305,0.18624156713485718,True
base_step_12,12,zero,zero,0.028964243829250336,0.1857025921344757,False
base_step_12,12,zero,shuffled_xy,0.03219658508896828,0.1862490475177765,False
base_step_12,12,shuffled_xy,correct,0.032615914940834045,0.18691490590572357,True
base_step_12,12,shuffled_xy,zero,0.029499588534235954,0.1863860934972763,False
base_step_12,12,shuffled_xy,shuffled_xy,0.032596297562122345,0.18692663311958313,False
base_step_16,16,correct,correct,0.03600624203681946,0.18033048510551453,True
base_step_16,16,correct,zero,0.03331642597913742,0.17977605760097504,False
base_step_16,16,correct,shuffled_xy,0.036145005375146866,0.18034276366233826,False
base_step_16,16,zero,correct,0.03566417843103409,0.18002256751060486,True
base_step_16,16,zero,zero,0.03279617428779602,0.17946654558181763,False
base_step_16,16,zero,shuffled_xy,0.03565693646669388,0.18004371225833893,False
base_step_16,16,shuffled_xy,correct,0.03622628375887871,0.18052789568901062,True
base_step_16,16,shuffled_xy,zero,0.03341500833630562,0.17996306717395782,False
base_step_16,16,shuffled_xy,shuffled_xy,0.03618606552481651,0.18050768971443176,False
base_step_20,20,correct,correct,0.044968049973249435,0.15459993481636047,True
base_step_20,20,correct,zero,0.04277040809392929,0.15399746596813202,False
base_step_20,20,correct,shuffled_xy,0.04499465972185135,0.1546115130186081,False
base_step_20,20,zero,correct,0.04447416216135025,0.15434810519218445,True
base_step_20,20,zero,zero,0.042258527129888535,0.1537078320980072,False
base_step_20,20,zero,shuffled_xy,0.0445106141269207,0.15432560443878174,False
base_step_20,20,shuffled_xy,correct,0.044973596930503845,0.15459519624710083,True
base_step_20,20,shuffled_xy,zero,0.04279628396034241,0.1539451628923416,False
base_step_20,20,shuffled_xy,shuffled_xy,0.045052774250507355,0.1545754373073578,False
base_step_24,24,correct,correct,0.049694985151290894,0.07933935523033142,True
base_step_24,24,correct,zero,0.047732289880514145,0.07829707860946655,False
base_step_24,24,correct,shuffled_xy,0.04975074529647827,0.07953616231679916,False
base_step_24,24,zero,correct,0.049465905874967575,0.07903320342302322,True
base_step_24,24,zero,zero,0.04744746536016464,0.07800566405057907,False
base_step_24,24,zero,shuffled_xy,0.049485065042972565,0.07923182100057602,False
base_step_24,24,shuffled_xy,correct,0.04967610165476799,0.07923458516597748,True
base_step_24,24,shuffled_xy,zero,0.04766101390123367,0.07820774614810944,False
base_step_24,24,shuffled_xy,shuffled_xy,0.04968355968594551,0.07941490411758423,False
base_step_28,28,correct,correct,0.04096927121281624,0.045270707458257675,True
base_step_28,28,correct,zero,0.04007823020219803,0.04456360265612602,False
base_step_28,28,correct,shuffled_xy,0.042383432388305664,0.04663703963160515,False
base_step_28,28,zero,correct,0.041320670396089554,0.04557488486170769,True
base_step_28,28,zero,zero,0.040047693997621536,0.044532377272844315,False
base_step_28,28,zero,shuffled_xy,0.042370617389678955,0.046621862798929214,False
base_step_28,28,shuffled_xy,correct,0.041308801621198654,0.04557152837514877,True
base_step_28,28,shuffled_xy,zero,0.0400526225566864,0.04454682767391205,False
base_step_28,28,shuffled_xy,shuffled_xy,0.042330529540777206,0.04660541191697121,False
base_step_32,32,correct,correct,0.042275212705135345,0.04324248805642128,True
base_step_32,32,correct,zero,0.04132954776287079,0.04232585057616234,False
base_step_32,32,correct,shuffled_xy,0.04357517138123512,0.04452051222324371,False
base_step_32,32,zero,correct,0.042352307587862015,0.0433214046061039,True
base_step_32,32,zero,zero,0.041326042264699936,0.04231879860162735,False
base_step_32,32,zero,shuffled_xy,0.04357202723622322,0.04451380670070648,False
base_step_32,32,shuffled_xy,correct,0.042347975075244904,0.04331069439649582,True
base_step_32,32,shuffled_xy,zero,0.04132329672574997,0.042307835072278976,False
base_step_32,32,shuffled_xy,shuffled_xy,0.043570760637521744,0.044503867626190186,False
common_base_endpoint,32,correct,correct,0.042275212705135345,0.04324248805642128,True
common_base_endpoint,32,correct,zero,0.04132954776287079,0.04232585057616234,False
common_base_endpoint,32,correct,shuffled_xy,0.04357517138123512,0.04452051222324371,False
common_base_endpoint,32,zero,correct,0.042352307587862015,0.0433214046061039,True
common_base_endpoint,32,zero,zero,0.041326042264699936,0.04231879860162735,False
common_base_endpoint,32,zero,shuffled_xy,0.04357202723622322,0.04451380670070648,False
common_base_endpoint,32,shuffled_xy,correct,0.042347975075244904,0.04331069439649582,True
common_base_endpoint,32,shuffled_xy,zero,0.04132329672574997,0.042307835072278976,False
common_base_endpoint,32,shuffled_xy,shuffled_xy,0.043570760637521744,0.044503867626190186,False
