state,step,level,left,right,cosine,left_norm,right_norm,norm_ratio_left_over_right
base_step_08,8,reflectivity,correct,zero,0.9040590677006058,33.14586961124129,30.042877610367018,1.1032854455927188
base_step_08,8,reflectivity,correct,shuffled_xy,0.8210300541081531,33.14586961124129,33.19885329873041,0.9984040506757156
base_step_08,8,reflectivity,zero,shuffled_xy,0.9043784305563386,30.042877610367018,33.19885329873041,0.9049372079220555
base_step_08,8,twt,correct,zero,-0.992739734800312,193859.5678242137,412894.21790596924,0.4695138837433719
base_step_08,8,twt,correct,shuffled_xy,0.9876953726014092,193859.5678242137,193839.96328348646,1.000101137765377
base_step_08,8,twt,zero,shuffled_xy,-0.992887621462656,412894.21790596924,193839.96328348646,2.1300778792561004
base_step_08,8,spikes,correct,zero,0.9038673493527987,30.031944923774606,27.206567559703146,1.1038490929762215
base_step_08,8,spikes,correct,shuffled_xy,0.8208621307906896,30.031944923774606,30.10825241914989,0.9974655621218737
base_step_08,8,spikes,zero,shuffled_xy,0.9043777445502866,27.206567559703146,30.10825241914989,0.9036249324918915
base_step_08,8,seismic,correct,zero,0.9133298824203027,39.499160332337766,36.15610884398323,1.0924615948795844
base_step_08,8,seismic,correct,shuffled_xy,0.8377374086599404,39.499160332337766,39.61034901056733,0.9971929386888284
base_step_08,8,seismic,zero,shuffled_xy,0.9138370324786159,36.15610884398323,39.61034901056733,0.9127945031319322
base_step_12,12,reflectivity,correct,zero,0.9201785348693865,36.18551110129243,33.40526394467058,1.083227815868385
base_step_12,12,reflectivity,correct,shuffled_xy,0.849908393196749,36.18551110129243,36.260878298094205,0.9979215286463224
base_step_12,12,reflectivity,zero,shuffled_xy,0.9205197726706518,33.40526394467058,36.260878298094205,0.9212480643753819
base_step_12,12,twt,correct,zero,-0.9923711009050433,190735.52364312756,416058.2609071424,0.45843465102041725
base_step_12,12,twt,correct,shuffled_xy,0.9872893063969423,190735.52364312756,190720.892440205,1.0000767152603753
base_step_12,12,twt,zero,shuffled_xy,-0.9924823984971629,416058.2609071424,190720.892440205,2.181503324485467
base_step_12,12,spikes,correct,zero,0.9172479435895444,32.2558580241444,29.64905115427794,1.087922100990754
base_step_12,12,spikes,correct,shuffled_xy,0.8446030679359123,32.2558580241444,32.31531834311145,0.9981599958776293
