case_id,arm,voxel_count,positive_count,prevalence,auprc,brier,roc_auc,probability_mean,probability_minimum,probability_maximum
native_seed20260901,correct,225115,1800,0.007995913199920041,0.25224257209566214,0.010095149429387936,0.8963192364049786,0.024025849169838364,0.0,0.9945089221000671
native_seed20260901,constant_prior,225115,1800,0.007995913199920041,0.007995913199920041,0.011374236292364255,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
native_seed20260901,shuffled_xy,225115,1800,0.007995913199920041,0.012416206113058482,0.014318909839170939,0.6405029977585225,0.024130660186078005,0.0,0.9945089221000671
native_seed20260901,wrong_case,225115,1800,0.007995913199920041,0.2850931896896192,0.008645398695455844,0.8360599850236462,0.019521001743618847,0.0,0.9945089221000671
native_seed20260902,correct,225115,2446,0.010865557603891345,0.28120094936231965,0.010403687708605934,0.8527811431600822,0.019521001743618847,0.0,0.9945089221000671
native_seed20260902,constant_prior,225115,2446,0.010865557603891345,0.010865557603891345,0.013861261422517568,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
native_seed20260902,shuffled_xy,225115,2446,0.010865557603891345,0.01387215151585331,0.015559248768493681,0.5949761533667959,0.01961104062411262,0.0,0.9945089221000671
native_seed20260902,wrong_case,225115,2446,0.010865557603891345,0.18256500821925128,0.011888128466107683,0.833787590633659,0.02089819649254737,0.0,0.9945089221000671
native_seed20260903,correct,225115,2264,0.01005708193589943,0.16536077778467995,0.01145542213155372,0.8395025480350345,0.02089819649254737,0.0,0.9945089221000671
native_seed20260903,constant_prior,225115,2264,0.01005708193589943,0.01005708193589943,0.013160582515879947,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
native_seed20260903,shuffled_xy,225115,2264,0.01005708193589943,0.013683010969361,0.015078147306683441,0.6079494153448295,0.02101257263871305,0.0,0.9945089221000671
native_seed20260903,wrong_case,225115,2264,0.01005708193589943,0.2187745560937384,0.011861451907981926,0.8714746991100695,0.024025849169838364,0.0,0.9945089221000671
