iteration,seismic_mse,seismic_rmse,gradient_norm,q_min,q_mean,q_max
0,0.0009134454885497689,0.030223261564970016,0.000644159154035151,0.07395744323730469,0.5195075273513794,0.9731849431991577
10,0.0007822780753485858,0.027969233691692352,0.00011669459490804002,0.15527567267417908,0.5272563695907593,0.9298844933509827
20,0.0007368862279690802,0.02714564837515354,5.344129749573767e-05,0.1853448897600174,0.5354082584381104,0.8689169883728027
30,0.0007174547645263374,0.026785345748066902,3.201420986442827e-05,0.16365517675876617,0.5326348543167114,0.8573383092880249
40,0.0007095866021700203,0.02663806639611721,1.7004251276375726e-05,0.1975993812084198,0.5289952754974365,0.8676629662513733
50,0.0007076084730215371,0.02660091035068035,8.964391781773884e-06,0.18677641451358795,0.5297291278839111,0.8706539273262024
60,0.000706933147739619,0.026588214561343193,7.004385224718135e-06,0.19303913414478302,0.5311263799667358,0.8714904189109802
70,0.0007063859375193715,0.026577921584248543,5.134746970725246e-06,0.1950606256723404,0.5305383801460266,0.8715987205505371
80,0.0007061706273816526,0.026573870331048965,4.8839588089322206e-06,0.19917133450508118,0.5306658148765564,0.8714345693588257
90,0.000705951766576618,0.026569752022624016,4.0518543755752034e-06,0.20151789486408234,0.5311523079872131,0.8711898922920227
100,0.0007057976326905191,0.026566851884126663,3.6448270748223877e-06,0.20226892828941345,0.5315848588943481,0.8709318041801453
110,0.0007057326147332788,0.02656562812626362,4.654809799831128e-06,0.2030918002128601,0.5317415595054626,0.8706813454627991
120,0.0007056194008328021,0.026563497260212898,3.773394837480737e-06,0.20295843482017517,0.5320411920547485,0.8704435229301453
130,0.0007054965826682746,0.026561185717582703,3.1708614187664352e-06,0.20266078412532806,0.5318339467048645,0.8702195286750793
140,0.0007054366869851947,0.026560058817267418,3.309155317765544e-06,0.20299749076366425,0.5317822694778442,0.8700089454650879
150,0.000705385988112539,0.026559103280305862,3.5809750897897175e-06,0.20290282368659973,0.5317147970199585,0.869810938835144
160,0.0007053125882521272,0.026557721197605133,3.0206292649381794e-06,0.20279859006404877,0.5317428708076477,0.8696245551109314
170,0.0007052731816656888,0.02655697986483574,3.234395535400836e-06,0.20289398729801178,0.5318599939346313,0.869448721408844
180,0.0007052410510368645,0.02655637450516224,3.3854735193017405e-06,0.20287346839904785,0.5321913361549377,0.8692826628684998
190,0.0007051839493215084,0.026555299758911133,2.908768919951399e-06,0.20286773145198822,0.5322366952896118,0.869125247001648
200,0.000705163343809545,0.026554912328720093,3.1318788842327194e-06,0.2028803676366806,0.5324170589447021,0.8690550923347473
210,0.0007051366847008467,0.0265544094145298,3.284441845607944e-06,0.20286764204502106,0.5326390266418457,0.8690611720085144
220,0.0007050965214148164,0.026553653180599213,2.8075228328816593e-06,0.2028714120388031,0.5326929092407227,0.8690332770347595
230,0.0007050793501548469,0.026553330942988396,3.060084736716817e-06,0.2028719037771225,0.5327334403991699,0.8689786195755005
240,0.0007050670101307333,0.026553098112344742,3.21626089316851e-06,0.20287036895751953,0.532942533493042,0.8689032793045044
250,0.000705026846844703,0.026552341878414154,2.747509597611497e-06,0.2028721570968628,0.5328162908554077,0.8688123226165771
260,0.0007050220738165081,0.02655225247144699,3.004330892508733e-06,0.20287169516086578,0.5328126549720764,0.8687101006507874
270,0.0007050107233226299,0.02655203826725483,3.183227363479091e-06,0.20287157595157623,0.5329413414001465,0.8686001896858215
280,0.0007049826090224087,0.026551509276032448,2.6968448310071835e-06,0.20287172496318817,0.5330266952514648,0.8684853315353394
290,0.0007049772539176047,0.02655140683054924,2.9788204756187042e-06,0.20287154614925385,0.5330309867858887,0.8683677911758423
299,0.0007049611886031926,0.026551105082035065,2.9577017812698614e-06,0.2028716504573822,0.5332182049751282,0.8682611584663391
