sample_id,step,t,w_t,tau,scale_0_sigma,scale_0_loss,scale_0_target_std_mean,scale_1_sigma,scale_1_loss,scale_1_target_std_mean,scale_2_sigma,scale_2_loss,scale_2_target_std_mean,property_loss,property_mae_mean,confidence_fraction,soft_class_entropy_confident_mean,predicted_property_min,predicted_property_max,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_confidence,hard_change_outside_confidence,alpha,property_loss_mode,guidance_scaling_mode,guidance_reference_policy
0,0,0.015625,0.0,0.49975909124103446,0.0,13.177620887756348,1589502.875,1.5,225.8493194580078,205418.921875,3.0,49.118995666503906,87567.359375,84.16741180419922,2384176.25,0.08468246459960938,2.5783591270446777,0.00038641379796899855,10557408.0,0.0,0.0,1773.5841064453125,0.0,1773.5841064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4033317565918,1.5318021774291992,1051.72021484375,0,0,904,0.003448486328125,95,809,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,1,0.046875,0.0,0.4978353019929562,0.0,13.207632064819336,1589502.875,1.5,226.3694610595703,205418.921875,3.0,49.23673629760742,87567.359375,84.36199951171875,2384803.0,0.08468246459960938,2.5773751735687256,0.00038606865564361215,10585492.0,0.0,0.0,1772.2952880859375,0.0,1772.2952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.361026763916016,1.6029452085494995,0.0,0,0,996,0.0037994384765625,101,895,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,2,0.078125,0.0,0.4940062506389088,0.0,13.250975608825684,1589502.875,1.5,226.93531799316406,205418.921875,3.0,49.36312484741211,87567.359375,84.5787124633789,2385652.0,0.08468246459960938,2.575392246246338,0.00038531000609509647,10642205.0,0.0,0.0,1772.0030517578125,0.0,1772.0030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.351600646972656,1.6130620241165161,0.0,0,0,1100,0.0041961669921875,133,967,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,3,0.109375,0.0,0.4883088130366042,0.0,13.30895709991455,1589502.875,1.5,227.56573486328125,205418.921875,3.0,49.5022087097168,87567.359375,84.82464599609375,2386723.75,0.08468246459960938,2.5723605155944824,0.0003841316793113947,10728654.0,0.0,0.0,1770.676513671875,0.0,1770.676513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30962371826172,1.6300691366195679,0.0,0,0,1133,0.004322052001953125,128,1005,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,4,0.140625,0.0,0.48079785862468866,0.0,13.381715774536133,1589502.875,1.5,228.23524475097656,205418.921875,3.0,49.648094177246094,87567.359375,85.09104919433594,2387994.75,0.08468246459960938,2.5682051181793213,0.00038252852391451597,10846515.0,0.0,0.0,1770.586669921875,0.0,1770.586669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.306617736816406,1.6368591785430908,0.0,0,0,1412,0.0053863525390625,170,1242,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,5,0.171875,0.0,0.4715457220000544,0.0,13.47132396697998,1589502.875,1.5,228.96131896972656,205418.921875,3.0,49.80472183227539,87567.359375,85.385009765625,2389467.5,0.08468246459960938,2.5628204345703125,0.0003804908774327487,10998039.0,0.0,0.0,1770.6107177734375,0.0,1770.6107177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.307491302490234,1.6327883005142212,0.0,0,0,1580,0.0060272216796875,203,1377,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,6,0.203125,0.0,0.460641506296129,0.0,13.57652759552002,1589502.875,1.5,229.65858459472656,205418.921875,3.0,49.9526252746582,87567.359375,85.67636108398438,2391041.0,0.08468246459960938,2.5560669898986816,0.00037801050348207355,11186075.0,0.0,0.0,1769.9136962890625,0.0,1769.9136962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28583908081055,1.6279182434082031,0.0,0,0,1690,0.00644683837890625,197,1493,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,7,0.234375,0.0,0.4481902250709918,0.0,13.699714660644531,1589502.875,1.5,230.32809448242188,205418.921875,3.0,50.092132568359375,87567.359375,85.96671295166016,2392779.0,0.08468246459960938,2.5477652549743652,0.0003742830303963274,11414037.0,0.0,0.0,1771.181640625,0.0,1771.181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.326419830322266,1.595818281173706,0.0,0,0,1974,0.00753021240234375,226,1748,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,8,0.265625,0.06540312923014306,0.43431179096940364,0.0,13.843528747558594,1589502.875,1.5,230.95924377441406,205418.921875,3.0,50.220611572265625,87567.359375,86.25365447998047,2394751.25,0.08468246459960938,2.537684917449951,0.0003691694582812488,11685860.0,0.0,0.0,1774.704345703125,0.0,1774.704345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.43724822998047,1.5711978673934937,0.0,0,0,2275,0.008678436279296875,285,1990,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,9,0.296875,0.19509032201612825,0.4191398608984867,0.0,14.012900352478027,1589502.875,1.5,231.5808563232422,205418.921875,3.0,50.345516204833984,87567.359375,86.5498046875,2397060.75,0.08468246459960938,2.5255355834960938,0.0003632568405009806,12005818.0,0.0,0.0,1774.9305419921875,0.0,1774.9305419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44480895996094,1.5537446737289429,0.0,0,0,2583,0.009853363037109375,293,2290,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
