iteration,accepted,accepted_flip_count,hard_rmse,hard_attainment,positive_action_count,gradient_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,True,0,0.008885824121534824,0.0,0,,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,True,512,0.007974405772984028,0.10256992892105199,512,0.3196500241756439,512,1280,512,1.0,0.4,0.4,0,0.4000000059604645,0.4000000059604645
2,True,128,0.00786652136594057,0.11471111082695973,2944,0.4614177346229553,640,1280,640,1.0,0.5,0.5,0,0.5,0.5
3,True,256,0.007496263366192579,0.15637950249033628,2816,0.3496345281600952,896,1280,896,1.0,0.7,0.7,0,0.699999988079071,0.699999988079071
4,False,0,0.007496263366192579,0.15637950249033628,1024,0.26930445432662964,896,1280,896,1.0,0.7,0.7,0,0.699999988079071,0.699999988079071
