sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou
0,project/geodata-3d-conditional/guided-results/mu_01/sample_0.pt,0.21193352341651917,13,0.6056287884712219,0.15966449677944183
1,project/geodata-3d-conditional/guided-results/mu_01/sample_1.pt,0.21078510582447052,12,0.6173470616340637,0.1665840446949005
2,project/geodata-3d-conditional/guided-results/mu_01/sample_2.pt,0.1737981140613556,3,0.6153526902198792,0.16671434044837952
3,project/geodata-3d-conditional/guided-results/mu_01/sample_3.pt,0.23651748895645142,16,0.5766798853874207,0.1554877609014511
4,project/geodata-3d-conditional/guided-results/mu_01/sample_4.pt,0.195689857006073,6,0.6207183003425598,0.16728274524211884
5,project/geodata-3d-conditional/guided-results/mu_01/sample_5.pt,0.20301982760429382,9,0.5749892592430115,0.15884974598884583
6,project/geodata-3d-conditional/guided-results/mu_01/sample_6.pt,0.1905406266450882,4,0.5864543914794922,0.15822269022464752
7,project/geodata-3d-conditional/guided-results/mu_01/sample_7.pt,0.1921910047531128,5,0.6026878356933594,0.15741117298603058
8,project/geodata-3d-conditional/guided-results/mu_01/sample_8.pt,0.22949224710464478,15,0.6170383095741272,0.16946478188037872
9,project/geodata-3d-conditional/guided-results/mu_01/sample_9.pt,0.20418229699134827,10,0.6323403716087341,0.17462626099586487
10,project/geodata-3d-conditional/guided-results/mu_01/sample_10.pt,0.16963046789169312,1,0.6137986779212952,0.1674126535654068
11,project/geodata-3d-conditional/guided-results/mu_01/sample_11.pt,0.198053777217865,7,0.6049606204032898,0.1690765768289566
12,project/geodata-3d-conditional/guided-results/mu_01/sample_12.pt,0.20528694987297058,11,0.5872541666030884,0.15430620312690735
13,project/geodata-3d-conditional/guided-results/mu_01/sample_13.pt,0.21895918250083923,14,0.589299201965332,0.16343259811401367
14,project/geodata-3d-conditional/guided-results/mu_01/sample_14.pt,0.16991643607616425,2,0.6289843320846558,0.191438689827919
15,project/geodata-3d-conditional/guided-results/mu_01/sample_15.pt,0.19975559413433075,8,0.6233403086662292,0.1841174066066742
