iteration,accepted,accepted_flip_count,hard_rmse,hard_attainment,positive_action_count,gradient_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,True,0,0.008885824121534824,0.0,0,,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,True,32,0.008813475258648396,0.008142054343737382,512,0.3196500241756439,32,1280,32,1.0,0.025,0.025,0,0.05000000074505806,0.0
2,True,32,0.008740527555346489,0.016351501470326046,544,0.3275904357433319,64,1280,64,1.0,0.05,0.05,0,0.10000000149011612,0.0
3,True,32,0.008666962385177612,0.024630437578299524,576,0.3353428542613983,96,1280,96,1.0,0.075,0.075,0,0.10000000149011612,0.05000000074505806
4,True,32,0.008592767640948296,0.03298022519670463,608,0.3283715546131134,128,1280,128,1.0,0.1,0.1,0,0.10000000149011612,0.10000000149011612
5,True,32,0.008530449122190475,0.03999347663016384,640,0.3212490379810333,160,1280,160,1.0,0.125,0.125,0,0.15000000596046448,0.10000000149011612
6,False,0,0.008530449122190475,0.03999347663016384,1504,0.843085765838623,160,1280,160,1.0,0.125,0.125,0,0.15000000596046448,0.10000000149011612
