candidate_id,candidate_index,source_seed,source_noise_sha256,hard_model_sha256,predicted_observation_sha256,condition_violations,model_chunk,prediction_chunk,chunk_offset,batch_seconds
candidate_000000,0,9321000,610f01dd1c86e277998a991ef5ae854ecc0b65fcab13d84df188a69835b1e74e,e157104d3d8497381a891f77087bc67ff91c807413bb5bc1fee6f245e3d9f897,d9dcad3de6334fe755af38a3487da1392a5f7a5fb95af00a379db4d69be46c2e,0,cache/models_000000_000003.pt.gz,cache/predictions_000000_000003.pt.gz,0,12.008292999002151
candidate_000001,1,9321001,c3c7e40b9c13e784dfb84f4928eb901e6a435f84aa192a502abd173702f1a003,a24672b268bde0f4ecc9f88cf17c84e463f3497c7c347b067bc6c6906a0e1448,2611de58df5c46086fad16b7808e0ff911586b76553c1c67094c34eb538029db,0,cache/models_000000_000003.pt.gz,cache/predictions_000000_000003.pt.gz,1,12.008292999002151
candidate_000002,2,9321002,ef5ec9caa6a7327ac62845e174921babad0dbe1a7d144305d88c41a7680f4717,7470e0d97b3e1ada928176e38771bbf58f27faf246a8c897507a0e46e59da957,c3b3721f6467b5086f7454beb7b50ca7d46c181f2559f3da99e7a555addea8b2,0,cache/models_000000_000003.pt.gz,cache/predictions_000000_000003.pt.gz,2,12.008292999002151
candidate_000003,3,9321003,2e33914bc9e30c405f78a9aee7677a49dc4c756638518d12431134fc55394b0c,cfb470fd309ae030b0a50179bd02d9bc5e5f0e7863ba37fed3a475508506b162,7987bdd1e51d49bc568e8cd9e9220ec93fa437e94317384ceb2bf50d9cd914bd,0,cache/models_000000_000003.pt.gz,cache/predictions_000000_000003.pt.gz,3,12.008292999002151
candidate_000004,4,9321004,02fdd8bb7471f536d14c4bb052a30bfe137e8c02f5c777e2a14244fc9e738bcb,1a62d8072888cdf461431c8d19aabb60cab3582cb28fc9424283e5717f5a33fa,9e4fdc592c72a4520089cef5af38b52af04a29c6e21b91401020a5558d81d502,0,cache/models_000004_000007.pt.gz,cache/predictions_000004_000007.pt.gz,0,11.743283420917578
candidate_000005,5,9321005,67dea5b2ecd29cefedd240cad2b29dcb49a5f60b29923cfe97d695b26c89a194,860490430bbf866efd2e72eb06a710714fc2c24f9e220d27e398f1c61656abc4,5e858b8d9847f43109008cdd7cca4296b0a5ce0fa6e4feb554caa429b882fbff,0,cache/models_000004_000007.pt.gz,cache/predictions_000004_000007.pt.gz,1,11.743283420917578
candidate_000006,6,9321006,bb64efcef5e0143ee768670598a7650b7f72cf1359e4ffd97e76c6b4f388e038,77449849d80178f690dd0779363c5fe69e675949e1ac0b9b82490457b1934794,925ce7b3c863f2bf7a3fcf3ea7ef02a54ccd20904a980c4402ce752a0232ea24,0,cache/models_000004_000007.pt.gz,cache/predictions_000004_000007.pt.gz,2,11.743283420917578
candidate_000007,7,9321007,d7018708842646d092309d8f8673f5954547f81c83091b0da16c446d2d318d94,5a30663c90a9cde1ea053876c27c5e41268ba5e764ecc5f4a91e8335f3751863,e0f471e5b694aa1b151e05bf1079cff257b5da30bbc74d6795fb504d68b8ea2e,0,cache/models_000004_000007.pt.gz,cache/predictions_000004_000007.pt.gz,3,11.743283420917578
candidate_000008,8,9321008,ebfd219ebed3658432bb16b07dd8c65b5d205e6a8839dc875190f83152521258,69e3927aca12a7a58d1b0d834e78e2464a8735b2609bbb87ec2a2806a0a65ad3,fdb3cb55e36df57878194e6a664974515381e84c0f90a29278dd8a12078d1ad8,0,cache/models_000008_000011.pt.gz,cache/predictions_000008_000011.pt.gz,0,11.759964504046366
candidate_000009,9,9321009,c9a0ad8afde9b6c7e8fb1b53772b705451e00e74f5010a35833eae952843218c,8106be92f38914da5b9a3f3bf1cc62dd33a59506664f3462b7fd1c0885dc6d00,7d6ccbf10e52dded7228fb9b97f1d87848af2126783432f4f1a8c4e6b6bdb6eb,0,cache/models_000008_000011.pt.gz,cache/predictions_000008_000011.pt.gz,1,11.759964504046366
candidate_000010,10,9321010,f4383df3596d119088247f0e666c291e26d6529a35810c4b11a67b49dc9a57ac,9347ddee8092224c4b5dd636fe9720b3f87b01f3e7e55cf1a30cacb05ed36736,e8978af3e9c7a7a3e1c1370cfa2176992cb35c4958fe73735bf0a876f2bf6cca,0,cache/models_000008_000011.pt.gz,cache/predictions_000008_000011.pt.gz,2,11.759964504046366
candidate_000011,11,9321011,b6668a2f9e746c181fa20fd1a89d3c7b89c4a38bb297325a3a39d8bb82f7453b,347ce50a1c5b3bac41b927f40452e49b01a83dd3d7f4d4db10b21cb5f0f2a5e2,14a0afdf1c75335ca11c21cf9291950f97d95869b1fe17bdf886c404536f3e41,0,cache/models_000008_000011.pt.gz,cache/predictions_000008_000011.pt.gz,3,11.759964504046366
candidate_000012,12,9321012,5f9bdac3e54da2a9f5732e2f4b67dad9e84d862362f25f0becd0745522706237,b9da7721c98a6df9b155b4bab8a8290eecfef2f1c9c37d0c22309dfdd1c4e0bb,405c82df71c5ae79170c897cd6b1b851e3b7826a5c4ac6f09a5c0f2a48763354,0,cache/models_000012_000015.pt.gz,cache/predictions_000012_000015.pt.gz,0,11.7613298749784
candidate_000013,13,9321013,5af424d17936db3f37f1e21e60651f68d9b8f5ed8a94d7a8fa0041304c779f8a,0207bdeefda219b3997ead0761fc45f6d5efb398d29e1d61f10cf660c1849e3f,f368e2e34d7789e841cc0e801b7af9e14830af098497c32ce1f385cae2be20f9,0,cache/models_000012_000015.pt.gz,cache/predictions_000012_000015.pt.gz,1,11.7613298749784
candidate_000014,14,9321014,a4f03e97648c44168229150507d356ca3742b195d37f17f585b4fdf4d230334b,ed2461d9db7689bfc8c457129daa6359a49baf185abab850528c9c954a462ce4,7965447f8b14b874efe0e37e8c32c72b9e831c1672fe4909b31d9796ec380dab,0,cache/models_000012_000015.pt.gz,cache/predictions_000012_000015.pt.gz,2,11.7613298749784
candidate_000015,15,9321015,c504ccd65c4d4c4ada454e6ddd0b00b4e8d01ad12926c282cc7c08b0c1bd677d,9d56f4ed601b7b578913547b178d1d1d4beea6a5af6395ef6f71a8200cf33d77,1116d8db90d59f68c0e3946e166d101619adb40f501811a8fdb099415531c62b,0,cache/models_000012_000015.pt.gz,cache/predictions_000012_000015.pt.gz,3,11.7613298749784
candidate_000016,16,9321016,99ec5f6e34870a5705cc3a29cb9527cf7fba0a72e4082d83d30b8304e68b83f7,379fc90b66604aeae32c7ac56bb1e456898f6ba65f62fa6241a09b5a1f5ab10e,2279782112b6336c54c1e8c3fb80bc52ff261ff58b42382125403cbac4bbced2,0,cache/models_000016_000019.pt.gz,cache/predictions_000016_000019.pt.gz,0,11.771163935074583
