map_type,case_i,case_j,voxel_count,pearson,spearman,cosine,mean_absolute_difference,rms_difference
prior_only,native_seed20260901,native_seed20260902,225115,0.8134534834750617,0.5017378130546267,0.85142055724329,0.05577168988592376,0.09451238720426369
prior_only,native_seed20260901,native_seed20260903,225115,0.7923278571996116,0.5091075126618066,0.8341635803023786,0.057156784396544764,0.09978381087091556
prior_only,native_seed20260902,native_seed20260903,225115,0.8260636258538443,0.5028566991836796,0.8601816648004523,0.0522725685692122,0.08915416993849991
post_seismic,native_seed20260901,native_seed20260902,225115,0.7341952036707093,0.4402312844272295,0.7548242407961033,0.023094001414203386,0.055394010958702805
post_seismic,native_seed20260901,native_seed20260903,225115,0.6937757081123533,0.4619790860432682,0.7184972384281095,0.024288977387219544,0.05976805689330624
post_seismic,native_seed20260902,native_seed20260903,225115,0.7179114467758289,0.4567191775814328,0.7392551033187246,0.020983602635291268,0.0530409529061422
