bridge_case,truth_case,voxel_count,positive_count,prevalence,auprc,brier,roc_auc,probability_mean,probability_minimum,probability_maximum,diagnostic_threshold,threshold_spatial_iou,threshold_spatial_dice,is_diagonal,retrospective_only,used_by_original_stage10_gate
native_seed20260901,native_seed20260901,225115,1800,0.007995913199920041,0.25224257209566214,0.010095149429387936,0.8963192364049786,0.024025849169838364,0.0,0.9945089221000671,0.5,0.16327868852459015,0.2807215332581736,True,True,False
native_seed20260901,native_seed20260902,225115,2446,0.010865557603891345,0.22219406194538027,0.012376999427285469,0.8681223484199735,0.024025849169838364,0.0,0.9945089221000671,0.5,0.14872637633525063,0.25894134477825465,False,True,False
native_seed20260901,native_seed20260903,225115,2264,0.01005708193589943,0.2187745560937384,0.011861451907981926,0.8714746991100695,0.024025849169838364,0.0,0.9945089221000671,0.5,0.14399771884801824,0.25174476570289134,False,True,False
native_seed20260902,native_seed20260901,225115,1800,0.007995913199920041,0.2850931896896192,0.008645398695455844,0.8360599850236462,0.019521001743618847,0.0,0.9945089221000671,0.5,0.20232371794871795,0.33655448183938685,False,True,False
native_seed20260902,native_seed20260902,225115,2446,0.010865557603891345,0.28120094936231965,0.010403687708605934,0.8527811431600822,0.019521001743618847,0.0,0.9945089221000671,0.5,0.1848602988953866,0.31203729092404714,True,True,False
native_seed20260902,native_seed20260903,225115,2264,0.01005708193589943,0.27009450952724806,0.009959299903446763,0.8412976209301647,0.019521001743618847,0.0,0.9945089221000671,0.5,0.18421052631578946,0.3111111111111111,False,True,False
native_seed20260903,native_seed20260901,225115,1800,0.007995913199920041,0.20076193936026301,0.009675078179050285,0.8348755569487047,0.02089819649254737,0.0,0.9945089221000671,0.5,0.15602013162988773,0.26992632283991963,False,True,False
native_seed20260903,native_seed20260902,225115,2446,0.010865557603891345,0.18256500821925128,0.011888128466107683,0.833787590633659,0.02089819649254737,0.0,0.9945089221000671,0.5,0.1339369341242585,0.23623348017621146,False,True,False
native_seed20260903,native_seed20260903,225115,2264,0.01005708193589943,0.16536077778467995,0.01145542213155372,0.8395025480350345,0.02089819649254737,0.0,0.9945089221000671,0.5,0.12745098039215685,0.22608695652173913,True,True,False
