map_type,case_id,weighted_centroid_x,weighted_centroid_y,weighted_centroid_z,top_mass_fraction,top_mass_voxel_count,top_mass_centroid_x,top_mass_centroid_y,top_mass_centroid_z
prior_only,native_seed20260901,32.08889273747852,25.987415215759032,22.19229945122902,0.1,1976,25.18722742091061,10.731589818289011,21.465398285502413
prior_only,native_seed20260902,30.328951773431434,24.914120143673436,22.910922262275605,0.1,1820,16.6068365175045,11.714414242672543,19.487196608667947
prior_only,native_seed20260903,29.735911091316158,26.183063759094082,23.386735139986868,0.1,1786,17.23262845354316,12.671750692288883,19.232581885005764
post_seismic,native_seed20260901,32.15443787611623,22.367712508653458,20.79033072974304,0.1,651,26.72544223899142,10.379853239803353,21.89937670409795
post_seismic,native_seed20260902,29.515658729138682,21.104889425066094,22.246807810052843,0.1,552,24.46913603046231,9.794393039064945,21.42151968810541
post_seismic,native_seed20260903,29.019322423303734,23.764781549253286,22.185102381610776,0.1,580,21.36329897703327,11.658314205011406,20.442408278183947
