bridge_case,truth_case,pair_type,voxel_count,positive_count,prevalence,auprc,brier,roc_auc,probability_mean,probability_minimum,probability_maximum
fullgeo_case01,fullgeo_case01,diagonal,150764,118,0.0007826802154360457,0.0006923608029121903,0.010063142475117973,0.2586423846498819,0.03218384213340741,0.0,0.9945089221000671
fullgeo_case01,fullgeo_case02,off_diagonal,207193,16046,0.07744470131712944,0.10536701062203443,0.07775561167720461,0.6017845904659651,0.023418574833131596,0.0,0.9945089221000671
fullgeo_case01,fullgeo_case03,off_diagonal,150364,1733,0.011525365113990051,0.012472527647512418,0.019747972419815716,0.478785146171314,0.030844644320531918,0.0,0.9945089221000671
fullgeo_case01,fullgeo_case04,off_diagonal,167552,12929,0.07716410427807487,0.07307928038082086,0.0820832707366515,0.4860122142385808,0.02875634498449571,0.0,0.9945089221000671
fullgeo_case01,fullgeo_case05,off_diagonal,220698,4102,0.018586484698547335,0.01960728890116102,0.024268615042438414,0.5414127463219095,0.021985540310292956,0.0,0.9945089221000671
fullgeo_case02,fullgeo_case01,off_diagonal,150764,118,0.0007826802154360457,0.0006833115251149939,0.009914069839728848,0.2656485110339494,0.033496784047159896,0.0,0.9945089221000671
fullgeo_case02,fullgeo_case02,diagonal,207193,16046,0.07744470131712944,0.10229771756303335,0.07776058349951809,0.5946406371477291,0.025432634900611602,0.0,0.9945089221000671
fullgeo_case02,fullgeo_case03,off_diagonal,150364,1733,0.011525365113990051,0.01239531184133863,0.019712968330450414,0.48456566413987917,0.03273347676650622,0.0,0.9945089221000671
fullgeo_case02,fullgeo_case04,off_diagonal,167552,12929,0.07716410427807487,0.07304909763857753,0.08170317507011844,0.49169048650075875,0.03011243275504899,0.0,0.9945089221000671
fullgeo_case02,fullgeo_case05,off_diagonal,220698,4102,0.018586484698547335,0.018540625176795243,0.024302108478610997,0.513610314989522,0.023876365344172243,0.0,0.9945089221000671
fullgeo_case03,fullgeo_case01,off_diagonal,150764,118,0.0007826802154360457,0.0006858517937601653,0.009771565569012527,0.3015506720548364,0.031239934136486538,0.0,0.9945089221000671
fullgeo_case03,fullgeo_case02,off_diagonal,207193,16046,0.07744470131712944,0.10069207522189244,0.07794788334808184,0.5833420041554596,0.023920714822651193,0.0,0.9945089221000671
fullgeo_case03,fullgeo_case03,diagonal,150364,1733,0.011525365113990051,0.012312438684159748,0.019948544184085742,0.48382794837265364,0.03296137816390836,0.0,0.9945089221000671
fullgeo_case03,fullgeo_case04,off_diagonal,167552,12929,0.07716410427807487,0.07435057662482061,0.08170758778107014,0.49681819397557186,0.027871399329310594,0.0,0.9945089221000671
fullgeo_case03,fullgeo_case05,off_diagonal,220698,4102,0.018586484698547335,0.01970051749429147,0.024311113863636522,0.5465674217633363,0.02245695324041901,0.0,0.9945089221000671
fullgeo_case04,fullgeo_case01,off_diagonal,150764,118,0.0007826802154360457,0.0006880069898739261,0.01013042346968739,0.2646326881045855,0.0324357938732496,0.0,0.9945089221000671
fullgeo_case04,fullgeo_case02,off_diagonal,207193,16046,0.07744470131712944,0.10447488260558849,0.0784438704731059,0.5997845376559373,0.0246874799585038,0.0,0.9945089221000671
fullgeo_case04,fullgeo_case03,off_diagonal,150364,1733,0.011525365113990051,0.012307217129414884,0.01997596521678453,0.4846768112604297,0.03084124567811376,0.0,0.9945089221000671
fullgeo_case04,fullgeo_case04,diagonal,167552,12929,0.07716410427807487,0.07504619377763783,0.08119404964150169,0.49572017551854086,0.02920465006809522,0.0,0.9945089221000671
fullgeo_case04,fullgeo_case05,off_diagonal,220698,4102,0.018586484698547335,0.019110247989204163,0.0254303249223973,0.5278682130168686,0.023613899539137687,0.0,0.9945089221000671
fullgeo_case05,fullgeo_case01,off_diagonal,150764,118,0.0007826802154360457,0.0006828939021774654,0.010101691689550643,0.26329424330065976,0.03334336552270509,0.0,0.9945089221000671
fullgeo_case05,fullgeo_case02,off_diagonal,207193,16046,0.07744470131712944,0.10371192029988047,0.07772344134660142,0.5965792694789017,0.025126737861773576,0.0,0.9945089221000671
fullgeo_case05,fullgeo_case03,off_diagonal,150364,1733,0.011525365113990051,0.012217087288088312,0.019850949004669577,0.48436642509369887,0.0323585888158034,0.0,0.9945089221000671
fullgeo_case05,fullgeo_case04,off_diagonal,167552,12929,0.07716410427807487,0.07359693091505405,0.08184841851742325,0.4920002984492032,0.030024434068091337,0.0,0.9945089221000671
fullgeo_case05,fullgeo_case05,diagonal,220698,4102,0.018586484698547335,0.018485645227821944,0.024369921797429927,0.514818663940971,0.023589177055498702,0.0,0.9945089221000671
