case_id,arm,voxel_count,positive_count,prevalence,auprc,brier,roc_auc,probability_mean,probability_minimum,probability_maximum
fullgeo_case01,post_seismic_correct,150764,118,0.0007826802154360457,0.0006923608029121903,0.010063142475117973,0.2586423846498819,0.03218384213340741,0.0,0.9945089221000671
fullgeo_case01,prior_only,150764,118,0.0007826802154360457,0.0006764676927181228,0.042931189115200594,0.2635844060956014,0.1076166977079959,0.0,0.9945089221000671
fullgeo_case01,shuffled_xy,150764,118,0.0007826802154360457,0.0006618312621412157,0.010014222625329292,0.32833683838888655,0.031724058356434486,0.0,0.9945089221000671
fullgeo_case01,constant_prior,150764,118,0.0007826802154360457,0.0007826802154360457,0.005122767755971385,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
fullgeo_case02,post_seismic_correct,207193,16046,0.07744470131712944,0.10229771756303335,0.07776058349951809,0.5946406371477291,0.025432634900611602,0.0,0.9945089221000671
fullgeo_case02,prior_only,207193,16046,0.07744470131712944,0.10345203074148361,0.09071055244176257,0.6011715171857936,0.0880344518032704,0.0,0.9945089221000671
fullgeo_case02,shuffled_xy,207193,16046,0.07744470131712944,0.10333195566066614,0.07787080071721975,0.5933543517565475,0.025532014374817637,0.0,0.9945089221000671
fullgeo_case02,constant_prior,207193,16046,0.07744470131712944,0.07744470131712944,0.07156318551100749,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
fullgeo_case03,post_seismic_correct,150364,1733,0.011525365113990051,0.012312438684159748,0.019948544184085742,0.48382794837265364,0.03296137816390836,0.0,0.9945089221000671
fullgeo_case03,prior_only,150364,1733,0.011525365113990051,0.012220653621858549,0.05379694104263231,0.48239925422374685,0.10834490787277368,0.0,0.9945089221000671
fullgeo_case03,shuffled_xy,150364,1733,0.011525365113990051,0.011209842914380558,0.01919286794582991,0.49858062925777885,0.02937364766408204,0.0,0.9945089221000671
fullgeo_case03,constant_prior,150364,1733,0.011525365113990051,0.011525365113990051,0.014433094593348227,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
fullgeo_case04,post_seismic_correct,167552,12929,0.07716410427807487,0.07504619377763783,0.08119404964150169,0.49572017551854086,0.02920465006809522,0.0,0.9945089221000671
fullgeo_case04,prior_only,167552,12929,0.07716410427807487,0.07446705556829278,0.10125021669844644,0.4936814717707347,0.09847693773052052,0.0,0.9945089221000671
fullgeo_case04,shuffled_xy,167552,12929,0.07716410427807487,0.07639522879662591,0.08143036307973912,0.48825497594363193,0.02929844155705234,0.0,0.9945089221000671
fullgeo_case04,constant_prior,167552,12929,0.07716410427807487,0.07716410427807487,0.0713200014124448,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
fullgeo_case05,post_seismic_correct,220698,4102,0.018586484698547335,0.018485645227821944,0.024369921797429927,0.514818663940971,0.023589177055498702,0.0,0.9945089221000671
fullgeo_case05,prior_only,220698,4102,0.018586484698547335,0.017921266775215702,0.0482273598249192,0.5053546300171676,0.08264780400465122,0.0,0.9945089221000671
fullgeo_case05,shuffled_xy,220698,4102,0.018586484698547335,0.01854796412851821,0.02428905027453955,0.5118387763132478,0.02360106254503572,0.0,0.9945089221000671
fullgeo_case05,constant_prior,220698,4102,0.018586484698547335,0.018586484698547335,0.020552731517529062,0.5,0.06666667014360428,0.06666667014360428,0.06666667014360428
