bridge_case,fullgeo_case01,fullgeo_case02,fullgeo_case03,fullgeo_case04,fullgeo_case05
fullgeo_case01,0.010063142475117973,0.07775561167720461,0.019747972419815716,0.0820832707366515,0.024268615042438414
fullgeo_case02,0.009914069839728848,0.07776058349951809,0.019712968330450414,0.08170317507011844,0.024302108478610997
fullgeo_case03,0.009771565569012527,0.07794788334808184,0.019948544184085742,0.08170758778107014,0.024311113863636522
fullgeo_case04,0.01013042346968739,0.0784438704731059,0.01997596521678453,0.08119404964150169,0.0254303249223973
fullgeo_case05,0.010101691689550643,0.07772344134660142,0.019850949004669577,0.08184841851742325,0.024369921797429927
