sample_id,truth_component_rank,truth_component_voxels,baseline_recovered_voxels,guided_recovered_voxels,delta_recovered_voxels,baseline_recall,guided_recall,delta_recall
0,1,4079,171,84,-87,0.041922039715616574,0.020593282667320422,-0.021328757048296152
0,2,2192,2,0,-2,0.0009124087591240876,0.0,-0.0009124087591240876
0,3,2043,251,137,-114,0.122858541360744,0.06705824767498776,-0.055800293685756244
0,4,627,0,0,0,0.0,0.0,0.0
0,5,22,0,0,0,0.0,0.0,0.0
0,6,4,0,0,0,0.0,0.0,0.0
0,7,1,0,0,0,0.0,0.0,0.0
