label,voxel_count,volume_fraction,borehole_hits,target_connected_components,largest_component_fraction
5,95297,0.3635292053222656,216,19,0.7755018521044734
1,55312,0.21099853515625,137,4,0.6835768006942435
4,45066,0.17191314697265625,111,18,0.7923268095681889
2,38682,0.14756011962890625,4187,9,0.8471123519983454
7,10317,0.039356231689453125,40,1,1.0
10,9705,0.037021636962890625,32,2,0.9578567748583204
8,7651,0.029186248779296875,3,7,0.49666710233956346
3,114,0.00043487548828125,0,10,0.2543859649122807
