level_id,order,role,property_config_sha256,label9_susceptibility,unique_property_vectors,target_exact_property_group,target_nearest_labels,target_nearest_distance,strict_pairing,pair_gate_pass_count,screen_gate_pass,guided_global_voxel_accuracy,delta_global_voxel_accuracy,guided_truth_present_mean_iou,delta_truth_present_mean_iou,guided_hard_property_loss,delta_hard_property_loss,guided_target_iou,guided_target_precision,guided_target_recall,guided_target_volume,improved_truth_present_classes,major_component_min_recall,major_component_mean_recall,tiny_component_mass_fraction,top8_component_mass_fraction,final_churn_fraction
distinct_c100_anchor,0,implementation_anchor,21582cf2a8b895b47fcc76b0ed8f9a90ab5742b0cfd7930668d715c3b9004ef2,0.1,15,[9],[10],0.6764286454363828,True,1,True,0.6283667683601379,0.041001200675964355,0.3319733440876007,0.06672391295433044,0.533737063407898,-1.0121454000473022,0.48179035152538796,0.9003748273821266,0.5089206066012489,5069,6,0.37161084529505584,0.4925385184392268,0.05365949891497337,0.8721641349378576,0.00888824462890625
paired_c100,1,ambiguity_sweep,c46e0606bbc6525d9c1aac0619420e6bfb32523dc2947fb5ef1b78a0058eab48,0.1,9,[9],"[7, 8]",0.6764286431700086,True,1,True,0.6296170949935913,0.042251527309417725,0.32800301909446716,0.0627535879611969,0.5691602826118469,-0.8470529913902283,0.42597619544790144,0.8699360341151386,0.45495093666369313,4690,6,0.2982456140350877,0.4382615006840076,0.06908315565031983,0.8339019189765459,0.010601043701171875
paired_c025,2,ambiguity_sweep,9fb938e33ce372fbdd32c9354adbb141a931e518d25779fc92f7b43d9ac07fc7,0.025,9,[9],"[7, 8]",0.5811567906888199,True,1,True,0.627946674823761,0.0405811071395874,0.32380056381225586,0.058551132678985596,0.5945129990577698,-0.8340734839439392,0.3951081843838194,0.863210778716602,0.4214986619090098,4379,6,0.2583732057416268,0.40252875371439073,0.06736697876227449,0.7985841516327928,0.010772705078125
paired_c010,3,ambiguity_sweep,e4e3ae3867e245c476bdc97750c59d9e79ba11fa90ee2217a6439bc5251c9544,0.01,9,[9],"[10, 11]",0.3868996585167312,True,0,False,0.6198627948760986,0.03249722719192505,0.302534818649292,0.03728538751602173,0.7038677334785461,-0.6704352498054504,0.23704543113217266,0.7569078947368421,0.2565789473684211,3040,6,0.09728867623604466,0.23622581643357587,0.14769736842105263,0.6338815789473684,0.011257171630859375
paired_c004_overlap,4,ambiguity_sweep,e41db579877cb08d4a414b37a1f5fc669393e4682feafe5f41ed863ec666b101,0.004,8,"[6, 9]",[6],0.0,True,0,False,0.6082508563995361,0.02088528871536255,0.2765620946884155,0.011312663555145264,0.7249860763549805,-0.26843929290771484,0.03549986948577395,0.13910671667234914,0.045495093666369314,2933,6,0.0004562043795620438,0.04029973120548107,0.03818615751789976,0.9563586771224003,0.006298065185546875
