sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall
0,0,False,0,574,574,nan,0.0,0.0,nan
0,1,True,45273,29526,-15747,0.3478232058843019,0.42596511295396056,0.7567567567567568,0.49353919554701475
0,2,True,24520,21377,-3143,0.1281810766721044,0.7137896269743474,0.8942321186321748,0.7796084828711256
0,3,True,14533,8218,-6315,0.4345283148696071,0.24957433953973746,0.5529325870041373,0.31266772173673707
0,4,True,73801,95878,22077,0.2991422880448774,0.5410793431664608,0.6213625649262604,0.8072383843037357
0,5,True,18902,30693,11791,0.6237964236588721,0.2558875664725247,0.32922816277327077,0.5345995132790181
0,6,True,11543,76,-11467,0.993415923070259,0.005886936196000346,0.8947368421052632,0.005891016200294551
0,7,False,0,2,2,nan,0.0,0.0,nan
0,8,False,0,1,1,nan,0.0,0.0,nan
0,9,True,8968,10939,1971,0.21978144513826942,0.2942591509004616,0.4137489715696133,0.5046833184656556
0,10,False,0,127,127,nan,0.0,0.0,nan
0,11,False,0,144,144,nan,0.0,0.0,nan
0,12,False,0,0,0,nan,nan,nan,nan
0,13,True,15,0,-15,1.0,0.0,nan,0.0
