sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou
0,project/geodata-3d-conditional/guided-results/mu_001/sample_0.pt,0.211927130818367,13,0.6056338548660278,0.1596670001745224
1,project/geodata-3d-conditional/guided-results/mu_001/sample_1.pt,0.21078404784202576,12,0.6173521280288696,0.16658508777618408
2,project/geodata-3d-conditional/guided-results/mu_001/sample_2.pt,0.17379862070083618,3,0.6153476238250732,0.16671247780323029
3,project/geodata-3d-conditional/guided-results/mu_001/sample_3.pt,0.23652595281600952,16,0.5766798853874207,0.15548790991306305
4,project/geodata-3d-conditional/guided-results/mu_001/sample_4.pt,0.1956925392150879,6,0.6207183003425598,0.16728487610816956
5,project/geodata-3d-conditional/guided-results/mu_001/sample_5.pt,0.20301884412765503,9,0.5749943256378174,0.1588497906923294
6,project/geodata-3d-conditional/guided-results/mu_001/sample_6.pt,0.1905406266450882,4,0.5864543914794922,0.15822269022464752
7,project/geodata-3d-conditional/guided-results/mu_001/sample_7.pt,0.19219054281711578,5,0.6026929020881653,0.15741249918937683
8,project/geodata-3d-conditional/guided-results/mu_001/sample_8.pt,0.22949224710464478,15,0.6170383095741272,0.16946478188037872
9,project/geodata-3d-conditional/guided-results/mu_001/sample_9.pt,0.20418331027030945,10,0.632350504398346,0.17463573813438416
10,project/geodata-3d-conditional/guided-results/mu_001/sample_10.pt,0.16963835060596466,1,0.6138037443161011,0.16741514205932617
11,project/geodata-3d-conditional/guided-results/mu_001/sample_11.pt,0.1980542093515396,7,0.6049606204032898,0.1690753996372223
12,project/geodata-3d-conditional/guided-results/mu_001/sample_12.pt,0.20528647303581238,11,0.5872491002082825,0.1543046087026596
13,project/geodata-3d-conditional/guided-results/mu_001/sample_13.pt,0.21896062791347504,14,0.589299201965332,0.1634320765733719
14,project/geodata-3d-conditional/guided-results/mu_001/sample_14.pt,0.16991643607616425,2,0.6289843320846558,0.191438689827919
15,project/geodata-3d-conditional/guided-results/mu_001/sample_15.pt,0.19975577294826508,8,0.6233353018760681,0.1841159462928772
