sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall
0,0,False,0,242,242,nan,0.0,0.0,nan
0,1,True,45273,36060,-9213,0.20349877410377046,0.41793933054393306,0.6648086522462563,0.5295209065005633
0,2,True,24520,22532,-1988,0.08107667210440457,0.7159737417943107,0.871294159417717,0.800652528548124
0,3,True,14533,5353,-9180,0.6316658638959609,0.15214368482039398,0.49056603773584906,0.1806922177114154
0,4,True,73801,93247,19446,0.2634923646021057,0.5381810480566477,0.6267976449644492,0.7919540385631632
0,5,True,18902,33389,14487,0.7664268331393503,0.2580233844969446,0.32121357333253464,0.5674002751031637
0,6,True,11543,296,-11247,0.9743567530104825,0.014220851537736657,0.5608108108108109,0.014381010136013167
0,7,False,0,0,0,nan,nan,nan,nan
0,8,False,0,2,2,nan,0.0,0.0,nan
0,9,True,8968,6201,-2767,0.3085414808206958,0.02889506884623211,0.0686985970004838,0.04750223015165031
0,10,False,0,214,214,nan,0.0,0.0,nan
0,11,False,0,19,19,nan,0.0,0.0,nan
0,12,False,0,0,0,nan,nan,nan,nan
0,13,True,15,0,-15,1.0,0.0,nan,0.0
