level_id,sample_id,step,t,w_t,tau,seismic_loss,seismic_rmse_amplitude,seismic_mae_amplitude,valid_seismic_sample_count,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_confidence,hard_change_outside_confidence,alpha,property_loss_mode,guidance_scaling_mode,guidance_reference_policy
ratio025,0,10,0.328125,0.3214394653031616,0.4028205488386443,13.937501907348633,0.037332963198423386,0.017125949263572693,1310720.0,0.07815687358379364,0.07815687358379364,1774.3583984375,173.75689697265625,1784.0216064453125,0.0803598663257904,0.09792661666870117,0.09792661666870117,0.0,0.0641365572810173,1.2186009883880615,0.09792660921812057,55.72771453857422,1.5997140407562256,0.0,0,0,4179,0.015941619873046875,4179,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,11,0.359375,0.4422886902190013,0.3855110186860564,13.90162181854248,0.03728487715125084,0.017226671800017357,1310720.0,0.08431952446699142,0.08431952446699142,1772.583740234375,257.6766662597656,1792.7572021484375,0.11057217255475033,0.1453678458929062,0.1453678458929062,0.0,0.0641365572810173,1.3146873712539673,0.145367830991745,55.9996223449707,1.6410865783691406,0.0,0,0,5337,0.020359039306640625,5337,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,12,0.390625,0.5555702330196022,0.367377970678444,13.658910751342773,0.036957964301109314,0.01719154790043831,1310720.0,0.09038727730512619,0.09038727730512619,1770.775390625,346.6123962402344,1806.1060791015625,0.13889255825490054,0.1957404762506485,0.1957404762506485,0.0,0.0641365572810173,1.4092941284179688,0.1957404613494873,56.415367126464844,1.6945123672485352,0.0,0,0,6585,0.025119781494140625,6585,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,13,0.421875,0.6593458151000688,0.3485960359806528,13.181238174438477,0.036305975168943405,0.01697707735002041,1310720.0,0.09567071497440338,0.09567071497440338,1769.91650390625,435.19049072265625,1824.68115234375,0.1648364537750172,0.24588194489479065,0.24588194489479065,0.0,0.0641365572810173,1.491672158241272,0.24588192999362946,56.99402618408203,1.7629916667938232,0.0,0,0,8300,0.0316619873046875,8300,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,14,0.453125,0.7518398074789773,0.32934609489107236,12.478236198425293,0.035324547439813614,0.0165554229170084,1310720.0,0.10303644835948944,0.10303644835948944,1769.2498779296875,442.31243896484375,1825.3070068359375,0.18795995186974432,0.25,0.3019607961177826,1.0,0.0641365572810173,1.606516718864441,0.2499999850988388,57.01063537597656,1.856143832206726,0.0,0,0,9332,0.0355987548828125,9332,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,15,0.484375,0.8314696123025452,0.3098135348654836,11.807212829589844,0.03436162322759628,0.01610599085688591,1310720.0,0.12069132924079895,0.12069132924079895,1769.4942626953125,442.37353515625,1824.0823974609375,0.2078674030756363,0.25,0.39116212725639343,1.0,0.0641365572810173,1.881786823272705,0.2499999850988388,56.9670295715332,2.012798309326172,0.0,0,0,10671,0.040706634521484375,10671,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,16,0.515625,0.8968727415326884,0.2901864651345164,11.262479782104492,0.03355962038040161,0.01570676453411579,1310720.0,0.1486951857805252,0.1486951857805252,1769.5313720703125,442.3827819824219,1822.3870849609375,0.2242181853831721,0.25,0.5198308825492859,1.0,0.0641365572810173,2.318415403366089,0.2499999701976776,56.908966064453125,2.1507866382598877,0.0,0,0,11912,0.045440673828125,11912,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,17,0.546875,0.9469301294951056,0.2706539051089276,10.907529830932617,0.033026549965143204,0.015396448783576488,1310720.0,0.1852423995733261,0.1852423995733261,1768.5413818359375,442.13525390625,1819.8594970703125,0.2367325323737764,0.25,0.6837427020072937,1.0,0.0641365572810173,2.8882498741149902,0.24999995529651642,56.82310104370117,2.3240914344787598,0.0,0,0,13609,0.051914215087890625,13609,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,18,0.578125,0.9807852804032304,0.2514039640193472,10.701210975646973,0.03271270543336868,0.015173186548054218,1310720.0,0.2290446162223816,0.2290446162223816,1769.4554443359375,442.36383056640625,1817.541748046875,0.2451963201008076,0.25,0.875645637512207,1.0,0.0641365572810173,3.571202278137207,0.2499999850988388,56.7413215637207,2.5407750606536865,0.0,0,0,15235,0.058116912841796875,15235,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,19,0.609375,0.9978589232386035,0.232622029321556,10.723389625549316,0.032746586948633194,0.015059669502079487,1310720.0,0.2750735282897949,0.2750735282897949,1769.2349853515625,442.3087463378906,1814.24072265625,0.24946473080965087,0.25,1.0699224472045898,1.0,0.0641365572810173,4.288872718811035,0.25,56.62843322753906,2.7470462322235107,0.0,0,0,17239,0.06576156616210938,17239,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
