id,alpha,max_guidance_ratio,hard_seismic_loss,hard_seismic_rmse_amplitude,hard_seismic_mae_amplitude,hard_observation_loss,hard_observation_mae,condition_violations,baseline_rmse,candidate_rmse,attainment,update_to_required_residual_norm_ratio,update_residual_cosine,candidate_closer_to_observation_than_baseline,candidate_closer_to_observation_than_to_baseline,attainment_band,changed_from_baseline_voxels,changed_from_baseline_fraction,active_guidance_steps,cap_hit_steps,mean_used_guidance_ratio,max_used_guidance_ratio,level_seconds
ratio025,0.25,0.25,15.24736499786377,0.03904787451028824,0.012163153849542141,15.24736499786377,0.012163153849542141,0,0.04226184059256629,0.03904787292900026,0.07604892779164363,0.7251428271206533,0.46345803238910466,True,False,low,3737,0.014255523681640625,24,17,0.15981754480162635,0.25,4.703612065000925
ratio050,0.5,0.5,14.674318313598633,0.0383070707321167,0.011926049366593361,14.674318313598633,0.011926049366593361,0,0.04226184059256629,0.03830707131109953,0.09357778142209894,0.7914745311924399,0.50843751963134,True,False,low,5707,0.021770477294921875,24,17,0.3161224917275831,0.5,4.578671505965758
ratio100,1.0,1.0,14.504223823547363,0.03808441385626793,0.011996869929134846,14.504223823547363,0.011996869929134846,0,0.04226184059256629,0.03808441167219464,0.09884635552542509,0.8862110591494371,0.5491311242293331,True,False,low,10854,0.04140472412109375,24,17,0.6304684074129909,1.0,4.57012864301214
ratio200,2.0,2.0,15.713861465454102,0.03964070975780487,0.013350941240787506,15.713861465454102,0.013350941240787506,0,0.04226184059256629,0.039640711540901305,0.06202117595715961,1.00571631509216,0.5626144347599943,True,True,low,27183,0.10369491577148438,24,18,1.2614413374103606,2.0,4.5621044270228595
ratio400,4.0,4.0,16.312768936157227,0.04038906469941139,0.015803566202521324,16.312768936157227,0.015803566202521324,0,0.04226184059256629,0.04038906710845558,0.04431358071139302,1.0813677712274343,0.5807551131789169,True,True,low,78390,0.29903411865234375,24,17,2.4950474435463548,4.0,4.547074061003514
