control,mode,step,temperature,soft_loss,gradient_norm_before_clip,hard_checked,hard_improved,selected_best_step,hard_loss
zero,ENDPOINT_REFERENCE,50,0.2,0.00037032022373750806,2.2631676984019578e-05,True,True,50,0.0015294024487957358
zero,ENDPOINT_REFERENCE,51,0.2,0.00035630815546028316,2.1751959138782695e-05,False,False,50,
zero,ENDPOINT_REFERENCE,52,0.2,0.0003450472140684724,2.0386789401527494e-05,False,False,50,
zero,ENDPOINT_REFERENCE,53,0.2,0.0003362566640134901,2.0208037312841043e-05,False,False,50,
zero,ENDPOINT_REFERENCE,54,0.2,0.00032736509456299245,1.880440686363727e-05,False,False,50,
zero,ENDPOINT_REFERENCE,55,0.2,0.00031773289083503187,1.7796333850128576e-05,True,True,55,0.0014939159154891968
zero,ENDPOINT_REFERENCE,56,0.2,0.00030845581204630435,1.6764890460763127e-05,False,False,55,
zero,ENDPOINT_REFERENCE,57,0.2,0.00030038561089895666,1.637378773011733e-05,False,False,55,
zero,ENDPOINT_REFERENCE,58,0.2,0.00029280869057402015,1.5369438187917694e-05,False,False,55,
zero,ENDPOINT_REFERENCE,59,0.2,0.0002860196982510388,1.4130318959360011e-05,False,False,55,
zero,ENDPOINT_REFERENCE,60,0.2,0.00028038895106874406,1.4541821656166576e-05,True,True,60,0.0014809502754360437
zero,ENDPOINT_REFERENCE,61,0.2,0.00027527910424396396,1.3699029295821674e-05,False,False,60,
zero,ENDPOINT_REFERENCE,62,0.2,0.00027026113821193576,1.3301706530910451e-05,False,False,60,
zero,ENDPOINT_REFERENCE,63,0.2,0.0002653812989592552,1.2192892427265178e-05,False,False,60,
zero,ENDPOINT_REFERENCE,64,0.2,0.0002608649374451488,1.1846357665490359e-05,False,False,60,
zero,ENDPOINT_REFERENCE,65,0.2,0.0002567509945947677,1.1230442396481521e-05,True,True,65,0.0014728851383551955
zero,ENDPOINT_REFERENCE,66,0.2,0.0002528596669435501,1.1130641723866574e-05,False,False,65,
zero,ENDPOINT_REFERENCE,67,0.2,0.00024889205815270543,1.0222610399068799e-05,False,False,65,
zero,ENDPOINT_REFERENCE,68,0.2,0.0002454299828968942,9.828142538026441e-06,False,False,65,
zero,ENDPOINT_REFERENCE,69,0.2,0.00024247837427537888,1.0420227226859424e-05,False,False,65,
zero,ENDPOINT_REFERENCE,70,0.2,0.00023956518271006644,9.298642908106558e-06,True,True,70,0.0014639428118243814
zero,ENDPOINT_REFERENCE,71,0.2,0.0002368545683566481,8.658143087814096e-06,False,False,70,
zero,ENDPOINT_REFERENCE,72,0.2,0.0002342256484553218,8.725877705728635e-06,False,False,70,
zero,ENDPOINT_REFERENCE,73,0.2,0.00023161010176409036,7.549122528871521e-06,False,False,70,
zero,ENDPOINT_REFERENCE,74,0.2,0.00022916600573807955,7.958123205753509e-06,False,False,70,
zero,ENDPOINT_REFERENCE,75,0.2,0.00022658328816760331,7.1160989136842545e-06,True,True,75,0.001453181728720665
zero,ENDPOINT_REFERENCE,76,0.2,0.0002239961177110672,7.097079560480779e-06,False,False,75,
zero,ENDPOINT_REFERENCE,77,0.2,0.00022165686823427677,6.854077582829632e-06,False,False,75,
zero,ENDPOINT_REFERENCE,78,0.2,0.0002194097760366276,6.427870630432153e-06,False,False,75,
zero,ENDPOINT_REFERENCE,79,0.2,0.0002172722015529871,6.5432345763838384e-06,False,False,75,
zero,ENDPOINT_REFERENCE,80,0.2,0.00021518098947126418,5.747143859480275e-06,True,True,80,0.0014451894676312804
zero,ENDPOINT_REFERENCE,81,0.2,0.0002133560919901356,5.63439652978559e-06,False,False,80,
zero,ENDPOINT_REFERENCE,82,0.2,0.00021165241196285933,5.206934474699665e-06,False,False,80,
zero,ENDPOINT_REFERENCE,83,0.2,0.0002099325502058491,5.425175459095044e-06,False,False,80,
zero,ENDPOINT_REFERENCE,84,0.2,0.0002082833816530183,4.7159119276329875e-06,False,False,80,
zero,ENDPOINT_REFERENCE,85,0.2,0.00020682485774159431,5.431320460047573e-06,True,True,85,0.0014342220965772867
zero,ENDPOINT_REFERENCE,86,0.2,0.0002053790958598256,4.777771664521424e-06,False,False,85,
zero,ENDPOINT_REFERENCE,87,0.2,0.0002039081446127966,4.5678393689740915e-06,False,False,85,
zero,ENDPOINT_REFERENCE,88,0.2,0.00020240676531102508,4.75711658509681e-06,False,False,85,
zero,ENDPOINT_REFERENCE,89,0.2,0.00020094732462894171,3.961140919273021e-06,False,False,85,
zero,ENDPOINT_REFERENCE,90,0.2,0.00019958338816650212,4.045698460686253e-06,True,True,90,0.001418938278220594
zero,ENDPOINT_REFERENCE,91,0.2,0.0001982355461223051,4.698615612142021e-06,False,False,90,
zero,ENDPOINT_REFERENCE,92,0.2,0.0001968529395526275,4.2958058656950016e-06,False,False,90,
zero,ENDPOINT_REFERENCE,93,0.2,0.00019544707902241498,3.513944420774351e-06,False,False,90,
zero,ENDPOINT_REFERENCE,94,0.2,0.00019412266556173563,3.6483850180957234e-06,False,False,90,
zero,ENDPOINT_REFERENCE,95,0.2,0.00019285223970655352,3.5973237118014367e-06,True,True,95,0.0014060045359656215
zero,ENDPOINT_REFERENCE,96,0.2,0.0001915778557304293,3.533051767590223e-06,False,False,95,
zero,ENDPOINT_REFERENCE,97,0.2,0.00019032407726626843,3.139095952064963e-06,False,False,95,
zero,ENDPOINT_REFERENCE,98,0.2,0.0001890568673843518,3.0375379083125154e-06,False,False,95,
zero,ENDPOINT_REFERENCE,99,0.2,0.0001878340553957969,3.3412081847927766e-06,False,False,95,
zero,ENDPOINT_REFERENCE,100,0.2,0.00018663803348317742,3.3587759844522225e-06,True,True,100,0.0013852178817614913
zero,ENDPOINT_REFERENCE,101,0.1,0.0007449845434166491,6.637288606725633e-05,False,False,100,
zero,ENDPOINT_REFERENCE,102,0.1,0.0006830492056906223,4.5373057218967006e-05,False,False,100,
zero,ENDPOINT_REFERENCE,103,0.1,0.0006292480393312871,4.2347441194579005e-05,False,False,100,
zero,ENDPOINT_REFERENCE,104,0.1,0.0005850890884175897,4.36645932495594e-05,False,False,100,
zero,ENDPOINT_REFERENCE,105,0.1,0.0005386754055507481,4.223729411023669e-05,True,True,105,0.001281639444641769
zero,ENDPOINT_REFERENCE,106,0.1,0.0004930651048198342,4.133940092287958e-05,False,False,105,
zero,ENDPOINT_REFERENCE,107,0.1,0.00045746564865112305,4.2641215259209275e-05,False,False,105,
zero,ENDPOINT_REFERENCE,108,0.1,0.0004298817366361618,4.654123040381819e-05,False,False,105,
zero,ENDPOINT_REFERENCE,109,0.1,0.0004032213182654232,4.512063605943695e-05,False,False,105,
zero,ENDPOINT_REFERENCE,110,0.1,0.0003877445706166327,4.3728399759856984e-05,True,True,110,0.001151698874309659
zero,ENDPOINT_REFERENCE,111,0.1,0.00037767132744193077,4.245381569489837e-05,False,False,110,
zero,ENDPOINT_REFERENCE,112,0.1,0.0003697154752444476,4.212457133689895e-05,False,False,110,
zero,ENDPOINT_REFERENCE,113,0.1,0.0003620849165599793,4.152133624302223e-05,False,False,110,
zero,ENDPOINT_REFERENCE,114,0.1,0.000354062212863937,3.885264595737681e-05,False,False,110,
