seed,baseline_target_iou,guided_target_iou,delta_target_iou,baseline_target_precision,guided_target_precision,delta_target_precision,baseline_target_recall,guided_target_recall,delta_target_recall,baseline_target_centroid_distance,guided_target_centroid_distance,delta_target_centroid_distance,baseline_global_mean_iou,guided_global_mean_iou,delta_global_mean_iou,baseline_global_voxel_accuracy,guided_global_voxel_accuracy,delta_global_voxel_accuracy,baseline_target_connected_components,guided_target_connected_components,delta_target_connected_components,baseline_largest_component_fraction,guided_largest_component_fraction,delta_largest_component_fraction,condition_violations,inversion_core_precision,inversion_core_recall
42,0.02859647939569704,0.2314867803593911,0.20289030096369406,0.0674836861371956,0.32228507688630387,0.25480139074910824,0.04727921498661909,0.4510481712756467,0.40376895628902765,24.002561569213867,14.027534484863281,-9.975027084350586,0.19290867447853088,0.21190305054187775,0.018994376063346863,0.5873655676841736,0.597696840763092,0.010331273078918457,37.0,93.0,56.0,0.7243355085150406,0.9145088040793562,0.19017329556431561,0,0.9499527856468366,0.11217662801070473
142,0.018963765662038605,0.27562787407145384,0.2566641084094152,0.07301173402868318,0.4298797307734746,0.3568679967447914,0.024977698483496878,0.4344335414808207,0.4094558429973238,22.13328742980957,8.839350700378418,-13.293936729431152,0.17453131079673767,0.1948675513267517,0.020336240530014038,0.6026979684829712,0.614345371723175,0.011647403240203857,45.0,114.0,69.0,0.7297913950456323,0.4914487476553018,-0.2383426473903305,0,0.9499527856468366,0.11217662801070473
242,0.06715602061533656,0.2942591509004616,0.22710313028512508,0.18305661983822905,0.4137489715696133,0.23069235173138428,0.09589652096342552,0.5046833184656556,0.4087867975022301,9.063100814819336,4.273141860961914,-4.789958953857422,0.17301097512245178,0.1912647783756256,0.018253803253173828,0.5975601673126221,0.6088329553604126,0.011272788047790527,50.0,116.0,66.0,0.3918688803746275,0.6317762135478563,0.23990733317322877,0,0.9499527856468366,0.11217662801070473
