sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou
0,project/geodata-3d-conditional/guided-results/mu_500/sample_0.pt,0.2118660807609558,13,0.6056541204452515,0.15967324376106262
1,project/geodata-3d-conditional/guided-results/mu_500/sample_1.pt,0.21071217954158783,12,0.6173571944236755,0.16658781468868256
2,project/geodata-3d-conditional/guided-results/mu_500/sample_2.pt,0.17373239994049072,3,0.6153577566146851,0.16671492159366608
3,project/geodata-3d-conditional/guided-results/mu_500/sample_3.pt,0.23633131384849548,16,0.5767204165458679,0.15550757944583893
4,project/geodata-3d-conditional/guided-results/mu_500/sample_4.pt,0.19546860456466675,6,0.6207132339477539,0.16728511452674866
5,project/geodata-3d-conditional/guided-results/mu_500/sample_5.pt,0.20288455486297607,9,0.5749943256378174,0.15885210037231445
6,project/geodata-3d-conditional/guided-results/mu_500/sample_6.pt,0.19047310948371887,4,0.5864391922950745,0.15821324288845062
7,project/geodata-3d-conditional/guided-results/mu_500/sample_7.pt,0.19207875430583954,5,0.6026929020881653,0.15741300582885742
8,project/geodata-3d-conditional/guided-results/mu_500/sample_8.pt,0.22936271131038666,15,0.617058515548706,0.16947314143180847
9,project/geodata-3d-conditional/guided-results/mu_500/sample_9.pt,0.2041359692811966,10,0.6323555707931519,0.17462952435016632
10,project/geodata-3d-conditional/guided-results/mu_500/sample_10.pt,0.16951116919517517,1,0.6137632727622986,0.16739919781684875
11,project/geodata-3d-conditional/guided-results/mu_500/sample_11.pt,0.19796283543109894,7,0.6049859523773193,0.16908250749111176
12,project/geodata-3d-conditional/guided-results/mu_500/sample_12.pt,0.20462891459465027,11,0.5872541666030884,0.15430490672588348
13,project/geodata-3d-conditional/guided-results/mu_500/sample_13.pt,0.21436496078968048,14,0.5892941355705261,0.16342377662658691
14,project/geodata-3d-conditional/guided-results/mu_500/sample_14.pt,0.1697971373796463,2,0.628974199295044,0.19143114984035492
15,project/geodata-3d-conditional/guided-results/mu_500/sample_15.pt,0.1996382772922516,8,0.6233353018760681,0.18411776423454285
